,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N伊力转,110055,2019-04-04,伊力特,600197,食品饮料,130.57,30.60%,0.00%,21.72,1.26%,722,64.50%,17.6,4.07,23.40%,123.41,5.80%,5.94年,3.94年,9.10%,11.30%,8.8,-2.08%,-2.53%,-2.17%,-5.44%,-5.61%,87.67,90.42,42.72,133.14,-1.90%,42%,14%,16%,0.85,0.99,0.73,AA,4.30%,16
2,苏银转债,110053,2019-04-03,江苏银行,600919,金融,109.99,0.78%,-0.04%,7.36,1.52%,"2,532",11.60%,7.9,0.85,-6.80%,93.16,18.10%,5.94年,无权,23.50%,21.90%,200,1.41%,0.83%,1.30%,无权,无权,无权,95.05,21.87,116.92,-5.90%,25%,11%,18%,0.49,1.79,-0.67,AAA,4.00%,24
3,浙商转债,113022,2019-03-28,浙商证券,601878,金融,118.8,-0.64%,-1.31%,12.31,-3.15%,196,4.70%,12.53,3,-1.80%,98.24,20.90%,5.93年,无权,8.50%,8.40%,35,-1.31%,-1.61%,-1.37%,无权,无权,无权,87.51,26.02,113.53,4.60%,50%,26%,18%,0.62,-0.28,1.53,AAA,4.00%,27
4,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,126.5,-0.71%,-2.21%,47.98,-3.56%,147,11.60%,40.52,6.85,18.40%,118.41,6.80%,5.93年,3.93年,5.10%,6.00%,10,-1.14%,-1.67%,-1.25%,-4.75%,-4.92%,87.29,92.26,37.1,129.37,-2.20%,46%,13%,16%,0.82,0.93,0.72,AA,4.40%,18
5,视源转债,128059,2019-04-02,视源股份,2841,电子,120.91,-2.65%,1.81%,77.98,-1.14%,60,5.30%,76.25,15.03,2.30%,102.27,18.20%,5.93年,3.93年,1.80%,1.90%,9.4,-0.96%,-1.39%,-1.04%,-3.69%,-3.86%,86.75,88.36,26.81,115.17,5.00%,56%,24%,16%,0.74,-0.67,2.19,AA,4.50%,13
6,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,121.7,21.70%,0.00%,12.96,-0.31%,723,49.90%,11.99,1.91,8.10%,108.09,12.60%,5.92年,3.92年,7.60%,8.20%,12,-0.87%,-1.33%,-0.96%,-3.80%,-3.98%,87.78,90.67,31.13,121.8,-0.10%,44%,18%,17%,0.71,0.53,0.89,AA+,4.30%,11
7,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,115.303,-0.21%,-0.74%,10.05,-1.18%,69,10.40%,8.9,2.18,12.90%,112.92,2.10%,5.91年,3.91年,10.90%,12.30%,5.8,0.34%,-0.18%,0.24%,-2.50%,-2.69%,87.23,91.22,33.32,124.53,-7.40%,74%,<2%,16%,0.81,2,-0.26,AA-,4.50%,35
8,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,129.28,-0.48%,-0.13%,10.98,-0.72%,226,10.90%,8.13,2.65,35.10%,135.06,-4.30%,5.91年,3.91年,14.00%,18.90%,16,-1.42%,-1.96%,-1.53%,-5.17%,-5.36%,88.57,94.05,50.76,144.81,-10.70%,41%,<2%,16%,0.85,3.22,-1.16,AA+,4.10%,31
9,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,129.5,4.35%,-0.52%,17.23,4.49%,49,3.20%,13.62,5.37,26.50%,126.51,2.40%,5.91年,3.91年,6.30%,8.00%,12,-1.54%,-2.07%,-1.65%,-5.33%,-5.49%,87.59,92.69,43.59,136.27,-5.00%,52%,<2%,16%,0.85,1.67,0.12,AA,4.30%,16
10,中信转债,113021,2019-03-19,中信银行,601998,金融,108.97,-0.13%,0.87%,6.5,1.72%,526,1.20%,7.45,0.79,-12.80%,87.25,24.90%,5.91年,无权,12.60%,11.00%,400,1.55%,0.98%,1.44%,无权,无权,无权,95,17.13,112.13,-2.80%,23%,14%,17%,0.43,1.08,-0.15,AAA,4.00%,34
