,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,105.26,0.11%,-0.11%,5.28,3.73%,6.6,1.50%,6.94,1.45,-23.90%,76.08,38.40%,0.75年,回售中,3.90%,3.00%,4.3,0.94%,-0.59%,0.64%,回售中,回售中,103,101.49,0.19,101.68,3.50%,70%,49%,16%,0,-0.67,0.59,AA,6.00%,7
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,119.71,0.21%,-0.69%,5.85,-0.68%,104,1.50%,5.19,1.51,12.70%,112.72,6.20%,1.85年,回售中,7.00%,7.80%,59.9,-5.39%,-6.15%,-5.54%,回售中,回售中,103,100.57,17.62,118.19,1.30%,50%,19%,16%,0.71,0.5,0.93,AAA,4.00%,16
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,112.02,-0.86%,0.82%,27.3,-1.09%,32,1.20%,42.38,5.12,-35.60%,64.42,73.90%,2.21年,0.21年,4.70%,3.00%,24,-0.83%,-1.66%,-1.00%,-26.30%,-27.20%,100.27,101.03,0.47,101.5,10.40%,55%,55%,17%,0.04,-1.83,2,AAA,4.00%,7
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,128,-0.53%,0.06%,5.53,-0.54%,42,6.10%,4.31,1.92,28.30%,128.31,-0.20%,2.73年,0.73年,4.40%,5.60%,5.3,-5.07%,-5.77%,-5.21%,-23.20%,-23.50%,98.07,99.46,34.93,134.39,-4.80%,40%,<2%,17%,0.86,1.8,0.01,AA,4.30%,62
5,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,114.09,-0.45%,1.52%,8.99,1.70%,15,0.90%,8.61,1.33,4.40%,104.41,9.30%,2.78年,0.78年,9.00%,9.30%,14.6,-0.96%,-1.69%,-1.11%,-11.60%,-12.00%,97.68,98.83,15.38,114.21,-0.10%,34%,19%,15%,0.63,0.57,0.7,AA+,4.40%,7
6,九州转债,110034,2016-01-29,九州通,600998,医药,110.5,-0.43%,0.27%,15.47,-0.64%,0.4,0.00%,18.42,1.97,-16.00%,83.98,31.60%,2.80年,0.80年,5.20%,4.30%,15,-0.03%,-0.71%,-0.17%,-6.25%,-6.96%,99.24,97.07,5.86,102.94,7.30%,26%,27%,15%,0.26,-1.16,1.72,AA+,4.70%,11
7,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,110.01,-0.24%,0.26%,11.45,0.09%,8.5,0.30%,14.74,1.55,-22.30%,77.68,41.60%,2.82年,0.82年,2.20%,1.70%,25.5,-0.33%,-0.92%,-0.45%,-7.60%,-7.92%,97.89,97.73,2.75,100.47,9.50%,34%,34%,15%,0.19,-1.54,1.98,AAA,4.00%,11
8,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,104,0.01%,-0.01%,4.78,-1.65%,3.4,0.60%,9.28,1.77,-48.50%,51.51,102%,2.82年,0.82年,10.90%,5.60%,5.1,2.44%,1.68%,2.29%,-2.08%,-2.44%,96.18,94.57,2.05,96.62,7.60%,42%,49%,17%,0,-1.41,1.45,AA,6.00%,25
9,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,95.97,0.42%,-0.42%,2.7,-3.91%,7.9,1.00%,7.71,1.17,-65.00%,35.02,174%,3年24天,1年24天,20.80%,7.30%,8.5,3.56%,3.12%,3.47%,7.88%,6.98%,96.94,87.02,10.66,97.68,-1.80%,85%,<2%,17%,0,0.36,-0.33,A+,7.00%,82
10,海印转债,127003,2016-07-01,海印股份,861,商业零售,108.78,0.06%,-0.19%,2.99,-0.33%,10,0.80%,3.5,2.07,-14.60%,85.43,27.30%,3.20年,1.20年,17.00%,14.60%,11.1,1.59%,0.77%,1.43%,-4.09%,-4.47%,95.92,97.38,7.58,104.96,3.60%,26%,23%,16%,0.37,-0.56,1.32,AA,5.30%,100
