,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N鼎胜转,113534,今日上市,鼎胜新材,603876,有色金属,96.65,-3.35%,0.00%,16.76,0.66%,272,22.40%,20.8,2.6,-19.40%,80.58,19.90%,5月17天,5.94年,3.94年,17.40%,14.00%,12.5,3.07%,2.59%,2.97%,1.77%,1.58%,85.13,86.78,11.69,98.47,-1.90%,61%,20%,16%,0.5,0.35,0.67,AA,5.00%,29
2,核建转债,113024,2019-04-26,中国核建,601611,建筑,104,0.62%,0.05%,8.89,1.25%,151,4.90%,9.93,2.92,-10.50%,89.53,16.20%,5月16天,5.94年,3.94年,12.80%,11.50%,30,0.95%,0.63%,0.89%,-0.14%,-0.30%,88.12,87.39,16.91,104.3,-0.30%,42%,17%,16%,0.54,0.61,0.48,AAA,4.00%,36
3,未来转债,128063,2019-04-24,德尔未来,2631,其他,103.6,-0.38%,-0.79%,8.72,-1.80%,77,11.70%,8.74,3.47,-0.20%,99.77,3.80%,5月13天,5.93年,4.93年,10.80%,10.80%,6.3,3.82%,2.99%,3.66%,1.09%,0.74%,86.26,97.77,19.79,117.56,-11.90%,52%,<2%,16%,0.65,2.69,-1.11,AA-,4.90%,49
4,参林转债,113533,2019-04-24,大参林,603233,医药,110.21,3.37%,-1.93%,47.9,1.98%,41,3.70%,48.05,6.33,-0.30%,99.69,10.60%,5月12天,5.93年,3.93年,5.20%,5.20%,10,0.46%,0.05%,0.38%,-1.49%,-1.66%,86.59,87.4,23.98,111.38,-1.10%,46%,13%,16%,0.73,0.51,0.94,AA,4.50%,48
5,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,101.51,0.52%,1.68%,7.24,3.43%,5.7,1.20%,7.8,2.26,-7.20%,92.82,9.40%,5月11天,5.92年,3.92年,14.10%,13.10%,4.6,1.91%,1.49%,1.82%,0.55%,0.37%,86.14,86.7,20.27,106.97,-5.10%,50%,13%,17%,0.64,1.26,0.08,AA,4.70%,28
6,亚药转债,128062,2019-04-24,亚太药业,2370,医药,106.021,2.14%,4.80%,18.2,8.98%,200,19.70%,16.3,3.4,11.70%,111.66,-5.00%,5月10天,5.92年,3.92年,9.90%,11.00%,9.7,2.16%,1.56%,2.04%,-0.57%,-0.74%,86.81,93.16,29.47,122.63,-13.50%,58%,<2%,16%,0.77,3.56,-1.56,AA,4.50%,57
7,N现代转,110057,今日上市,现代制药,600420,医药,106.39,6.39%,0.00%,10.03,1.83%,"1,235",72.70%,10.09,1.52,-0.60%,99.41,7.00%,5月10天,5.92年,3.92年,15.30%,15.20%,16.2,0.73%,0.38%,0.66%,-0.68%,-0.84%,88.28,88.34,23.17,111.51,-4.60%,48%,<2%,16%,0.65,1.66,-0.26,AAA,4.00%,23
8,百姓转债,113531,2019-04-22,老百姓,603883,医药,109.75,1.81%,0.81%,58.06,4.05%,18,5.10%,60.59,5.34,-4.20%,95.82,14.50%,5月9天,4.91年,2.91年,2.00%,1.90%,3.3,0.53%,0.06%,0.43%,-2.46%,-2.56%,88.29,90,17.38,107.38,2.20%,37%,21%,16%,0.65,-0.21,1.51,AA,4.70%,26
9,精测转债,123025,2019-04-19,精测电子,300567,电子,110.179,-0.40%,1.64%,75.5,1.75%,10,2.40%,75.88,10.04,-0.50%,99.5,10.70%,5月10天,5.91年,3.91年,3.00%,3.00%,3.8,1.16%,0.62%,1.05%,-1.39%,-1.58%,86.42,90.12,23.22,113.34,-2.80%,73%,16%,17%,0.71,0.71,0.71,AA-,4.70%,17
10,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,108.63,-0.34%,-0.78%,26.27,-1.79%,41,3.60%,28.33,7.16,-7.30%,92.73,17.10%,5月10天,5.91年,3.91年,4.40%,4.10%,10.5,1.48%,0.93%,1.37%,-1.12%,-1.30%,86.06,90.36,17.44,107.8,0.80%,43%,17%,16%,0.62,-0.05,1.29,AA,4.80%,26
11,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,98.73,-0.18%,0.61%,13.7,0.96%,11,1.70%,16.88,3.83,-18.80%,81.16,21.60%,5月4天,5.91年,3.91年,11.40%,9.30%,6.3,3.72%,3.05%,3.58%,1.28%,1.09%,85.01,91.41,10.41,101.83,-3.00%,54%,14%,16%,0.45,0.55,0.36,AA,5.10%,28
12,中装转债,128060,2019-04-15,中装建设,2822,建筑,100.821,0.32%,1.50%,5.75,2.86%,13,2.50%,6.24,1.7,-7.90%,92.15,9.40%,5月10天,5.91年,3.91年,15.20%,14.00%,5.3,2.03%,1.61%,1.95%,0.72%,0.54%,86.16,86.7,19.8,106.49,-5.30%,68%,13%,17%,0.64,1.3,0.04,AA,4.70%,65
13,N招路转,127012,今日上市,招商公路,1965,机场高速港口,100,0.00%,0.00%,8.36,0.72%,"1,648",33.10%,9.34,1.27,-10.50%,89.51,11.70%,5月2天,5.89年,3.89年,9.70%,8.70%,50,1.38%,1.11%,1.32%,0.50%,0.40%,87.09,86.15,15.97,102.13,-2.10%,37%,14%,15%,0.55,1.01,0.13,AAA,4.00%,46
14,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,100.4,-0.59%,1.63%,21.78,1.82%,2.5,1.20%,24.9,3.86,-12.50%,87.47,14.80%,4月29天,4.89年,2.89年,11.70%,10.20%,2.1,2.55%,2.04%,2.45%,0.57%,0.43%,87.31,88.38,14.58,102.96,-2.50%,67%,18%,18%,0.57,0.48,0.67,A+,5.30%,20
15,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,102.3,2.10%,-0.86%,7.21,1.84%,11,1.80%,7.39,1.93,-2.40%,97.56,4.90%,4月29天,5.89年,4.89年,22.90%,22.40%,6,2.09%,1.61%,1.99%,0.65%,0.43%,84.23,88.66,23.21,111.87,-8.60%,41%,<2%,18%,0.67,2.1,-0.59,AA,4.70%,42
16,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,107.55,-0.09%,0.03%,20.08,-0.10%,27,1.50%,21.79,3.45,-7.80%,92.15,16.70%,4月27天,5.89年,3.89年,4.50%,4.20%,17.3,1.18%,0.71%,1.09%,-0.93%,-1.10%,87.1,89.66,17.37,107.03,0.50%,46%,18%,16%,0.59,0.23,0.94,AA+,4.40%,39
17,通威转债,110054,2019-04-10,通威股份,600438,农业,118.9,-1.02%,-0.49%,14.27,-1.92%,47,0.80%,12.44,3.17,14.70%,114.71,3.70%,4月24天,5.88年,3.88年,9.00%,10.40%,50,-0.49%,-0.95%,-0.58%,-3.26%,-3.45%,88.24,91.12,33.63,124.75,-4.70%,62%,<2%,16%,0.78,1.62,0.03,AA+,4.20%,17
18,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,107.5,0.62%,-0.51%,5.7,0.18%,8.3,0.60%,6.38,2.81,-10.70%,89.34,20.30%,4月25天,5.88年,3.88年,9.40%,8.40%,12.3,1.22%,0.75%,1.13%,-0.87%,-1.05%,86.07,88.05,16.32,104.38,3.00%,79%,20%,16%,0.61,-0.48,1.72,AA,4.80%,9
19,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,109.81,1.10%,-0.98%,17.18,0.17%,14,1.40%,17.6,2.95,-2.40%,97.61,12.50%,4月25天,5.87年,3.87年,11.60%,11.30%,8.8,0.88%,0.40%,0.79%,-1.35%,-1.54%,86.83,89.07,21.54,110.6,-0.70%,42%,15%,16%,0.69,0.39,1,AA,4.60%,20
20,苏银转债,110053,2019-04-03,江苏银行,600919,金融,106.51,1.17%,0.02%,7.34,2.37%,174,0.80%,7.9,0.87,-7.10%,92.91,14.60%,4月22天,5.87年,无权,23.60%,21.90%,200,2.00%,1.41%,1.88%,无权,无权,无权,95.3,18.18,113.48,-6.10%,25%,11%,18%,0.5,1.86,-0.7,AAA,4.00%,57
21,浙商转债,113022,2019-03-28,浙商证券,601878,金融,108.1,-0.58%,0.79%,10.02,0.50%,108,2.80%,12.53,3,-20.00%,79.97,35.20%,4月21天,5.87年,无权,10.50%,8.40%,35,0.30%,-0.02%,0.24%,无权,无权,无权,87.74,12.43,100.17,7.90%,50%,31%,18%,0.42,-1.05,1.94,AAA,4.00%,23
22,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,120.62,2.94%,-1.00%,46.46,2.43%,32,2.70%,40.52,5.19,14.70%,114.66,5.20%,4月18天,5.86年,3.86年,5.20%,6.00%,10,-0.34%,-0.88%,-0.44%,-3.69%,-3.86%,87.43,92.36,32.44,124.8,-3.30%,46%,10%,16%,0.8,1.16,0.48,AA,4.40%,20
23,视源转债,128059,2019-04-02,视源股份,2841,电子,114.1,0.97%,-0.03%,76.3,1.31%,11,1.00%,76.25,13.83,0.10%,100.07,14.00%,4月18天,5.86年,3.86年,1.90%,1.90%,9.4,0.03%,-0.41%,-0.06%,-2.34%,-2.52%,86.89,88.45,23.61,112.07,1.80%,56%,20%,16%,0.72,-0.07,1.52,AA,4.60%,13
24,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,109.34,-0.19%,-0.69%,11.45,-1.46%,19,1.50%,11.99,1.77,-4.50%,95.5,14.50%,4月18天,5.86年,3.86年,8.60%,8.20%,12,0.99%,0.50%,0.89%,-1.24%,-1.43%,87.68,90.41,20.27,110.68,-1.20%,41%,16%,17%,0.61,0.63,0.6,AA+,4.40%,17
25,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,115.337,1.26%,-0.17%,6.32,1.44%,4.1,0.60%,5.64,2.59,12.10%,112.06,2.90%,4月15天,5.85年,3.85年,8.90%,10.00%,5.7,1.13%,0.46%,0.99%,-2.35%,-2.58%,88.13,95.68,29.14,124.82,-7.60%,59%,<2%,16%,0.76,2.02,-0.37,AA,4.50%,41
26,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,106.137,-0.25%,-0.16%,9.73,-0.51%,76,12.40%,8.9,1.91,9.30%,109.33,-2.90%,4月13天,5.85年,3.85年,11.30%,12.30%,5.8,1.81%,1.26%,1.70%,-0.49%,-0.68%,87.35,91.28,29.09,120.37,-11.80%,74%,<2%,16%,0.79,3.03,-1.13,AA-,4.50%,42
27,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,114.2,-0.65%,-6.33%,9.16,-9.40%,60,3.30%,8.13,1.81,12.70%,112.67,1.40%,4月13天,5.85年,3.85年,16.80%,18.90%,16,0.72%,0.15%,0.61%,-2.25%,-2.45%,88.43,93.74,30.29,124.02,-7.90%,41%,<2%,16%,0.74,2.34,-0.66,AA+,4.30%,41
28,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,114.66,1.02%,-0.40%,14.95,0.81%,11,0.80%,13.62,4.12,9.80%,109.77,4.50%,4月10天,5.84年,3.84年,7.30%,8.00%,12,0.55%,0.00%,0.44%,-2.47%,-2.65%,87.28,92.09,28.74,120.83,-5.10%,50%,8%,16%,0.77,1.46,0.14,AA,4.50%,19
29,中信转债,113021,2019-03-19,中信银行,601998,金融,105.79,1.10%,-1.42%,6.29,-0.79%,63,0.20%,7.45,0.87,-15.60%,84.43,25.30%,4月13天,5.84年,无权,13.00%,11.00%,400,2.10%,1.51%,1.98%,无权,无权,无权,95.25,12.26,107.51,-1.60%,23%,14%,17%,0.41,0.76,0.09,AAA,4.00%,48
30,富祥转债,123020,2019-03-29,富祥股份,300497,医药,111.3,-0.22%,1.13%,20.75,1.12%,52,11.10%,18.05,3.67,15.00%,114.96,-3.20%,4月11天,5.83年,3.83年,9.00%,10.40%,4.2,1.49%,0.86%,1.36%,-1.60%,-1.81%,87.81,94.27,31.78,126.04,-11.70%,64%,<2%,16%,0.81,3.07,-1.13,AA-,4.50%,45
31,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,101.63,-0.31%,0.86%,21.83,0.88%,8.2,1.30%,24.18,2.57,-9.70%,90.28,12.60%,4月11天,5.83年,3.83年,16.30%,14.70%,6.3,2.66%,2.10%,2.55%,0.69%,0.47%,86.25,89.6,17.29,106.88,-4.90%,55%,13%,17%,0.62,1.01,0.27,AA-,5.00%,33
32,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,102.3,0.67%,0.36%,6.31,1.61%,1.5,0.40%,6.8,2.66,-7.20%,92.79,10.20%,4月8天,5.83年,3.83年,15.50%,14.40%,3.7,3.08%,2.42%,2.94%,0.61%,0.37%,86.17,91.71,18.08,109.79,-6.80%,71%,9%,17%,0.64,1.32,0.03,A+,5.10%,46
33,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,107.13,-0.47%,1.26%,10.14,1.20%,88,2.10%,10.29,1.62,-1.50%,98.54,8.70%,4月8天,5.83年,3.83年,12.80%,12.60%,39.7,1.14%,0.69%,1.05%,-0.79%,-0.98%,87.72,89.62,21.75,111.37,-3.80%,64%,13%,16%,0.66,1.26,0.11,AA+,4.30%,23
34,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,116.35,0.65%,1.10%,14.06,2.03%,36,3.40%,11.41,1.23,23.20%,123.23,-5.60%,4月7天,5.83年,3.83年,18.10%,22.30%,9.1,-0.13%,-0.60%,-0.22%,-2.80%,-2.98%,88.12,90.9,40.81,131.71,-11.70%,31%,<2%,16%,0.86,3.32,-1.23,AA,4.30%,42
35,中来转债,123019,2019-03-22,中来股份,300393,能源电力,101.44,0.60%,1.58%,18.68,3.84%,14,1.40%,20.41,1.92,-8.50%,91.52,10.80%,4月3天,5.82年,3.82年,22.20%,20.30%,10,3.72%,2.97%,3.57%,0.83%,0.60%,86.21,94.18,17,111.18,-8.80%,47%,9%,18%,0.57,1.84,-0.56,AA-,5.10%,54
