,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,鼎胜转债,113534,2019-04-30,鼎胜新材,603876,有色金属,94.39,-2.34%,-1.10%,15.36,-8.35%,66,5.60%,20.8,2.6,-26.20%,73.85,27.80%,5月11天,5.93年,3.93年,19.00%,14.00%,12.5,3.50%,3.01%,3.40%,2.37%,2.18%,84.59,85.97,8.51,94.48,-0.10%,61%,15%,16%,0.41,-0.1,0.92,AA,5.20%,32
2,核建转债,113024,2019-04-26,中国核建,601611,建筑,102.7,-1.25%,-2.94%,8,-10.00%,80,2.60%,9.93,2.92,-19.40%,80.56,27.50%,5月10天,5.92年,3.92年,14.30%,11.50%,30,1.17%,0.85%,1.11%,0.17%,0.00%,88.17,87.45,11.56,99.01,3.70%,42%,17%,16%,0.42,-0.3,1.13,AAA,4.00%,44
3,未来转债,128063,2019-04-24,德尔未来,2631,其他,100.4,-3.09%,-2.35%,7.85,-9.98%,38,5.90%,8.74,3.47,-10.20%,89.82,11.80%,5月7天,5.91年,4.91年,12.00%,10.80%,6.3,4.40%,3.56%,4.24%,1.73%,1.38%,85.25,96.44,14.1,110.54,-9.20%,52%,<2%,16%,0.55,1.86,-0.62,AA-,5.10%,49
4,参林转债,113533,2019-04-24,大参林,603233,医药,108.3,-1.73%,-0.17%,46.6,-2.71%,26,2.40%,48.05,5.96,-3.00%,96.98,11.70%,5月6天,5.91年,3.91年,5.40%,5.20%,10,0.76%,0.35%,0.68%,-1.07%,-1.24%,86.47,87.2,22,109.19,-0.80%,46%,16%,16%,0.7,0.44,0.96,AA,4.60%,49
5,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,100.2,-1.29%,-2.70%,6.74,-6.91%,7,1.50%,7.8,2.26,-13.60%,86.41,16.00%,5月5天,5.91年,3.91年,15.20%,13.10%,4.6,2.14%,1.72%,2.06%,0.88%,0.69%,85.77,86.13,16.19,102.33,-2.10%,50%,11%,17%,0.58,0.54,0.63,AA,4.80%,32
6,亚药转债,128062,2019-04-24,亚太药业,2370,医药,101.61,-4.16%,-2.66%,16.38,-10.00%,69,7.00%,16.3,3.4,0.50%,100.49,1.10%,5月4天,5.91年,3.91年,11.00%,11.00%,9.7,2.92%,2.31%,2.80%,0.48%,0.31%,86.27,92.3,21.61,113.91,-10.80%,58%,<2%,16%,0.68,2.64,-1.01,AA,4.60%,60
7,现代转债,110057,2019-04-30,现代制药,600420,医药,104.5,-1.78%,-2.55%,9.25,-7.78%,229,13.60%,10.09,1.52,-8.30%,91.67,14.00%,5月4天,5.91年,3.91年,16.50%,15.20%,16.2,1.04%,0.69%,0.97%,-0.24%,-0.40%,88.33,88.4,17.7,106.1,-1.50%,48%,10%,16%,0.56,0.9,0.25,AAA,4.00%,33
8,百姓转债,113531,2019-04-22,老百姓,603883,医药,109.22,-0.48%,1.67%,59.1,1.79%,19,5.40%,60.59,5.34,-2.50%,97.54,12.00%,5月3天,4.90年,2.90年,1.90%,1.90%,3.3,0.63%,0.16%,0.54%,-2.31%,-2.42%,88.45,90.22,18.36,108.58,0.60%,36%,20%,16%,0.66,0.15,1.18,AA,4.70%,28
9,精测转债,123025,2019-04-19,精测电子,300567,电子,105.3,-4.43%,-1.70%,67.95,-10.00%,28,6.90%,75.88,10.04,-10.50%,89.55,17.60%,5月4天,5.90年,3.90年,3.40%,3.00%,3.8,1.96%,1.41%,1.85%,-0.28%,-0.47%,85.71,89.03,17,106.03,-0.70%,72%,14%,17%,0.61,0.1,1.12,AA-,5.00%,19
10,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,105.71,-2.69%,-1.07%,24.45,-6.93%,58,5.20%,28.33,7.16,-13.70%,86.3,22.50%,5月4天,5.89年,3.89年,4.80%,4.10%,10.5,1.96%,1.41%,1.85%,-0.45%,-0.63%,85.6,89.64,13.78,103.42,2.20%,43%,18%,16%,0.54,-0.44,1.54,AA,4.90%,29
