,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,通威转债,110054,2019-04-10,通威股份,600438,农业,117.5,0.43%,-1.17%,12.56,-1.10%,132,2.30%,12.44,3.39,1.00%,100.96,16.40%,5.93年,3.93年,10.30%,10.40%,50,-0.28%,-0.75%,-0.37%,-2.95%,-3.13%,87.71,90.41,23.36,113.77,3.30%,62%,20%,16%,0.68,-0.19,1.55,AA+,4.30%,13
2,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,111.08,-0.38%,1.85%,6.1,2.18%,137,10.00%,6.38,2.96,-4.40%,95.61,16.20%,5.93年,3.93年,8.80%,8.40%,12.3,0.64%,0.18%,0.55%,-1.66%,-1.83%,86.33,88.51,20.42,108.94,2.00%,79%,22%,16%,0.68,-0.21,1.56,AA,4.60%,8
3,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,121.85,-0.57%,0.57%,20,0.00%,60,5.60%,17.6,3.74,13.60%,113.64,7.20%,5.92年,3.92年,9.90%,11.30%,8.8,-0.92%,-1.38%,-1.01%,-3.84%,-4.02%,87.5,90.13,33.38,123.51,-1.30%,42%,16%,16%,0.82,0.74,0.89,AA,4.40%,17
4,苏银转债,110053,2019-04-03,江苏银行,600919,金融,108.12,-0.06%,0.00%,7.22,-0.14%,565,2.60%,7.9,0.84,-8.60%,91.39,18.30%,5.92年,无权,24.00%,21.90%,200,1.72%,1.14%,1.60%,无权,无权,无权,95.14,17.34,112.48,-3.90%,25%,14%,18%,0.5,1.34,-0.26,AAA,4.00%,39
5,浙商转债,113022,2019-03-28,浙商证券,601878,金融,112.84,0.20%,0.05%,11.57,0.43%,157,4.00%,12.53,2.82,-7.70%,92.34,22.20%,5.91年,无权,9.10%,8.40%,35,-0.44%,-0.75%,-0.50%,无权,无权,无权,87.59,20.09,107.67,4.80%,50%,26%,18%,0.56,-0.33,1.46,AAA,4.00%,25
6,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,122.87,-0.06%,0.44%,45.12,0.49%,35,2.80%,40.52,6.44,11.40%,111.35,10.30%,5.91年,3.91年,5.40%,6.00%,10,-0.65%,-1.18%,-0.76%,-4.09%,-4.26%,87.12,91.97,30.09,122.05,0.70%,46%,19%,16%,0.78,0.26,1.3,AA,4.40%,14
7,视源转债,128059,2019-04-02,视源股份,2841,电子,116.331,-0.59%,0.34%,74.12,-0.35%,17,1.50%,76.25,14.28,-2.80%,97.21,19.70%,5.91年,3.91年,1.90%,1.90%,9.4,-0.30%,-0.73%,-0.39%,-2.78%,-2.96%,86.55,88.04,21.73,109.77,6.00%,56%,25%,16%,0.7,-0.89,2.34,AA,4.60%,16
8,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,118.45,-0.88%,-0.53%,12.91,-1.97%,85,5.90%,11.99,1.9,7.70%,107.67,10.00%,5.90年,3.90年,7.60%,8.20%,12,-0.41%,-0.87%,-0.50%,-3.17%,-3.35%,87.89,90.79,29,119.79,-1.10%,43%,16%,17%,0.72,0.75,0.69,AA+,4.30%,17
9,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,116.1,0.22%,0.03%,6.12,0.33%,25,3.70%,5.64,2.92,8.50%,108.51,7.00%,5.90年,3.90年,9.20%,10.00%,5.7,1.01%,0.34%,0.87%,-2.49%,-2.71%,87.83,95.29,26.7,121.99,-4.80%,59%,10%,16%,0.74,1.32,0.21,AA,4.50%,45
10,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,120.62,8.67%,-0.23%,10.59,9.97%,362,54.30%,8.9,2.29,19.00%,118.99,1.40%,5.89年,3.89年,10.40%,12.30%,5.8,-0.44%,-0.96%,-0.54%,-3.60%,-3.78%,87.64,91.81,36.7,128.5,-6.10%,74%,<2%,16%,0.85,1.78,0,AA-,4.40%,44
11,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,121.38,0.31%,0.41%,10.35,0.88%,97,5.00%,8.13,2.5,27.30%,127.31,-4.70%,5.89年,3.89年,14.80%,18.90%,16,-0.34%,-0.90%,-0.45%,-3.70%,-3.89%,88.57,94.02,42.36,136.38,-11.00%,41%,<2%,16%,0.83,3.26,-1.24,AA+,4.20%,38
12,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,124,-0.80%,-0.55%,16.41,-1.62%,12,0.80%,13.62,5.12,20.50%,120.48,2.90%,5.89年,3.89年,6.70%,8.00%,12,-0.81%,-1.34%,-0.92%,-4.33%,-4.50%,87.55,92.58,37.19,129.77,-4.40%,51%,<2%,16%,0.83,1.46,0.26,AA,4.30%,16
13,中信转债,113021,2019-03-19,中信银行,601998,金融,107.41,0.10%,-0.43%,6.32,-0.78%,108,0.30%,7.45,0.77,-15.20%,84.83,26.60%,5.89年,无权,12.90%,11.00%,400,1.81%,1.23%,1.70%,无权,无权,无权,95.09,12.57,107.65,-0.20%,23%,17%,17%,0.41,0.48,0.36,AAA,4.00%,38
14,富祥转债,123020,2019-03-29,富祥股份,300497,医药,122.44,-0.05%,1.01%,22.69,1.11%,28,5.50%,18.05,4.66,25.70%,125.71,-2.60%,5.88年,3.88年,8.20%,10.40%,4.2,-0.19%,-0.80%,-0.31%,-3.90%,-4.10%,88.09,94.78,40.48,135.26,-9.50%,64%,<2%,16%,0.86,2.65,-0.71,AA-,4.40%,44
15,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,109.95,1.67%,-0.93%,24.99,1.01%,7,1.00%,24.18,2.71,3.30%,103.35,6.40%,5.88年,3.88年,14.20%,14.70%,6.3,1.25%,0.70%,1.14%,-1.28%,-1.49%,87.08,90.93,25.81,116.74,-5.80%,56%,8%,17%,0.74,1.42,0.12,AA-,4.70%,31
16,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,112.298,0.90%,-0.48%,7.41,0.54%,12,2.90%,6.8,2.96,9.00%,108.97,3.10%,5.87年,3.87年,13.20%,14.40%,3.7,1.39%,0.75%,1.27%,-1.72%,-1.94%,87.29,93.52,28.77,122.28,-8.20%,71%,<2%,17%,0.77,1.92,-0.25,A+,4.70%,39
17,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,111.8,-0.16%,-0.54%,10.05,-1.08%,40,0.90%,10.29,1.64,-2.30%,97.67,14.50%,5.87年,3.87年,12.90%,12.60%,39.7,0.38%,-0.06%,0.30%,-1.84%,-2.01%,87.53,89.41,21.26,110.67,1.00%,64%,18%,16%,0.65,0.24,1.06,AA+,4.30%,23
18,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,126.04,0.25%,0.17%,14.88,0.47%,46,4.00%,11.41,1.64,30.40%,130.41,-3.40%,5.87年,3.87年,17.10%,22.30%,9.1,-1.50%,-1.96%,-1.59%,-4.69%,-4.87%,88.14,91.01,47.2,138.21,-8.80%,30%,<2%,16%,0.89,2.65,-0.65,AA,4.20%,44
19,中来转债,123019,2019-03-22,中来股份,300393,能源电力,109.8,1.20%,0.21%,21.05,2.09%,21,1.90%,20.41,2.02,3.10%,103.14,6.50%,5.87年,3.87年,19.70%,20.30%,10,2.27%,1.54%,2.12%,-1.16%,-1.38%,86.91,95.38,24.22,119.6,-8.20%,48%,8%,18%,0.68,1.87,-0.39,AA-,4.80%,52
20,中宠转债,128054,2019-03-14,中宠股份,2891,农业,109.5,0.64%,0.28%,34.72,1.37%,4.4,2.10%,37.97,4.74,-8.60%,91.44,19.70%,5.84年,3.84年,5.60%,5.10%,1.9,0.95%,0.47%,0.85%,-1.31%,-1.49%,85.73,87.54,18.1,105.64,3.60%,48%,22%,16%,0.68,-0.76,2.16,A+,5.00%,17
21,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,119.381,-1.03%,-1.02%,6.32,-2.32%,55,6.10%,4.94,1.93,27.90%,127.94,-6.70%,5.84年,3.84年,16.80%,21.50%,7.5,-0.60%,-1.07%,-0.70%,-3.46%,-3.63%,88.05,90.9,44.89,135.79,-12.10%,42%,<2%,16%,0.88,3.47,-1.31,AA,4.20%,61
22,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,116.12,-0.33%,0.16%,17.82,-0.22%,17,2.00%,14.96,1.33,19.10%,119.12,-2.50%,5.78年,3.78年,23.20%,27.70%,7.5,0.68%,0.07%,0.56%,-2.77%,-2.96%,87.89,94.48,36.34,130.83,-11.20%,39%,<2%,18%,0.79,3.01,-1.1,AA,4.40%,42
23,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,116.63,0.56%,0.48%,14.25,1.28%,2.4,0.50%,12.31,2.88,15.80%,115.76,0.80%,5.78年,3.78年,12.80%,14.90%,3.9,-0.85%,-1.20%,-0.92%,-2.98%,-3.15%,87.62,87.13,38.32,125.45,-7.00%,50%,<2%,18%,0.81,2.05,-0.29,AA,4.40%,19
24,平银转债,127010,2019-02-18,平安银行,1,金融,121.496,0.25%,-0.89%,13.42,-0.89%,192,0.60%,11.77,1.05,14.00%,114.02,6.60%,5.77年,无权,11.30%,12.90%,260,-0.52%,-1.06%,-0.62%,无权,无权,无权,94.62,31.96,126.58,-4.00%,29%,<2%,16%,0.72,1.61,-0.08,AAA,4.00%,48
25,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,143.55,1.74%,-1.13%,9.49,0.64%,121,16.70%,5.52,2.19,71.90%,171.92,-16.50%,5.75年,3.75年,8.20%,14.10%,5.1,-3.80%,-4.24%,-3.89%,-8.01%,-8.16%,88.83,91.93,85.6,177.53,-19.10%,44%,<2%,17%,0.95,5.81,-2.8,AA,4.10%,28
26,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,177,17.70%,-7.97%,14.3,10.00%,421,74.40%,6.97,3.28,105%,205.16,-13.70%,5.69年,3.69年,6.90%,14.20%,3.3,-7.35%,-7.78%,-7.44%,-12.50%,-12.60%,89.38,92.55,117.81,210.36,-15.90%,78%,<2%,17%,0.97,4.87,-2.16,AA,4.10%,33
27,溢利转债,123018,2019-01-23,溢多利,300381,医药,116.8,0.26%,-0.51%,10.29,-0.29%,5.6,0.70%,8.41,2.1,22.40%,122.35,-4.50%,5.68年,3.68年,15.90%,19.40%,6.7,-0.23%,-0.71%,-0.33%,-3.05%,-3.23%,88.21,90.87,40.48,131.35,-11.10%,77%,<2%,17%,0.86,3.07,-1.05,AA-,4.40%,33
28,佳都转债,110050,2019-01-21,佳都科技,600728,计算机及应用,133.8,0.93%,-0.02%,11.3,0.98%,56,4.80%,7.95,5.56,42.10%,142.14,-5.90%,5.68年,3.68年,4.80%,6.80%,8.8,-2.78%,-3.21%,-2.87%,-6.44%,-6.61%,88.89,91.1,57.59,148.69,-10.00%,71%,<2%,16%,0.92,3.07,-0.93,AA,4.20%,23
29,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,126.5,-1.25%,0.25%,17.22,-1.26%,39,1.00%,14.55,2.98,18.40%,118.35,6.90%,5.68年,3.68年,2.70%,3.20%,30.1,-2.47%,-2.78%,-2.53%,-5.12%,-5.28%,89.11,88.38,38.12,126.5,0.00%,32%,18%,16%,0.79,0.83,0.77,AAA,4.00%,25
30,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,113,-0.04%,0.29%,12.18,0.33%,4.1,0.70%,11.56,2.67,5.40%,105.36,7.20%,5.67年,3.67年,7.90%,8.40%,5.3,0.36%,-0.12%,0.27%,-2.21%,-2.39%,87.72,90.13,27.21,117.34,-3.70%,47%,13%,17%,0.74,1.1,0.41,AA,4.50%,9
31,奇精转债,113524,2019-01-07,奇精机械,603677,家电,109.02,0.26%,-0.53%,15.04,-0.40%,1.4,0.40%,14.76,3.06,1.90%,101.9,7.00%,5.67年,3.67年,11.20%,11.40%,3.3,1.48%,0.90%,1.36%,-1.28%,-1.47%,87.4,91.95,24.29,116.24,-6.20%,60%,9%,18%,0.68,1.57,-0.12,AA,4.60%,50
32,光华转债,128051,2019-01-09,光华科技,2741,汽车,108.608,-0.20%,-0.45%,16.28,-0.97%,0.6,0.20%,17.03,5.07,-4.40%,95.6,13.60%,5.67年,3.67年,4.10%,3.90%,2.5,1.19%,0.68%,1.09%,-1.05%,-1.27%,87.28,89.35,20.8,110.15,-1.40%,37%,15%,17%,0.67,0.38,0.96,AA-,4.80%,23
