,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,106.7,1.16%,-0.88%,5.69,5.57%,20,4.40%,6.94,1.56,-18.00%,81.99,30.10%,0.73年,回售中,3.60%,3.00%,4.3,-0.89%,-2.42%,-1.20%,回售中,回售中,103,101.64,0.31,101.95,4.70%,70%,45%,16%,0.05,-0.83,0.93,AA,5.90%,7
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,123.75,1.60%,1.33%,6.19,3.69%,115,1.60%,5.19,1.6,19.30%,119.27,3.80%,1.84年,回售中,6.60%,7.80%,59.9,-7.13%,-7.88%,-7.28%,回售中,回售中,103,100.62,22.79,123.41,0.30%,50%,22%,16%,0.8,0.77,0.83,AAA,4.00%,14
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,113.88,0.79%,-0.57%,28.9,3.47%,4.5,0.20%,42.38,5.04,-31.80%,68.19,67.00%,2.20年,0.20年,4.50%,3.00%,24,-1.59%,-2.42%,-1.76%,-31.70%,-32.60%,100.33,101.08,0.76,101.84,11.80%,54%,54%,17%,0.06,-2.05,2.3,AAA,4.00%,7
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,132.39,4.24%,-0.19%,5.73,4.56%,40,5.90%,4.31,1.99,32.90%,132.95,-0.40%,2.71年,0.71年,3.90%,5.10%,5.3,-6.28%,-6.98%,-6.42%,-26.70%,-27.00%,98.17,99.66,38.91,138.56,-4.50%,39%,<2%,17%,0.89,1.77,0.09,AA,4.20%,63
5,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,117.5,2.00%,-0.41%,9.4,2.29%,37,2.20%,8.61,1.39,9.20%,109.18,7.60%,2.76年,0.76年,8.60%,9.30%,14.6,-2.03%,-2.75%,-2.18%,-14.60%,-15.00%,97.79,99.05,18.57,117.62,-0.10%,35%,16%,15%,0.69,0.65,0.75,AA+,4.30%,7
6,九州转债,110034,2016-01-29,九州通,600998,医药,110.7,0.14%,0.39%,15.94,1.66%,21,1.30%,18.42,2.03,-13.50%,86.54,27.90%,2.79年,0.79年,5.00%,4.30%,15,-0.10%,-0.78%,-0.23%,-6.51%,-7.23%,99.36,97.29,6.69,103.98,6.50%,26%,26%,15%,0.32,-0.97,1.63,AA+,4.70%,14
7,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,112.01,1.38%,-0.98%,11.89,1.80%,30,1.10%,14.74,1.61,-19.30%,80.66,38.90%,2.81年,0.81年,2.10%,1.70%,25.5,-0.98%,-1.57%,-1.10%,-9.40%,-9.71%,97.94,97.78,3.5,101.28,10.60%,34%,34%,15%,0.23,-1.68,2.23,AAA,4.00%,9
8,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,104.65,0.14%,-0.14%,5.09,3.04%,6.9,1.30%,9.28,1.89,-45.20%,54.85,90.80%,2.81年,0.81年,10.20%,5.60%,5.1,2.22%,1.46%,2.07%,-2.73%,-3.10%,96.25,94.65,2.03,96.68,8.20%,42%,50%,17%,0,-1.53,1.57,AA,6.00%,25
9,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,99.8,3.66%,-3.66%,2.99,9.93%,52,6.30%,7.71,1.3,-61.20%,38.78,157%,3年19天,1年19天,18.70%,7.30%,8.5,2.23%,1.80%,2.14%,4.54%,3.66%,97.03,87.1,10.62,97.72,2.10%,85%,<2%,17%,0,-0.42,0.4,A+,7.00%,79
10,海印转债,127003,2016-07-01,海印股份,861,商业零售,113.801,1.43%,-0.60%,3.19,1.27%,42,3.40%,3.03,2.21,5.30%,105.28,8.10%,3.18年,1.18年,16.00%,16.80%,11.1,0.14%,-0.67%,-0.02%,-7.30%,-7.67%,96.68,99.1,18.19,117.29,-3.00%,26%,25%,16%,0.66,1.04,0.31,AA,4.70%,100
