,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,105,-0.25%,0.25%,5.2,-1.52%,5.1,1.10%,6.94,1.43,-25.10%,74.93,40.10%,0.74年,回售中,4.00%,3.00%,4.3,1.28%,-0.26%,0.98%,回售中,回售中,103,101.51,0.25,101.76,3.20%,70%,46%,16%,0,-0.63,0.47,AA,6.00%,7
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,119.71,0.00%,-0.24%,5.83,-0.34%,13,0.20%,5.19,1.51,12.30%,112.33,6.60%,1.85年,回售中,7.00%,7.80%,59.9,-5.39%,-6.16%,-5.55%,回售中,回售中,103,100.58,17.33,117.91,1.50%,50%,21%,16%,0.71,0.44,0.98,AAA,4.00%,16
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,111.99,-0.03%,-0.01%,26.99,-1.14%,9.1,0.30%,42.38,5.06,-36.30%,63.69,75.80%,2.21年,0.21年,4.80%,3.00%,24,-0.82%,-1.65%,-0.99%,-26.50%,-27.30%,100.28,101.04,0.43,101.47,10.40%,54%,55%,17%,0.04,-1.84,2,AAA,4.00%,7
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,124.51,-2.73%,-0.30%,5.33,-3.62%,24,3.60%,4.31,1.85,23.70%,123.67,0.70%,2.72年,0.72年,4.60%,5.60%,5.3,-4.09%,-4.81%,-4.23%,-20.80%,-21.10%,98.04,99.35,31.03,130.38,-4.50%,39%,<2%,17%,0.84,1.69,0.07,AA,4.30%,61
5,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,112.97,-0.98%,-0.59%,8.75,-2.67%,11,0.70%,8.61,1.29,1.60%,101.63,11.20%,2.77年,0.77年,9.20%,9.30%,14.6,-0.61%,-1.34%,-0.75%,-10.70%,-11.10%,97.65,98.73,13.55,112.28,0.60%,35%,16%,15%,0.59,0.39,0.79,AA+,4.40%,9
6,九州转债,110034,2016-01-29,九州通,600998,医药,109.93,-0.52%,0.52%,15.47,0.00%,8.6,0.50%,18.42,1.97,-16.00%,83.98,30.90%,2.80年,0.80年,5.20%,4.30%,15,0.15%,-0.53%,0.02%,-5.76%,-6.48%,99.25,97.08,5.86,102.94,6.80%,26%,27%,15%,0.26,-1.06,1.61,AA+,4.70%,13
7,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,109.4,-0.55%,0.43%,11.37,-0.70%,3.2,0.10%,14.74,1.54,-22.90%,77.14,41.80%,2.82年,0.82年,2.20%,1.70%,25.5,-0.13%,-0.73%,-0.25%,-7.10%,-7.42%,97.9,97.74,2.61,100.35,9.00%,34%,34%,15%,0.18,-1.47,1.88,AAA,4.00%,11
8,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,103.719,-0.27%,0.27%,4.77,-0.21%,1.6,0.30%,9.28,1.77,-48.60%,51.4,102%,2.82年,0.82年,10.90%,5.60%,5.1,2.54%,1.78%,2.39%,-1.81%,-2.18%,96.19,94.59,2.04,96.63,7.30%,42%,50%,17%,0,-1.36,1.39,AA,6.00%,23
9,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,95.819,-0.16%,0.16%,2.7,0.00%,5.9,0.70%,7.71,1.17,-65.00%,35.02,174%,3年23天,1年23天,20.80%,7.30%,8.5,3.62%,3.18%,3.53%,8.04%,7.13%,96.96,87.04,10.65,97.69,-1.90%,85%,<2%,17%,0,0.39,-0.36,A+,7.00%,79
10,海印转债,127003,2016-07-01,海印股份,861,商业零售,108.76,-0.02%,0.02%,2.99,0.00%,18,1.50%,3.5,2.07,-14.60%,85.43,27.30%,3.20年,1.20年,17.00%,14.60%,11.1,1.60%,0.78%,1.44%,-4.08%,-4.46%,95.93,97.4,7.57,104.97,3.60%,26%,24%,16%,0.37,-0.56,1.31,AA,5.30%,100
