,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,核建转债,113024,2019-04-26,中国核建,601611,建筑,103.36,0.35%,-0.17%,8.78,0.34%,151,4.90%,9.93,2.97,-11.60%,88.42,16.90%,5月17天,5.94年,3.94年,13.00%,11.50%,30,1.05%,0.74%,0.99%,0.01%,-0.15%,88.11,87.38,16.21,103.59,-0.20%,42%,17%,16%,0.53,0.59,0.48,AAA,4.00%,34
2,未来转债,128063,2019-04-24,德尔未来,2631,其他,104,-7.12%,0.42%,8.88,-10.00%,60,8.90%,8.74,3.47,1.60%,101.6,2.40%,5月14天,5.93年,4.93年,10.60%,10.80%,6.3,3.75%,2.93%,3.59%,1.01%,0.66%,86.42,97.98,20.95,118.94,-12.60%,52%,<2%,16%,0.67,2.89,-1.23,AA-,4.80%,51
3,参林转债,113533,2019-04-24,大参林,603233,医药,106.62,0.87%,2.58%,46.97,4.87%,36,3.40%,48.05,6.33,-2.20%,97.75,9.10%,5月13天,5.93年,3.93年,5.30%,5.20%,10,1.03%,0.62%,0.95%,-0.68%,-0.85%,86.46,87.22,22.6,109.82,-2.90%,46%,16%,16%,0.71,0.89,0.55,AA,4.60%,48
4,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,100.98,-0.88%,-2.08%,7,-4.76%,9,1.90%,7.8,2.26,-10.30%,89.74,12.50%,5月12天,5.93年,3.93年,14.60%,13.10%,4.6,2.00%,1.58%,1.91%,0.68%,0.50%,85.98,86.48,18.31,104.79,-3.60%,50%,10%,17%,0.62,0.88,0.39,AA,4.80%,30
5,亚药转债,128062,2019-04-24,亚太药业,2370,医药,103.8,-1.12%,2.89%,16.7,2.52%,105,10.50%,16.3,3.54,2.50%,102.45,1.30%,5月11天,5.93年,3.93年,10.80%,11.00%,9.7,2.53%,1.93%,2.41%,-0.05%,-0.22%,86.32,92.42,22.9,115.31,-10.00%,58%,6%,16%,0.7,2.49,-0.86,AA,4.60%,61
6,百姓转债,113531,2019-04-22,老百姓,603883,医药,107.8,1.88%,-1.01%,55.8,1.45%,19,5.40%,60.59,5.88,-7.90%,92.09,17.10%,5月10天,4.92年,2.92年,2.00%,1.90%,3.3,0.90%,0.43%,0.80%,-1.88%,-1.99%,88.05,89.61,15.13,104.74,2.90%,37%,20%,16%,0.6,-0.39,1.61,AA,4.80%,25
7,精测转债,123025,2019-04-19,精测电子,300567,电子,110.62,0.45%,-1.64%,74.2,-1.72%,5.7,1.40%,75.88,10.04,-2.20%,97.79,13.10%,5月11天,5.92年,3.92年,3.10%,3.00%,3.8,1.09%,0.55%,0.98%,-1.49%,-1.68%,86.27,89.91,22.18,112.09,-1.30%,73%,14%,17%,0.69,0.36,1.02,AA-,4.80%,18
8,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,109,-0.37%,-2.31%,26.75,-4.16%,37,3.30%,28.33,7.08,-5.60%,94.42,15.40%,5月11天,5.91年,3.91年,4.40%,4.10%,10.5,1.42%,0.87%,1.31%,-1.20%,-1.38%,86.19,90.55,18.51,109.06,-0.10%,43%,14%,16%,0.64,0.13,1.16,AA,4.70%,24
9,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,98.91,-1.11%,-0.47%,13.57,-3.62%,9.3,1.50%,16.88,3.83,-19.60%,80.39,23.00%,5月5天,5.91年,3.91年,11.60%,9.30%,6.3,3.68%,3.02%,3.55%,1.23%,1.04%,84.93,91.29,10.08,101.38,-2.40%,54%,13%,16%,0.44,0.41,0.48,AA,5.10%,30
10,中装转债,128060,2019-04-15,中装建设,2822,建筑,100.5,-0.89%,-2.37%,5.59,-5.25%,18,3.40%,6.24,1.7,-10.40%,89.58,12.20%,5月11天,5.91年,3.91年,15.70%,14.00%,5.3,2.09%,1.67%,2.00%,0.80%,0.62%,86.04,86.53,18.16,104.68,-4.00%,68%,9%,17%,0.62,0.96,0.31,AA,4.80%,67
11,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,100.998,-1.71%,-3.69%,21.39,-9.90%,2.4,1.10%,24.9,3.78,-14.10%,85.9,17.60%,5月0天,4.89年,2.89年,11.90%,10.20%,2.1,2.42%,1.91%,2.32%,0.37%,0.23%,87.12,88.08,13.85,101.93,-0.90%,66%,11%,18%,0.54,0.12,0.97,A+,5.40%,25
12,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,100.2,-4.12%,1.37%,7.08,-4.19%,41,6.70%,7.39,1.93,-4.20%,95.81,4.60%,5月0天,5.89年,4.89年,23.40%,22.40%,6,2.46%,1.97%,2.36%,1.06%,0.85%,84.07,88.47,22.11,110.58,-9.40%,41%,<2%,18%,0.66,2.27,-0.75,AA,4.70%,43
13,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,107.65,-0.33%,-3.01%,20.1,-5.68%,44,2.30%,21.79,3.45,-7.80%,92.24,16.70%,4月28天,5.89年,3.89年,4.50%,4.20%,17.3,1.16%,0.70%,1.07%,-0.95%,-1.12%,87.1,89.66,17.43,107.09,0.50%,46%,14%,16%,0.59,0.23,0.95,AA+,4.40%,39
14,通威转债,110054,2019-04-10,通威股份,600438,农业,120.12,1.27%,0.51%,14.55,2.25%,50,0.80%,12.44,3.17,17.00%,116.96,2.70%,4月25天,5.89年,3.89年,8.90%,10.40%,50,-0.66%,-1.13%,-0.76%,-3.51%,-3.69%,88.26,91.16,35.48,126.64,-5.20%,62%,<2%,16%,0.79,1.74,-0.06,AA+,4.20%,19
15,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,106.84,-0.71%,-2.34%,5.69,-5.01%,20,1.50%,6.38,3.02,-10.80%,89.18,19.80%,4月26天,5.89年,3.89年,9.40%,8.40%,12.3,1.33%,0.85%,1.23%,-0.72%,-0.90%,86.05,88.02,16.23,104.26,2.50%,79%,17%,16%,0.61,-0.39,1.61,AA,4.80%,10
16,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,108.61,0.02%,-1.93%,17.15,-2.78%,64,6.70%,17.6,2.95,-2.60%,97.44,11.50%,4月26天,5.88年,3.88年,11.60%,11.30%,8.8,1.07%,0.59%,0.98%,-1.08%,-1.27%,86.81,89.04,21.44,110.48,-1.70%,42%,12%,16%,0.69,0.58,0.8,AA,4.60%,19
17,苏银转债,110053,2019-04-03,江苏银行,600919,金融,105.28,0.39%,0.59%,7.17,1.99%,586,2.80%,7.9,0.92,-9.20%,90.76,16.00%,4月23天,5.87年,无权,24.20%,21.90%,200,2.20%,1.61%,2.09%,无权,无权,无权,95.29,16.84,112.13,-6.10%,25%,12%,18%,0.49,1.84,-0.7,AAA,4.00%,57
18,浙商转债,113022,2019-03-28,浙商证券,601878,金融,108.73,-0.70%,-2.24%,9.97,-7.08%,103,2.70%,12.53,3.06,-20.40%,79.57,36.60%,4月22天,5.87年,无权,10.50%,8.40%,35,0.20%,-0.12%,0.14%,无权,无权,无权,87.73,12.23,99.96,8.80%,50%,27%,18%,0.42,-1.2,2.1,AAA,4.00%,24
19,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,117.17,1.36%,-3.36%,45.36,-2.56%,65,5.60%,40.52,5.49,11.90%,111.94,4.70%,4月19天,5.87年,3.87年,5.40%,6.00%,10,0.17%,-0.38%,0.06%,-2.99%,-3.16%,87.3,92.16,30.38,122.54,-4.40%,46%,<2%,16%,0.78,1.35,0.27,AA,4.40%,21
20,视源转债,128059,2019-04-02,视源股份,2841,电子,113,2.73%,0.36%,75.31,4.35%,48,4.60%,76.25,14.69,-1.20%,98.77,14.40%,4月19天,5.87年,3.87年,1.90%,1.90%,9.4,0.20%,-0.24%,0.11%,-2.10%,-2.28%,86.8,88.32,22.7,111.02,1.80%,56%,20%,16%,0.71,-0.08,1.5,AA,4.60%,13
