,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,105.9,-0.38%,0.38%,5.23,-2.61%,10,2.30%,6.94,1.44,-24.60%,75.36,40.50%,0.75年,回售中,3.90%,3.00%,4.3,0.13%,-1.38%,-0.18%,回售中,回售中,103,101.46,0.28,101.73,4.10%,70%,48%,16%,0,-0.8,0.71,AA,6.00%,8
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,122.12,-1.05%,-0.18%,6.04,-1.63%,43,0.60%,5.19,1.56,16.40%,116.38,4.90%,1.86年,回售中,6.70%,7.80%,59.9,-6.39%,-7.14%,-6.54%,回售中,回售中,103,100.55,20.54,121.09,0.90%,50%,20%,16%,0.75,0.62,0.89,AAA,4.00%,15
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,114,-0.18%,0.29%,28.9,1.90%,6.3,0.20%,42.38,5.42,-31.80%,68.19,67.20%,2.21年,0.21年,4.50%,3.00%,24,-1.62%,-2.44%,-1.79%,-30.30%,-31.20%,100.25,101,0.77,101.77,12.00%,55%,55%,17%,0.06,-2.08,2.34,AAA,4.00%,8
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,136.55,1.75%,-0.19%,5.89,1.73%,41,5.70%,4.31,2.04,36.70%,136.66,-0.10%,2.73年,0.73年,4.20%,5.70%,5.4,-7.29%,-7.98%,-7.43%,-28.60%,-28.90%,98.12,99.65,42.05,141.7,-3.60%,40%,<2%,17%,0.9,1.62,0.25,AA,4.20%,65
5,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,117,-1.22%,-1.31%,9.2,-3.77%,19,1.10%,8.61,1.36,6.90%,106.85,9.50%,2.78年,0.78年,8.70%,9.30%,14.6,-1.87%,-2.58%,-2.01%,-13.90%,-14.20%,97.69,98.91,17,115.91,0.90%,34%,16%,15%,0.67,0.41,0.94,AA+,4.30%,6
6,九州转债,110034,2016-01-29,九州通,600998,医药,112.37,0.07%,-0.90%,15.9,-2.63%,11,0.70%,18.42,2.02,-13.70%,86.32,30.20%,2.81年,0.81年,5.00%,4.30%,15,-0.63%,-1.31%,-0.77%,-7.82%,-8.51%,99.27,97.19,6.68,103.87,8.20%,26%,26%,15%,0.32,-1.27,1.96,AA+,4.70%,10
7,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,111.75,-1.19%,0.70%,11.85,-2.23%,8.2,0.30%,14.74,1.61,-19.60%,80.39,39.00%,2.83年,0.83年,2.10%,1.70%,25.5,-0.89%,-1.47%,-1.01%,-9.01%,-9.32%,97.86,97.71,3.47,101.17,10.50%,34%,34%,15%,0.22,-1.65,2.2,AAA,4.00%,12
8,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,104.52,-1.49%,1.48%,5.04,-1.56%,2.2,0.40%,9.28,1.87,-45.70%,54.31,92.40%,2.83年,0.83年,10.30%,5.60%,5.1,2.25%,1.50%,2.10%,-2.56%,-2.92%,96.15,94.55,2.09,96.64,8.10%,42%,51%,17%,0,-1.51,1.56,AA,6.00%,21
9,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,96.12,-0.81%,0.81%,2.93,-0.68%,20,2.50%,7.71,1.27,-62.00%,38,153%,3年26天,1年26天,19.10%,7.30%,8.5,3.49%,3.05%,3.40%,7.68%,6.78%,96.9,86.99,10.68,97.66,-1.60%,85%,<2%,17%,0,0.32,-0.3,A+,7.00%,85
10,海印转债,127003,2016-07-01,海印股份,861,商业零售,109.535,-0.05%,0.59%,3.09,1.31%,17,1.40%,3.5,2.14,-11.70%,88.29,24.10%,3.20年,1.20年,16.50%,14.60%,11.1,1.37%,0.55%,1.20%,-4.56%,-4.94%,95.98,97.56,8.89,106.45,2.90%,26%,24%,16%,0.41,-0.4,1.23,AA,5.20%,100
