,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N鼎胜转,113534,2019-04-30,鼎胜新材,603876,有色金属,96.65,-3.35%,0.00%,16.76,0.66%,272,22.40%,20.8,2.6,-19.40%,80.58,19.90%,5月13天,5.93年,3.93年,17.40%,14.00%,12.5,3.08%,2.59%,2.98%,1.77%,1.59%,85.18,86.82,11.66,98.49,-1.90%,61%,20%,16%,0.5,0.35,0.66,AA,5.00%,31
2,核建转债,113024,2019-04-26,中国核建,601611,建筑,104,0.62%,0.05%,8.89,1.25%,151,4.90%,9.93,2.92,-10.50%,89.53,16.20%,5月12天,5.93年,3.93年,12.80%,11.50%,30,0.95%,0.63%,0.89%,-0.14%,-0.30%,88.15,87.43,16.88,104.31,-0.30%,42%,17%,16%,0.53,0.61,0.47,AAA,4.00%,41
3,未来转债,128063,2019-04-24,德尔未来,2631,其他,103.6,-0.38%,-0.79%,8.72,-1.80%,77,11.70%,8.74,3.47,-0.20%,99.77,3.80%,5月9天,5.92年,4.92年,10.80%,10.80%,6.3,3.83%,3.00%,3.67%,1.09%,0.74%,86.3,97.81,19.76,117.57,-11.90%,52%,<2%,16%,0.65,2.7,-1.11,AA-,4.90%,49
4,参林转债,113533,2019-04-24,大参林,603233,医药,110.21,3.37%,-1.93%,47.9,1.98%,41,3.70%,48.05,6.33,-0.30%,99.69,10.60%,5月8天,5.92年,3.92年,5.20%,5.20%,10,0.46%,0.05%,0.38%,-1.49%,-1.66%,86.63,87.44,23.95,111.39,-1.10%,46%,13%,16%,0.73,0.51,0.94,AA,4.50%,48
5,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,101.51,0.52%,1.68%,7.24,3.43%,5.7,1.20%,7.8,2.26,-7.20%,92.82,9.40%,5月7天,5.91年,3.91年,14.10%,13.10%,4.6,1.91%,1.49%,1.83%,0.55%,0.37%,86.18,86.74,20.24,106.98,-5.10%,50%,13%,17%,0.64,1.26,0.08,AA,4.70%,31
6,亚药转债,128062,2019-04-24,亚太药业,2370,医药,106.021,2.14%,4.80%,18.2,8.98%,200,19.70%,16.3,3.4,11.70%,111.66,-5.00%,5月6天,5.91年,3.91年,9.90%,11.00%,9.7,2.17%,1.57%,2.05%,-0.57%,-0.74%,86.85,93.2,29.43,122.63,-13.50%,58%,<2%,16%,0.77,3.56,-1.56,AA,4.50%,58
7,N现代转,110057,2019-04-30,现代制药,600420,医药,106.39,6.39%,0.00%,10.03,1.83%,"1,235",72.70%,10.09,1.52,-0.60%,99.41,7.00%,5月6天,5.91年,3.91年,15.30%,15.20%,16.2,0.73%,0.38%,0.66%,-0.68%,-0.84%,88.31,88.38,23.14,111.52,-4.60%,48%,<2%,16%,0.65,1.66,-0.26,AAA,4.00%,27
8,百姓转债,113531,2019-04-22,老百姓,603883,医药,109.75,1.81%,0.81%,58.06,4.05%,18,5.10%,60.59,5.34,-4.20%,95.82,14.50%,5月5天,4.90年,2.90年,2.00%,1.90%,3.3,0.53%,0.06%,0.44%,-2.46%,-2.57%,88.34,90.04,17.34,107.39,2.20%,37%,21%,16%,0.65,-0.21,1.51,AA,4.70%,25
9,精测转债,123025,2019-04-19,精测电子,300567,电子,110.179,-0.40%,1.64%,75.5,1.75%,10,2.40%,75.88,10.04,-0.50%,99.5,10.70%,5月6天,5.90年,3.90年,3.00%,3.00%,3.8,1.16%,0.63%,1.06%,-1.39%,-1.58%,86.46,90.16,23.19,113.35,-2.80%,73%,16%,17%,0.71,0.71,0.71,AA-,4.70%,18
10,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,108.63,-0.34%,-0.78%,26.27,-1.79%,41,3.60%,28.33,7.16,-7.30%,92.73,17.10%,5月6天,5.90年,3.90年,4.40%,4.10%,10.5,1.48%,0.93%,1.37%,-1.12%,-1.30%,86.1,90.4,17.4,107.8,0.80%,43%,17%,16%,0.62,-0.05,1.29,AA,4.80%,28
11,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,98.73,-0.18%,0.61%,13.7,0.96%,11,1.70%,16.88,3.83,-18.80%,81.16,21.60%,5月0天,5.90年,3.90年,11.40%,9.30%,6.3,3.72%,3.06%,3.59%,1.28%,1.09%,85.05,91.46,10.39,101.84,-3.10%,54%,14%,16%,0.45,0.55,0.36,AA,5.10%,27
12,中装转债,128060,2019-04-15,中装建设,2822,建筑,100.821,0.32%,1.50%,5.75,2.86%,13,2.50%,6.24,1.7,-7.90%,92.15,9.40%,5月6天,5.89年,3.89年,15.20%,14.00%,5.3,2.04%,1.61%,1.95%,0.73%,0.54%,86.2,86.74,19.76,106.5,-5.30%,68%,13%,17%,0.64,1.3,0.04,AA,4.70%,65
13,N招路转,127012,2019-04-30,招商公路,1965,机场高速港口,100,0.00%,0.00%,8.36,0.72%,"1,648",33.10%,9.34,1.27,-10.50%,89.51,11.70%,4月28天,5.88年,3.88年,9.70%,8.70%,50,1.38%,1.11%,1.32%,0.50%,0.40%,87.12,86.19,15.94,102.14,-2.10%,37%,14%,15%,0.55,1.01,0.13,AAA,4.00%,52
14,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,100.4,-0.59%,1.63%,21.78,1.82%,2.5,1.20%,24.9,3.86,-12.50%,87.47,14.80%,4月25天,4.88年,2.88年,11.70%,10.20%,2.1,2.56%,2.04%,2.45%,0.57%,0.43%,87.36,88.42,14.55,102.97,-2.50%,67%,18%,18%,0.57,0.48,0.66,A+,5.30%,18
15,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,102.3,2.10%,-0.86%,7.21,1.84%,11,1.80%,7.39,1.93,-2.40%,97.56,4.90%,4月25天,5.88年,4.88年,22.90%,22.40%,6,2.09%,1.61%,2.00%,0.65%,0.43%,84.27,88.7,23.18,111.88,-8.60%,41%,<2%,18%,0.67,2.1,-0.59,AA,4.70%,41
16,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,107.55,-0.09%,0.03%,20.08,-0.10%,27,1.50%,21.79,3.45,-7.80%,92.15,16.70%,4月23天,5.87年,3.87年,4.50%,4.20%,17.3,1.18%,0.71%,1.09%,-0.93%,-1.10%,87.14,89.7,17.34,107.05,0.50%,46%,18%,16%,0.59,0.24,0.94,AA+,4.40%,42
17,通威转债,110054,2019-04-10,通威股份,600438,农业,118.9,-1.02%,-0.49%,14.27,-1.92%,47,0.80%,12.44,3.17,14.70%,114.71,3.70%,4月20天,5.87年,3.87年,9.00%,10.40%,50,-0.49%,-0.96%,-0.58%,-3.27%,-3.46%,88.28,91.16,33.6,124.76,-4.70%,62%,<2%,16%,0.78,1.62,0.02,AA+,4.20%,20
18,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,107.5,0.62%,-0.51%,5.7,0.18%,8.3,0.60%,6.38,2.81,-10.70%,89.34,20.30%,4月21天,5.87年,3.87年,9.40%,8.40%,12.3,1.22%,0.75%,1.13%,-0.87%,-1.05%,86.1,88.07,16.31,104.38,3.00%,79%,20%,16%,0.61,-0.47,1.7,AA,4.80%,10
19,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,109.81,1.10%,-0.98%,17.18,0.17%,14,1.40%,17.6,2.95,-2.40%,97.61,12.50%,4月21天,5.86年,3.86年,11.60%,11.30%,8.8,0.88%,0.40%,0.79%,-1.35%,-1.54%,86.87,89.11,21.5,110.61,-0.70%,42%,15%,16%,0.69,0.39,0.99,AA,4.60%,24
20,苏银转债,110053,2019-04-03,江苏银行,600919,金融,106.51,1.17%,0.02%,7.34,2.37%,174,0.80%,7.9,0.87,-7.10%,92.91,14.60%,4月18天,5.86年,无权,23.60%,21.90%,200,2.00%,1.41%,1.88%,无权,无权,无权,95.34,18.15,113.49,-6.10%,25%,11%,18%,0.5,1.86,-0.7,AAA,4.00%,58
21,浙商转债,113022,2019-03-28,浙商证券,601878,金融,108.1,-0.58%,0.79%,10.02,0.50%,108,2.80%,12.53,3,-20.00%,79.97,35.20%,4月17天,5.86年,无权,10.50%,8.40%,35,0.30%,-0.02%,0.24%,无权,无权,无权,87.77,12.41,100.18,7.90%,50%,31%,18%,0.42,-1.04,1.93,AAA,4.00%,25
22,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,120.62,2.94%,-1.00%,46.46,2.43%,32,2.70%,40.52,5.19,14.70%,114.66,5.20%,4月14天,5.85年,3.85年,5.20%,6.00%,10,-0.34%,-0.88%,-0.45%,-3.70%,-3.87%,87.47,92.4,32.4,124.8,-3.40%,46%,10%,16%,0.8,1.16,0.48,AA,4.40%,20
23,视源转债,128059,2019-04-02,视源股份,2841,电子,114.1,0.97%,-0.03%,76.3,1.31%,11,1.00%,76.25,13.83,0.10%,100.07,14.00%,4月14天,5.85年,3.85年,1.90%,1.90%,9.4,0.03%,-0.41%,-0.06%,-2.35%,-2.52%,86.93,88.49,23.58,112.07,1.80%,56%,20%,16%,0.72,-0.07,1.52,AA,4.60%,14
24,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,109.34,-0.19%,-0.69%,11.45,-1.46%,19,1.50%,11.99,1.77,-4.50%,95.5,14.50%,4月14天,5.84年,3.84年,8.60%,8.20%,12,0.99%,0.51%,0.89%,-1.25%,-1.44%,87.72,90.45,20.24,110.69,-1.20%,41%,16%,17%,0.61,0.63,0.6,AA+,4.40%,18
25,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,115.337,1.26%,-0.17%,6.32,1.44%,4.1,0.60%,5.64,2.59,12.10%,112.06,2.90%,4月11天,5.84年,3.84年,8.90%,10.00%,5.7,1.13%,0.46%,1.00%,-2.36%,-2.59%,88.17,95.73,29.1,124.82,-7.60%,59%,<2%,16%,0.76,2.02,-0.37,AA,4.50%,44
26,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,106.137,-0.25%,-0.16%,9.73,-0.51%,76,12.40%,8.9,1.91,9.30%,109.33,-2.90%,4月9天,5.84年,3.84年,11.30%,12.30%,5.8,1.81%,1.26%,1.70%,-0.49%,-0.69%,87.39,91.32,29.05,120.38,-11.80%,74%,<2%,16%,0.79,3.03,-1.13,AA-,4.50%,44
27,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,114.2,-0.65%,-6.32%,9.16,-9.40%,60,3.30%,8.13,1.81,12.70%,112.67,1.40%,4月9天,5.84年,3.84年,16.80%,18.90%,16,0.72%,0.15%,0.61%,-2.26%,-2.46%,88.47,93.78,30.25,124.03,-7.90%,41%,<2%,16%,0.74,2.34,-0.66,AA+,4.30%,41
28,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,114.66,1.02%,-0.40%,14.95,0.81%,11,0.80%,13.62,4.12,9.80%,109.77,4.50%,4月6天,5.83年,3.83年,7.30%,8.00%,12,0.55%,0.00%,0.44%,-2.48%,-2.66%,87.32,92.13,28.7,120.83,-5.10%,50%,8%,16%,0.77,1.46,0.14,AA,4.50%,20
29,中信转债,113021,2019-03-19,中信银行,601998,金融,105.79,1.10%,-1.42%,6.29,-0.79%,63,0.20%,7.45,0.87,-15.60%,84.43,25.30%,4月9天,5.83年,无权,13.00%,11.00%,400,2.10%,1.51%,1.99%,无权,无权,无权,95.29,12.23,107.52,-1.60%,23%,14%,17%,0.41,0.76,0.09,AAA,4.00%,49
