,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,105,0.58%,-0.58%,5.12,3.43%,9.9,2.20%,6.94,1.41,-26.20%,42.30%,0.77年,回售中,4.00%,3.00%,4.3,1.24%,-0.25%,0.94%,回售中,回售中,103,73.78,101.34,0.45,101.8,3.10%,70%,48%,16%,0,-0.66,0.48,AA,6.00%,4
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,122.18,1.08%,-0.18%,6.09,1.16%,56,0.80%,5.19,1.58,17.30%,4.10%,1.88年,回售中,6.70%,7.80%,59.9,-6.35%,-7.09%,-6.50%,回售中,回售中,103,117.34,100.47,21.41,121.88,0.20%,50%,18%,16%,0.77,0.76,0.79,AAA,4.00%,16
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,112.41,0.47%,-0.42%,28.07,1.19%,4.1,0.20%,42.38,5.27,-33.80%,69.70%,2.23年,0.23年,4.60%,3.00%,24,-0.98%,-1.80%,-1.15%,-25.50%,-26.30%,100.17,66.23,100.93,0.62,101.55,10.70%,56%,53%,17%,0.05,-1.88,2.08,AAA,4.00%,6
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,134,1.29%,-0.98%,5.75,0.35%,166,22.10%,4.31,1.99,33.40%,0.40%,2.75年,0.75年,4.60%,6.10%,5.7,-6.61%,-7.30%,-6.75%,-26.50%,-26.70%,98.02,133.41,99.51,39.49,139,-3.60%,40%,<2%,17%,0.89,1.58,0.26,AA,4.20%,72
5,三一转债!,110032,2016-01-18,三一重工,600031,机械装备制造,178.51,5.10%,-0.28%,12.99,4.93%,192,13.30%,7.25,3.38,79.20%,-0.40%,2.80年,0.80年,0.80%,1.40%,8.3,-11.00%,-11.30%,-11.00%,-43.20%,-43.70%,100.61,179.17,97.86,84.9,182.77,-2.30%,29%,<2%,17%,0.98,1.48,0.51,AA+,4.00%,8
6,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,114.51,2.44%,-0.69%,8.85,2.91%,22,1.30%,8.61,1.3,2.80%,11.40%,2.80年,0.80年,9.10%,9.30%,14.6,-1.09%,-1.80%,-1.23%,-11.60%,-12.00%,97.55,102.79,98.65,14.42,113.07,1.30%,34%,17%,15%,0.6,0.26,0.95,AA+,4.40%,8
7,九州转债,110034,2016-01-29,九州通,600998,医药,111.2,1.66%,-1.47%,16.37,0.55%,14,0.90%,18.42,2.08,-11.10%,25.10%,2.83年,0.83年,4.90%,4.30%,15,-0.26%,-0.93%,-0.39%,-6.70%,-7.38%,99.22,88.87,97.22,7.73,104.95,6.00%,27%,24%,15%,0.35,-0.85,1.59,AA+,4.60%,10
8,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,112,0.99%,-0.17%,12.07,3.34%,54,1.90%,14.74,1.64,-18.10%,36.80%,2.85年,0.85年,2.10%,1.70%,25.5,-0.96%,-1.54%,-1.08%,-9.05%,-9.36%,97.79,81.89,97.63,4,101.64,10.20%,35%,35%,15%,0.25,-1.6,2.18,AAA,4.00%,10
9,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,105,0.96%,-0.95%,5.23,1.55%,2.8,0.50%,9.28,1.94,-43.60%,86.30%,2.85年,0.85年,9.90%,5.60%,5.1,2.07%,1.32%,1.92%,-2.95%,-3.30%,96.05,56.36,94.47,2.12,96.6,8.70%,43%,46%,17%,0.01,-1.59,1.65,AA,6.00%,18
10,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,96.602,1.11%,-1.11%,3,5.63%,25,3.10%,7.71,1.3,-61.10%,148%,3年33天,1年33天,18.70%,7.30%,8.5,3.31%,2.87%,3.22%,7.16%,6.28%,96.78,38.91,86.87,10.74,97.61,-1.00%,85%,<2%,17%,0,0.21,-0.2,A+,7.00%,76
11,海印转债,127003,2016-07-01,海印股份,861,商业零售,107.777,0.52%,0.40%,3.02,2.37%,34,2.80%,3.5,2.09,-13.70%,24.90%,3.22年,1.22年,16.90%,14.60%,11.1,1.88%,1.06%,1.72%,-3.37%,-3.75%,95.83,86.29,97.34,7.97,105.31,2.30%,26%,22%,16%,0.39,-0.3,1.07,AA,5.20%,100
12,洪涛转债,128013,2016-08-23,洪涛股份,2325,建筑,98.2,0.82%,-0.82%,3.86,1.58%,10,0.90%,9.98,1.31,-61.30%,154%,3.36年,1.36年,24.90%,9.60%,12,4.16%,3.45%,4.02%,3.06%,2.69%,94.1,38.68,92.7,2.43,95.13,3.20%,36%,37%,16%,0,-0.63,0.61,AA,6.00%,80
13,XD光大转,113011,2017-07-18,光大银行,601818,金融,114.96,1.61%,-0.24%,4.22,2.18%,281,0.80%,4.13,0.79,2.20%,12.50%,3.998年,无权,13.50%,13.80%,300,-1.28%,-1.70%,-1.36%,无权,无权,无权,102.18,93.71,20.34,114.05,0.80%,18%,18%,16%,0.63,0.5,0.77,AAA,4.00%,30
14,骆驼转债,113012,2017-07-18,骆驼股份,601311,汽车,115.67,2.22%,-1.00%,14.73,1.59%,149,23.70%,13.44,2.24,9.60%,5.50%,4年5.3天,2年5.3天,4.30%,4.70%,5.4,-1.43%,-1.85%,-1.51%,-5.21%,-5.45%,93.78,109.6,92.07,27.39,119.46,-3.20%,34%,9%,16%,0.77,1.21,0.37,AA,4.50%,20
15,永东转债,128014,2017-07-18,永东股份,2753,石油天然气化工,103.7,1.43%,-0.02%,10.69,3.79%,4.1,1.20%,13.53,2.66,-21.00%,31.20%,4年29天,2年29天,9.50%,7.50%,3.4,2.18%,1.58%,2.06%,-0.09%,-0.39%,91.77,79.01,91.06,9.18,100.24,3.40%,60%,24%,17%,0.37,-0.63,1.38,AA-,5.60%,36
16,模塑转债,127004,2017-08-16,模塑科技,700,汽车,97.11,1.14%,-1.00%,3.87,3.20%,13,1.60%,7.72,1.33,-49.90%,93.70%,4.21年,2.21年,25.60%,12.80%,8.2,4.20%,3.51%,4.06%,2.75%,2.45%,90.45,50.13,90.81,1.7,92.51,5.00%,54%,34%,17%,0.04,-0.95,1.04,AA,5.90%,62
