,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,未来转债,128063,今日上市,德尔未来,2631,其他,122.4,22.40%,0.00%,11.57,9.98%,725,96.90%,8.74,3.52,32.40%,132.38,-7.50%,5.94年,4.94年,8.20%,10.80%,6.3,0.87%,0.08%,0.71%,-2.22%,-2.55%,88.3,100.46,43.57,144.04,-15.00%,52%,<2%,16%,0.85,4.12,-1.83,AA-,4.40%,39
2,N参林转,113533,今日上市,大参林,603233,医药,107.5,7.50%,0.00%,46.38,-0.98%,682,63.90%,48.05,6.33,-3.50%,96.52,11.40%,5.94年,3.94年,5.40%,5.20%,10,0.89%,0.48%,0.81%,-0.88%,-1.05%,86.32,87.03,21.79,108.83,-1.20%,46%,<2%,16%,0.7,0.52,0.88,AA,4.60%,43
3,N海环转,113532,今日上市,海峡环保,603817,城市公用设施,106.51,6.51%,0.00%,8.12,0.00%,239,49.00%,7.8,2.37,4.10%,104.1,2.30%,5.94年,3.94年,12.60%,13.10%,4.6,1.06%,0.65%,0.98%,-0.63%,-0.81%,86.75,87.61,28.08,115.69,-7.90%,50%,<2%,17%,0.75,2.09,-0.45,AA,4.50%,25
4,亚药转债,128062,今日上市,亚太药业,2370,医药,106.81,6.81%,0.00%,17.8,1.14%,700,67.50%,16.3,3.54,9.20%,109.2,-2.20%,5.94年,3.94年,10.10%,11.00%,9.7,2.03%,1.43%,1.91%,-0.75%,-0.91%,86.65,92.94,27.74,120.68,-11.50%,58%,<2%,16%,0.76,2.95,-1.13,AA,4.50%,49
5,百姓转债,113531,2019-04-22,老百姓,603883,医药,106.98,-1.48%,1.75%,56.68,0.43%,25,7.20%,60.59,5.88,-6.50%,93.55,14.40%,4.93年,2.93年,2.00%,1.90%,3.3,1.05%,0.59%,0.96%,-1.63%,-1.74%,88.09,89.71,16.05,105.77,1.10%,37%,21%,16%,0.62,-0.04,1.28,AA,4.80%,22
6,精测转债,123025,2019-04-19,精测电子,300567,电子,113.76,1.54%,1.63%,80.22,4.18%,18,4.20%,75.88,10.04,5.70%,105.72,7.60%,5.93年,3.93年,2.90%,3.00%,3.8,0.60%,0.07%,0.50%,-2.16%,-2.35%,86.78,90.7,27.66,118.36,-3.90%,73%,15%,17%,0.76,1.02,0.52,AA-,4.60%,16
7,启明转债,128061,今日上市,启明星辰,2439,通信互联网,110.9,10.90%,0.00%,28.77,0.74%,771,66.20%,28.33,7.08,1.60%,101.55,9.20%,5.92年,3.92年,4.10%,4.10%,10.5,1.12%,0.57%,1.01%,-1.62%,-1.79%,86.57,91.15,23.08,114.23,-2.90%,44%,<2%,16%,0.71,0.87,0.57,AA,4.60%,16
8,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,101.92,0.31%,-0.74%,14.7,-0.81%,31,4.80%,16.88,4.14,-12.90%,87.09,17.00%,5.92年,3.92年,10.70%,9.30%,6.3,3.14%,2.48%,3.01%,0.48%,0.29%,85.48,92.18,13.41,105.59,-3.50%,54%,12%,16%,0.53,0.69,0.39,AA,4.90%,25
9,中装转债,128060,2019-04-15,中装建设,2822,建筑,104.144,-0.53%,1.35%,6.28,1.13%,18,3.30%,6.24,1.75,0.60%,100.64,3.50%,5.92年,3.92年,13.90%,14.00%,5.3,1.46%,1.04%,1.38%,-0.08%,-0.26%,86.7,87.5,25.49,112.99,-7.80%,68%,8%,17%,0.73,2,-0.41,AA,4.50%,55
10,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,105.17,-0.90%,2.38%,25.26,2.06%,3,1.30%,24.9,3.78,1.40%,101.45,3.70%,4.91年,2.91年,10.10%,10.20%,2.1,1.57%,1.06%,1.46%,-0.95%,-1.08%,88.4,90.18,23.09,113.26,-7.10%,66%,12%,18%,0.72,1.7,-0.16,A+,4.80%,24
