,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,未来转债,128063,2019-04-24,德尔未来,2631,其他,111.7,-8.74%,2.71%,10.71,-7.43%,471,64.20%,8.74,3.52,22.50%,122.54,-8.80%,5.94年,4.94年,8.80%,10.80%,6.3,2.47%,1.66%,2.31%,-0.42%,-0.76%,87.87,99.9,35.68,135.58,-17.60%,52%,<2%,16%,0.81,4.72,-2.31,AA-,4.50%,44
2,参林转债,113533,2019-04-24,大参林,603233,医药,106.3,-1.12%,-1.13%,44.81,-3.39%,91,8.50%,48.05,6.33,-6.70%,93.26,14.00%,5.94年,3.94年,5.60%,5.20%,10,1.08%,0.67%,1.00%,-0.61%,-0.78%,86.1,86.72,19.74,106.46,-0.10%,46%,15%,16%,0.66,0.22,1.11,AA,4.70%,44
3,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,103.12,-3.18%,-1.26%,7.6,-6.40%,30,6.30%,7.8,2.37,-2.60%,97.44,5.80%,5.94年,3.94年,13.50%,13.10%,4.6,1.63%,1.21%,1.54%,0.16%,-0.02%,86.42,87.13,23.28,110.41,-6.60%,50%,<2%,17%,0.69,1.69,-0.2,AA,4.60%,28
4,亚药转债,128062,2019-04-24,亚太药业,2370,医药,105.57,-1.16%,-1.30%,17.2,-3.37%,129,12.60%,16.3,3.54,5.50%,105.52,0.00%,5.94年,3.94年,10.50%,11.00%,9.7,2.23%,1.63%,2.11%,-0.46%,-0.63%,86.48,92.67,25.08,117.75,-10.30%,58%,<2%,16%,0.73,2.62,-0.91,AA,4.50%,57
5,百姓转债,113531,2019-04-22,老百姓,603883,医药,106.2,-0.73%,-0.92%,55.09,-2.81%,24,6.90%,60.59,5.88,-9.10%,90.92,16.80%,4.93年,2.93年,2.10%,1.90%,3.3,1.20%,0.74%,1.11%,-1.40%,-1.50%,87.93,89.44,14.45,103.9,2.20%,37%,19%,16%,0.59,-0.26,1.44,AA,4.80%,25
6,精测转债,123025,2019-04-19,精测电子,300567,电子,111.01,-2.42%,-0.50%,77,-4.01%,9.5,2.30%,75.88,10.04,1.50%,101.48,9.40%,5.93年,3.93年,3.00%,3.00%,3.8,1.03%,0.49%,0.92%,-1.57%,-1.76%,86.52,90.3,24.64,114.94,-3.40%,73%,12%,17%,0.73,0.87,0.6,AA-,4.70%,18
7,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,109.6,-1.17%,0.37%,28.44,-1.15%,106,9.30%,28.33,7.08,0.40%,100.39,9.20%,5.92年,3.92年,4.10%,4.10%,10.5,1.32%,0.77%,1.21%,-1.33%,-1.51%,86.5,91.05,22.31,113.36,-3.30%,44%,13%,16%,0.7,0.93,0.49,AA,4.60%,19
8,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,100,-1.88%,-0.54%,13.94,-5.17%,24,3.70%,16.88,4.14,-17.40%,82.58,21.10%,5.92年,3.92年,11.20%,9.30%,6.3,3.48%,2.82%,3.35%,0.95%,0.76%,85.09,91.56,11.06,102.63,-2.60%,54%,13%,16%,0.47,0.48,0.47,AA,5.10%,26
9,中装转债,128060,2019-04-15,中装建设,2822,建筑,102.03,-2.03%,-1.21%,5.98,-4.78%,21,4.00%,6.24,1.75,-4.20%,95.83,6.50%,5.92年,3.92年,14.60%,14.00%,5.3,1.82%,1.40%,1.74%,0.43%,0.24%,86.38,87.04,22.1,109.14,-6.50%,68%,<2%,17%,0.68,1.65,-0.2,AA,4.60%,62
10,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,104.3,-0.83%,-3.24%,23.69,-6.22%,5,2.30%,24.9,3.78,-4.90%,95.14,9.60%,4.91年,2.91年,10.80%,10.20%,2.1,1.74%,1.24%,1.64%,-0.68%,-0.82%,87.91,89.36,19.13,108.49,-3.90%,66%,8%,18%,0.65,0.85,0.48,A+,5.00%,25
