,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N通威转,110054,2019-04-10,通威股份,600438,农业,119.9,19.90%,0.00%,13.23,1.53%,"1,548",26.00%,12.44,3.57,6.40%,106.35,12.70%,5.94年,3.94年,9.70%,10.40%,50,-0.63%,-1.09%,-0.72%,-3.42%,-3.60%,87.83,90.6,27.34,117.94,1.70%,62%,19%,16%,0.72,0.18,1.26,AA+,4.30%,15
2,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,113.16,13.20%,0.00%,6.18,-0.64%,843,60.90%,6.38,3,-3.10%,96.87,16.80%,5.94年,3.94年,8.70%,8.40%,12.3,0.32%,-0.14%,0.23%,-2.10%,-2.27%,86.39,88.6,21.24,109.84,3.00%,79%,21%,16%,0.69,-0.38,1.77,AA,4.60%,8
3,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,126.84,0.23%,0.70%,21.18,1.10%,85,7.70%,17.6,3.97,20.30%,120.34,5.40%,5.93年,3.93年,9.40%,11.30%,8.8,-1.60%,-2.05%,-1.69%,-4.78%,-4.95%,87.68,90.41,38.81,129.22,-1.80%,42%,14%,16%,0.85,0.94,0.76,AA,4.30%,19
4,苏银转债,110053,2019-04-03,江苏银行,600919,金融,109.06,-0.59%,0.39%,7.3,-0.41%,532,2.40%,7.9,0.85,-7.60%,92.41,18.00%,5.93年,无权,23.70%,21.90%,200,1.56%,0.98%,1.45%,无权,无权,无权,95.1,18.01,113.11,-3.60%,25%,14%,18%,0.5,1.28,-0.2,AAA,4.00%,34
5,浙商转债,113022,2019-03-28,浙商证券,601878,金融,114.09,-0.84%,-0.13%,11.75,-1.67%,88,2.20%,12.53,2.87,-6.20%,93.77,21.70%,5.92年,无权,8.90%,8.40%,35,-0.62%,-0.93%,-0.69%,无权,无权,无权,87.55,21.12,108.67,5.00%,50%,26%,18%,0.58,-0.35,1.52,AAA,4.00%,26
6,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,125.5,0.08%,0.16%,47.55,0.30%,26,2.10%,40.52,6.79,17.30%,117.35,6.90%,5.92年,3.92年,5.10%,6.00%,10,-1.01%,-1.54%,-1.12%,-4.58%,-4.75%,87.36,92.34,34.76,127.1,-1.30%,46%,15%,16%,0.82,0.73,0.91,AA,4.40%,15
7,视源转债,128059,2019-04-02,视源股份,2841,电子,117.938,-0.92%,-0.29%,75.5,-1.69%,25,2.20%,76.25,14.55,-1.00%,99.02,19.10%,5.92年,3.92年,1.90%,1.90%,9.4,-0.54%,-0.97%,-0.62%,-3.11%,-3.28%,86.64,88.18,23.02,111.19,6.10%,56%,25%,16%,0.71,-0.88,2.37,AA,4.60%,15
8,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,120,0.54%,3.46%,13.39,5.35%,90,6.30%,11.99,1.97,11.70%,111.68,7.50%,5.91年,3.91年,7.30%,8.20%,12,-0.63%,-1.09%,-0.72%,-3.48%,-3.66%,87.96,90.92,32.06,122.98,-2.40%,43%,14%,17%,0.75,1.08,0.45,AA+,4.30%,15
9,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,117.1,-0.48%,2.19%,6.34,2.26%,53,7.90%,5.64,3.03,12.40%,112.41,4.20%,5.91年,3.91年,8.90%,10.00%,5.7,0.85%,0.19%,0.72%,-2.69%,-2.91%,87.95,95.5,29.57,125.07,-6.40%,59%,<2%,16%,0.76,1.74,-0.12,AA,4.50%,44
10,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,112.76,-1.00%,1.08%,9.89,0.10%,47,7.30%,8.9,2.14,11.10%,111.12,1.50%,5.90年,3.90年,11.10%,12.30%,5.8,0.73%,0.20%,0.62%,-1.97%,-2.15%,87.25,91.23,30.55,121.78,-7.40%,74%,<2%,16%,0.8,1.98,-0.24,AA-,4.50%,39
