,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N百姓转,113531,今日上市,老百姓,603883,医药,108.73,8.73%,0.00%,56.71,-1.39%,344,96.30%,60.59,5.88,-6.40%,93.6,16.20%,4.94年,2.94年,2.00%,1.90%,3.3,0.72%,0.25%,0.62%,-2.14%,-2.25%,88.07,89.7,16.1,105.8,2.80%,37%,8%,16%,0.62,-0.35,1.61,AA,4.80%,22
2,精测转债,123025,2019-04-19,精测电子,300567,电子,112.903,-1.74%,2.88%,79.9,1.51%,46,10.70%,75.88,12.33,5.30%,105.3,7.20%,5.94年,3.94年,2.90%,3.00%,3.8,0.73%,0.20%,0.63%,-1.97%,-2.16%,86.76,90.67,27.37,118.03,-4.30%,73%,16%,17%,0.76,1.11,0.44,AA-,4.60%,16
3,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,103,-0.97%,-0.20%,14.9,-2.17%,37,5.70%,16.88,4.14,-11.70%,88.27,16.70%,5.93年,3.93年,10.50%,9.30%,6.3,2.95%,2.30%,2.82%,0.22%,0.03%,85.53,92.26,14.08,106.35,-3.10%,54%,13%,16%,0.54,0.63,0.47,AA,4.90%,21
4,中装转债,128060,2019-04-15,中装建设,2822,建筑,106.2,0.36%,1.16%,6.49,2.04%,56,10.00%,6.24,1.75,4.00%,104.01,2.10%,5.93年,3.93年,13.50%,14.00%,5.3,1.12%,0.70%,1.04%,-0.56%,-0.74%,86.8,87.66,27.96,115.62,-8.10%,68%,<2%,17%,0.74,2.14,-0.49,AA,4.50%,49
5,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,108.311,-0.43%,-2.50%,25.4,-4.04%,6.3,2.80%,24.9,3.78,2.00%,102.01,6.20%,4.91年,2.91年,10.00%,10.20%,2.1,0.95%,0.45%,0.85%,-1.89%,-2.03%,88.43,90.22,23.48,113.71,-4.70%,67%,<2%,18%,0.73,1.16,0.33,A+,4.80%,25
6,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,110,-0.43%,-0.77%,7.97,-1.60%,27,4.00%,7.39,1.98,7.80%,107.85,2.00%,5.91年,4.91年,20.70%,22.40%,6,0.81%,0.35%,0.72%,-0.81%,-1.02%,84.77,89.33,30.6,119.93,-8.30%,41%,<2%,18%,0.75,2.18,-0.51,AA,4.50%,38
7,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,114,-1.06%,0.84%,22.83,-0.31%,107,5.30%,21.79,3.45,4.80%,104.77,8.80%,5.91年,3.91年,4.00%,4.20%,17.3,0.17%,-0.29%,0.07%,-2.34%,-2.50%,87.42,90.18,26.08,116.26,-1.90%,45%,15%,16%,0.71,0.89,0.55,AA+,4.30%,28
8,通威转债,110054,2019-04-10,通威股份,600438,农业,124.21,-1.89%,3.44%,14.88,1.92%,141,2.20%,12.44,3.17,19.60%,119.61,3.80%,5.91年,3.91年,8.70%,10.40%,50,-1.23%,-1.69%,-1.32%,-4.29%,-4.47%,88.25,91.17,37.71,128.87,-3.60%,62%,17%,16%,0.81,1.43,0.24,AA+,4.20%,13
9,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,111.23,-2.00%,-0.17%,6.27,-3.09%,13,0.90%,6.38,3.1,-1.70%,98.28,13.20%,5.91年,3.91年,8.50%,8.40%,12.3,0.62%,0.16%,0.53%,-1.70%,-1.87%,86.59,88.86,22.02,110.88,0.30%,79%,18%,16%,0.7,0.19,1.21,AA,4.60%,9
10,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,121.64,-1.24%,-0.86%,20.19,-2.56%,23,2.10%,17.6,3.3,14.70%,114.72,6.00%,5.90年,3.90年,9.80%,11.30%,8.8,-0.89%,-1.35%,-0.98%,-3.82%,-4.00%,87.63,90.28,34.16,124.44,-2.30%,42%,12%,16%,0.82,0.95,0.71,AA,4.40%,15
11,苏银转债,110053,2019-04-03,江苏银行,600919,金融,107.3,-1.15%,0.14%,7.26,-2.02%,383,1.80%,7.9,0.92,-8.10%,91.9,16.80%,5.89年,无权,23.90%,21.90%,200,1.86%,1.27%,1.74%,无权,无权,无权,95.22,17.6,112.82,-4.90%,25%,13%,18%,0.5,1.57,-0.45,AAA,4.00%,47
12,浙商转债,113022,2019-03-28,浙商证券,601878,金融,110.3,-1.43%,0.55%,11.18,-1.67%,77,2.00%,12.53,3.06,-10.80%,89.23,23.60%,5.89年,无权,9.40%,8.40%,35,-0.05%,-0.36%,-0.11%,无权,无权,无权,87.66,18.07,105.73,4.30%,50%,26%,18%,0.53,-0.3,1.36,AAA,4.00%,24
13,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,120.51,-1.30%,-0.52%,45.22,-2.33%,8.8,0.70%,40.52,5.49,11.60%,111.6,8.00%,5.89年,3.89年,5.40%,6.00%,10,-0.32%,-0.86%,-0.43%,-3.65%,-3.82%,87.22,92.07,30.19,122.25,-1.40%,46%,14%,16%,0.78,0.7,0.87,AA,4.40%,16
14,视源转债,128059,2019-04-02,视源股份,2841,电子,113.8,-0.70%,0.44%,72.92,-0.38%,11,1.10%,76.25,14.69,-4.40%,95.63,19.00%,5.89年,3.89年,2.00%,1.90%,9.4,0.08%,-0.36%,-0.01%,-2.26%,-2.44%,86.53,87.96,20.68,108.64,4.70%,56%,24%,16%,0.68,-0.7,2.1,AA,4.60%,13
15,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,116.05,-1.98%,-0.46%,12.63,-3.51%,20,1.40%,11.99,1.77,5.30%,105.34,10.20%,5.88年,3.88年,7.80%,8.20%,12,-0.05%,-0.53%,-0.15%,-2.69%,-2.88%,87.9,90.77,27.25,118.02,-1.70%,42%,15%,17%,0.7,0.82,0.58,AA+,4.30%,15
16,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,121.501,-0.33%,1.29%,6.92,1.17%,62,8.90%,5.64,2.59,22.70%,122.7,-1.00%,5.87年,3.87年,8.10%,10.00%,5.7,0.21%,-0.45%,0.08%,-3.60%,-3.82%,88.49,96.29,37.39,133.68,-9.10%,59%,<2%,16%,0.82,2.54,-0.68,AA,4.40%,40
17,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,112.793,-1.37%,-0.69%,9.92,-2.55%,29,4.50%,8.9,1.93,11.50%,111.46,1.20%,5.87年,3.87年,11.00%,12.30%,5.8,0.73%,0.20%,0.62%,-1.99%,-2.18%,87.38,91.37,30.69,122.06,-7.60%,74%,<2%,16%,0.81,2.03,-0.29,AA-,4.50%,43
18,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,124.59,0.34%,3.76%,11.1,4.72%,213,10.70%,8.13,1.96,36.50%,136.53,-8.70%,5.87年,3.87年,13.80%,18.90%,16,-0.79%,-1.35%,-0.91%,-4.35%,-4.54%,88.77,94.3,50.37,144.67,-13.90%,41%,<2%,16%,0.87,4.1,-1.79,AA+,4.10%,37
