,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,104.64,-0.28%,0.28%,5.13,0.00%,11,2.40%,6.94,1.41,-26.10%,73.92,41.60%,0.77年,回售中,4.00%,3.00%,4.3,1.70%,0.20%,1.40%,回售中,回售中,103,101.38,0.44,101.82,2.80%,70%,47%,16%,0,-0.59,0.41,AA,6.00%,4
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,122.37,-0.46%,-0.05%,6.13,-0.65%,27,0.40%,5.19,1.59,18.10%,118.11,3.60%,1.87年,回售中,6.60%,7.80%,59.9,-6.44%,-7.19%,-6.59%,回售中,回售中,103,100.49,22.01,122.5,-0.10%,50%,18%,16%,0.78,0.84,0.73,AAA,4.00%,16
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,113.31,0.25%,-0.08%,28.91,2.55%,16,0.60%,42.38,5.43,-31.80%,68.22,66.10%,2.23年,0.23年,4.50%,3.00%,24,-1.34%,-2.16%,-1.51%,-27.80%,-28.60%,100.2,100.95,0.79,101.74,11.40%,56%,55%,17%,0.06,-1.97,2.22,AAA,4.00%,8
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,134,-2.76%,-0.08%,5.78,-3.18%,112,14.60%,4.31,2,34.10%,134.11,-0.10%,2.75年,0.75年,4.50%,6.00%,5.7,-6.62%,-7.31%,-6.76%,-26.60%,-26.90%,98.05,99.55,40.08,139.62,-4.00%,40%,<2%,17%,0.89,1.68,0.18,AA,4.20%,69
5,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,116.91,0.07%,1.05%,9.33,1.63%,18,1.00%,8.61,1.38,8.40%,108.36,7.90%,2.80年,0.80年,8.60%,9.30%,14.6,-1.83%,-2.54%,-1.97%,-13.60%,-13.90%,97.64,98.89,18.09,116.98,-0.10%,34%,18%,15%,0.69,0.64,0.74,AA+,4.30%,8
6,九州转债,110034,2016-01-29,九州通,600998,医药,111.5,-0.34%,0.02%,16.06,-0.99%,0.6,0.00%,18.42,2.04,-12.80%,87.19,27.90%,2.82年,0.82年,5.00%,4.30%,15,-0.35%,-1.03%,-0.49%,-6.98%,-7.67%,99.22,97.17,6.95,104.12,7.10%,27%,27%,15%,0.33,-1.05,1.74,AA+,4.70%,10
7,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,112.01,-0.26%,0.11%,11.83,-0.67%,11,0.40%,14.74,1.6,-19.70%,80.26,39.60%,2.84年,0.84年,2.10%,1.70%,25.5,-0.97%,-1.55%,-1.08%,-9.11%,-9.41%,97.81,97.66,3.46,101.11,10.80%,35%,35%,15%,0.22,-1.71,2.26,AAA,4.00%,10
8,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,105.51,0.31%,-0.32%,5.13,-0.97%,2.1,0.40%,9.28,1.9,-44.70%,55.28,90.90%,2.84年,0.84年,10.10%,5.60%,5.1,1.89%,1.15%,1.74%,-3.43%,-3.78%,96.07,94.48,2.09,96.57,9.30%,43%,48%,17%,0,-1.68,1.75,AA,6.00%,20
9,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,96.501,-0.11%,0.11%,2.97,-1.00%,11,1.30%,7.71,1.29,-61.50%,38.52,151%,3年31天,1年31天,18.90%,7.30%,8.5,3.35%,2.91%,3.26%,7.28%,6.40%,96.81,86.91,10.72,97.63,-1.20%,85%,<2%,17%,0,0.23,-0.22,A+,7.00%,76
10,海印转债,127003,2016-07-01,海印股份,861,商业零售,107.98,0.03%,-0.40%,2.97,-1.00%,21,1.70%,3.5,2.06,-15.10%,84.86,27.20%,3.22年,1.22年,17.20%,14.60%,11.1,1.82%,1.00%,1.66%,-3.52%,-3.89%,95.81,97.25,7.42,104.67,3.20%,26%,22%,16%,0.37,-0.48,1.22,AA,5.30%,100
