,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,百姓转债,113531,2019-04-22,老百姓,603883,医药,108.59,-0.13%,-0.16%,56.44,-0.48%,56,15.70%,60.59,5.88,-6.80%,93.15,16.60%,4.93年,2.93年,2.00%,1.90%,3.3,0.74%,0.28%,0.65%,-2.10%,-2.21%,88.06,89.66,15.82,105.48,2.90%,37%,21%,16%,0.62,-0.39,1.63,AA,4.80%,22
2,精测转债,123025,2019-04-19,精测电子,300567,电子,112.04,-0.76%,-1.87%,77,-3.63%,45,10.60%,75.88,12.33,1.50%,101.48,10.40%,5.93年,3.93年,3.00%,3.00%,3.8,0.87%,0.33%,0.76%,-1.79%,-1.98%,86.5,90.28,24.66,114.94,-2.50%,73%,11%,17%,0.73,0.67,0.79,AA-,4.70%,16
3,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,101.6,-1.36%,1.07%,14.82,-0.54%,41,6.40%,16.88,4.14,-12.20%,87.8,15.70%,5.93年,3.93年,10.60%,9.30%,6.3,3.19%,2.54%,3.06%,0.56%,0.37%,85.53,92.26,13.8,106.06,-4.20%,54%,13%,16%,0.54,0.85,0.26,AA,4.90%,22
4,中装转债,128060,2019-04-15,中装建设,2822,建筑,104.698,-1.41%,-1.67%,6.21,-4.31%,28,5.10%,6.24,1.75,-0.50%,99.52,5.20%,5.92年,3.92年,14.10%,14.00%,5.3,1.37%,0.95%,1.28%,-0.21%,-0.39%,86.62,87.39,24.7,112.1,-6.60%,68%,<2%,17%,0.72,1.71,-0.17,AA,4.60%,50
5,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,106.12,-2.02%,0.23%,24.75,-2.56%,4.3,1.90%,24.9,3.78,-0.60%,99.4,6.80%,4.91年,2.91年,10.30%,10.20%,2.1,1.38%,0.88%,1.28%,-1.24%,-1.37%,88.23,89.91,21.72,111.63,-4.90%,66%,12%,18%,0.7,1.17,0.27,A+,4.90%,25
6,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,108.385,-1.47%,-0.01%,7.81,-2.01%,17,2.50%,7.39,1.98,5.70%,105.68,2.60%,5.91年,4.91年,21.20%,22.40%,6,1.07%,0.60%,0.98%,-0.51%,-0.72%,84.64,89.17,29.07,118.24,-8.30%,41%,<2%,18%,0.73,2.14,-0.51,AA,4.50%,38
7,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,112.06,-1.70%,-0.25%,22.18,-2.85%,41,2.10%,21.79,3.45,1.80%,101.79,10.10%,5.91年,3.91年,4.10%,4.20%,17.3,0.46%,0.00%,0.37%,-1.92%,-2.09%,87.36,90.08,23.88,113.96,-1.70%,45%,14%,16%,0.69,0.81,0.58,AA+,4.30%,29
8,通威转债,110054,2019-04-10,通威股份,600438,农业,121,-2.58%,0.77%,14.54,-2.28%,189,3.10%,12.44,3.17,16.90%,116.88,3.50%,5.90年,3.90年,8.90%,10.40%,50,-0.79%,-1.25%,-0.88%,-3.67%,-3.85%,88.2,91.1,35.47,126.57,-4.40%,62%,<2%,16%,0.79,1.57,0.09,AA+,4.20%,15
9,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,110.3,-0.84%,-1.09%,6.09,-2.87%,24,1.80%,6.38,3.1,-4.50%,95.45,15.60%,5.90年,3.90年,8.80%,8.40%,12.3,0.77%,0.30%,0.67%,-1.50%,-1.67%,86.42,88.59,20.25,108.84,1.30%,79%,18%,16%,0.67,-0.09,1.43,AA,4.70%,9
10,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,120.83,-0.67%,0.63%,20.18,-0.05%,23,2.20%,17.6,3.3,14.70%,114.66,5.40%,5.89年,3.89年,9.80%,11.30%,8.8,-0.78%,-1.24%,-0.87%,-3.66%,-3.84%,87.64,90.29,34.11,124.39,-2.90%,42%,13%,16%,0.82,1.08,0.59,AA,4.40%,15
