,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,格力地产,600185,地产,104.02,-0.46%,0.46%,4.71,-4.85%,14,3.20%,6.94,1.3,-32.10%,53.30%,0.79年,回售中,4.40%,3.00%,4.3,2.41%,0.95%,2.11%,回售中,回售中,103,67.87,101.22,1.78,103,1.00%,70%,50%,16%,0,-0.31,0.19,AA,6.00%,2
2,电气转债,113008,上海电气,601727,能源电力,116.36,-2.11%,-1.64%,5.63,-5.85%,130,1.80%,5.19,1.46,8.50%,7.30%,1.90年,回售中,7.20%,7.80%,59.9,-3.82%,-4.58%,-3.98%,回售中,回售中,103,108.48,100.38,14.78,115.16,1.00%,50%,20%,16%,0.64,0.47,0.81,AAA,4.00%,15
3,航信转债,110031,航天信息,600271,计算机及应用,115,-0.35%,-0.04%,29,-5.69%,72,2.60%,42.38,5.44,-31.60%,68.10%,2.26年,0.26年,4.40%,3.00%,24,-1.98%,-2.78%,-2.14%,-29.20%,-30.00%,100.09,68.43,100.84,0.83,101.67,13.10%,56%,56%,17%,0.07,-2.24,2.55,AAA,4.00%,6
4,蓝标转债,123001,蓝色光标,300058,传媒娱乐,122.571,-1.94%,0.25%,5.29,-2.04%,150,13.70%,4.31,1.83,22.70%,-0.10%,2.77年,0.77年,7.80%,9.50%,9,-3.47%,-4.18%,-3.61%,-18.20%,-18.50%,97.83,122.74,99.11,30.51,129.62,-5.40%,39%,<2%,17%,0.83,1.89,-0.12,AA,4.30%,70
5,三一转债!,110032,三一重工,600031,机械装备制造,151.53,-1.69%,0.47%,11.08,-1.25%,226,11.20%,7.25,2.89,52.80%,-0.80%,2.82年,0.82年,1.50%,2.30%,13.4,-11.00%,-11.50%,-11.10%,-31.50%,-32.10%,100.52,152.83,97.77,58.65,156.42,-3.10%,29%,<2%,17%,0.98,1.65,0.35,AA+,4.00%,9
6,国贸转债,110033,厦门国贸,600755,交通运输,111,-2.66%,-1.28%,8.17,-8.20%,24,1.50%,8.61,1.2,-5.10%,17.00%,2.82年,0.82年,9.90%,9.30%,14.6,0.03%,-0.69%,-0.11%,-8.50%,-8.80%,97.34,94.89,98.23,9.88,108.11,2.70%,34%,21%,15%,0.48,-0.13,1.09,AA+,4.50%,4
7,九州转债,110034,九州通,600998,医药,107.71,-1.55%,0.74%,15.38,-3.27%,16,1.00%,18.42,1.96,-16.50%,29.00%,2.85年,0.85年,5.20%,4.30%,15,0.88%,0.20%,0.74%,-3.58%,-4.27%,99.02,83.5,96.84,5.9,102.75,4.80%,28%,26%,15%,0.25,-0.73,1.24,AA+,4.80%,4
8,广汽转债,113009,广汽集团,601238,汽车,109.27,-1.11%,0.27%,11.82,-3.75%,11,0.40%,14.74,1.6,-19.80%,36.30%,2.87年,0.87年,2.10%,1.70%,25.5,-0.09%,-0.67%,-0.20%,-6.67%,-6.97%,97.71,80.19,97.55,3.47,101.02,8.20%,34%,32%,15%,0.22,-1.26,1.76,AAA,4.00%,9
9,顺昌转债,128010,澳洋顺昌,2245,交通运输,102.42,-2.92%,2.91%,5.14,-3.20%,5.7,1.10%,9.28,1.91,-44.60%,84.90%,2.87年,0.87年,10.10%,5.60%,5.1,2.95%,2.21%,2.80%,-0.52%,-0.88%,95.92,55.39,94.32,1.92,96.25,6.40%,43%,43%,17%,0,-1.2,1.22,AA,6.00%,15
10,辉丰转债,128012,辉丰股份,2496,石油天然气化工,94.5,-1.08%,1.08%,2.94,-6.67%,18,2.20%,7.71,1.28,-61.90%,148%,3年41天,1年41天,19.10%,7.30%,8.5,4.03%,3.59%,3.94%,8.90%,8.02%,96.64,38.13,86.75,10.82,97.56,-3.10%,86%,<2%,17%,0,0.65,-0.6,A+,7.00%,79
