,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,127.12,-2.64%,-0.15%,21,-3.31%,177,15.70%,17.6,3.93,19.30%,119.32,6.50%,5.94年,3.94年,9.50%,11.30%,8.8,-1.63%,-2.08%,-1.72%,-4.82%,-4.99%,87.62,90.34,38.02,128.35,-1.00%,42%,16%,16%,0.84,0.74,0.95,AA,4.30%,18
2,苏银转债,110053,2019-04-03,江苏银行,600919,金融,110,0.01%,0.41%,7.42,0.82%,"1,713",7.80%,7.9,0.86,-6.10%,93.92,17.10%,5.93年,无权,23.30%,21.90%,200,1.41%,0.83%,1.30%,无权,无权,无权,95.07,18.99,114.06,-3.60%,25%,15%,18%,0.51,1.29,-0.19,AAA,4.00%,28
3,浙商转债,113022,2019-03-28,浙商证券,601878,金融,115.77,-2.55%,0.56%,11.9,-3.33%,240,5.80%,12.53,2.9,-5.00%,94.97,21.90%,5.93年,无权,8.80%,8.40%,35,-0.87%,-1.18%,-0.93%,无权,无权,无权,87.53,22.02,109.55,5.70%,50%,28%,18%,0.6,-0.48,1.69,AAA,4.00%,30
4,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,125.06,-1.14%,-1.67%,46.3,-3.50%,57,4.50%,40.52,6.61,14.30%,114.26,9.40%,5.92年,3.92年,5.30%,6.00%,10,-0.95%,-1.48%,-1.06%,-4.49%,-4.66%,87.2,92.11,32.33,124.44,0.50%,46%,15%,16%,0.8,0.34,1.26,AA,4.40%,18
5,视源转债,128059,2019-04-02,视源股份,2841,电子,119.419,-1.23%,0.29%,76.98,-1.28%,53,4.70%,76.25,14.84,1.00%,100.96,18.30%,5.92年,3.92年,1.90%,1.90%,9.4,-0.75%,-1.18%,-0.84%,-3.40%,-3.57%,86.74,88.33,24.43,112.76,5.90%,56%,26%,16%,0.73,-0.84,2.36,AA,4.50%,15
6,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,120.4,-1.07%,0.79%,12.91,-0.39%,104,7.20%,11.99,1.9,7.70%,107.67,11.80%,5.92年,3.92年,7.60%,8.20%,12,-0.68%,-1.15%,-0.78%,-3.55%,-3.73%,87.83,90.73,29.06,119.79,0.50%,44%,20%,17%,0.72,0.42,1.02,AA+,4.30%,11
7,拓邦转债,128058,今日上市,拓邦股份,2139,电子,119,19.00%,0.00%,6.24,-1.73%,664,97.00%,5.64,3.03,10.60%,110.64,7.60%,5.91年,3.91年,9.00%,10.00%,5.7,0.57%,-0.09%,0.44%,-3.07%,-3.29%,87.84,95.34,28.32,123.66,-3.80%,59%,<2%,16%,0.75,1.11,0.42,AA,4.50%,34
8,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,113.581,-1.49%,-0.57%,9.79,-2.59%,52,7.90%,8.9,2.12,10.00%,110,3.30%,5.91年,3.91年,11.20%,12.30%,5.8,0.60%,0.08%,0.50%,-2.14%,-2.33%,87.17,91.11,29.77,120.88,-6.00%,74%,<2%,16%,0.8,1.63,0.04,AA-,4.50%,36
9,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,124.57,-3.64%,0.71%,10.6,-3.46%,100,4.90%,8.13,2.56,30.40%,130.38,-4.50%,5.91年,3.91年,14.50%,18.90%,16,-0.79%,-1.34%,-0.90%,-4.30%,-4.49%,88.56,94.04,45.1,139.14,-10.50%,41%,<2%,16%,0.85,3.14,-1.12,AA+,4.20%,31
10,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,130.2,0.54%,2.47%,17.82,3.42%,88,5.60%,13.62,5.56,30.80%,130.84,-0.50%,5.91年,3.91年,6.10%,8.00%,12,-1.64%,-2.16%,-1.74%,-5.46%,-5.62%,87.8,92.99,45.84,138.83,-6.20%,52%,<2%,16%,0.88,2,-0.13,AA,4.20%,16
11,中信转债,113021,2019-03-19,中信银行,601998,金融,108.88,-0.08%,0.50%,6.56,0.92%,288,0.70%,7.45,0.8,-11.90%,88.05,23.70%,5.91年,无权,12.50%,11.00%,400,1.57%,0.99%,1.45%,无权,无权,无权,95.03,14.32,109.35,-0.40%,23%,18%,17%,0.46,0.6,0.33,AAA,4.00%,36
