,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,精测转债,123025,今日上市,精测电子,300567,电子,114.9,14.90%,0.00%,78.71,1.68%,318,74.60%,75.88,12.33,3.70%,103.73,10.80%,5.94年,3.94年,2.90%,3.00%,3.8,0.43%,-0.10%,0.32%,-2.39%,-2.58%,86.63,90.5,26.27,116.77,-1.60%,73%,<2%,17%,0.75,0.5,0.99,AA-,4.60%,17
2,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,104.01,-0.37%,0.12%,15.23,-0.46%,134,20.40%,16.88,4.14,-9.80%,90.23,15.30%,5.94年,3.94年,10.30%,9.30%,6.3,2.77%,2.12%,2.64%,-0.02%,-0.21%,85.64,92.45,15.16,107.61,-3.30%,54%,13%,16%,0.56,0.72,0.43,AA,4.90%,18
3,中装转债,128060,2019-04-15,中装建设,2822,建筑,105.819,0.21%,0.96%,6.36,1.60%,67,12.10%,6.24,1.75,1.90%,101.92,3.80%,5.94年,3.94年,13.80%,14.00%,5.3,1.18%,0.76%,1.10%,-0.47%,-0.65%,86.69,87.52,26.47,113.99,-7.20%,68%,8%,17%,0.73,1.86,-0.28,AA,4.50%,42
4,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,108.78,-0.02%,0.65%,26.47,0.84%,12,5.20%,24.9,3.78,6.30%,106.31,2.30%,4.92年,2.92年,9.60%,10.20%,2.1,0.86%,0.36%,0.76%,-2.03%,-2.16%,88.63,90.58,26.46,117.04,-7.10%,67%,8%,18%,0.76,1.76,-0.14,A+,4.70%,21
5,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,110.478,0.53%,0.53%,8.1,1.38%,39,5.90%,7.39,1.98,9.60%,109.61,0.80%,5.92年,4.92年,20.40%,22.40%,6,0.74%,0.27%,0.64%,-0.89%,-1.10%,84.84,89.43,31.87,121.3,-8.90%,41%,<2%,18%,0.76,2.37,-0.65,AA,4.50%,36
6,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,115.22,1.06%,0.43%,22.9,2.10%,115,5.80%,21.79,3.45,5.10%,105.09,9.60%,5.92年,3.92年,4.00%,4.20%,17.3,-0.02%,-0.47%,-0.11%,-2.59%,-2.75%,87.4,90.16,26.34,116.51,-1.10%,45%,16%,16%,0.71,0.72,0.71,AA+,4.30%,24
7,通威转债,110054,2019-04-10,通威股份,600438,农业,126.6,3.05%,-1.38%,14.6,2.10%,54,0.90%,12.44,3.17,17.40%,117.36,7.90%,5.91年,3.91年,8.80%,10.40%,50,-1.55%,-2.01%,-1.65%,-4.73%,-4.91%,88.17,91.07,35.91,126.98,-0.30%,62%,15%,16%,0.8,0.69,0.91,AA+,4.20%,14
8,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,113.5,0.89%,2.30%,6.47,4.35%,54,3.90%,6.38,3.1,1.40%,101.41,11.90%,5.91年,3.91年,8.30%,8.40%,12.3,0.27%,-0.19%,0.18%,-2.19%,-2.36%,86.77,89.12,24.26,113.39,0.10%,79%,20%,16%,0.73,0.26,1.2,AA,4.50%,6
9,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,123.17,0.09%,-1.63%,20.72,-1.85%,25,2.30%,17.6,3.3,17.70%,117.73,4.60%,5.91年,3.91年,9.60%,11.30%,8.8,-1.10%,-1.56%,-1.19%,-4.11%,-4.29%,87.68,90.37,36.63,127,-3.00%,42%,<2%,16%,0.83,1.15,0.55,AA,4.30%,15
10,苏银转债,110053,2019-04-03,江苏银行,600919,金融,108.55,-0.16%,0.09%,7.41,-0.13%,319,1.50%,7.9,0.92,-6.20%,93.8,15.70%,5.90年,无权,23.40%,21.90%,200,1.65%,1.07%,1.54%,无权,无权,无权,95.19,18.82,114,-4.80%,25%,13%,18%,0.51,1.56,-0.43,AAA,4.00%,44
