,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,106.3,0.38%,-0.38%,5.37,3.27%,6.6,1.50%,6.94,1.48,-22.60%,77.38,37.40%,0.76年,回售中,3.80%,3.00%,4.3,-0.37%,-1.86%,-0.67%,回售中,回售中,103,101.42,0.17,101.6,4.60%,70%,50%,16%,0,-0.86,0.83,AA,6.00%,10
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,123.41,-0.26%,0.26%,6.14,0.00%,111,1.50%,5.19,1.59,18.30%,118.3,4.30%,1.86年,回售中,6.60%,7.80%,59.9,-6.90%,-7.64%,-7.05%,回售中,回售中,103,100.52,22.13,122.65,0.60%,50%,21%,16%,0.78,0.69,0.88,AAA,4.00%,15
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,114.2,0.23%,-0.33%,28.36,-1.90%,5.2,0.20%,42.38,5.32,-33.10%,66.92,70.70%,2.22年,0.22年,4.50%,3.00%,24,-1.70%,-2.52%,-1.87%,-30.30%,-31.20%,100.23,100.98,0.67,101.65,12.30%,55%,55%,17%,0.05,-2.14,2.4,AAA,4.00%,8
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,134.2,-0.81%,-0.10%,5.79,-1.03%,26,3.50%,4.31,2.01,34.30%,134.34,-0.10%,2.74年,0.74年,4.40%,5.90%,5.5,-6.70%,-7.38%,-6.83%,-27.00%,-27.30%,98.08,99.59,40.24,139.83,-4.00%,40%,<2%,17%,0.89,1.68,0.18,AA,4.20%,65
5,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,118.44,0.97%,1.43%,9.56,3.35%,46,2.70%,8.61,1.41,11.00%,111.03,6.70%,2.79年,0.79年,8.40%,9.30%,14.6,-2.30%,-3.01%,-2.44%,-14.90%,-15.20%,97.7,99,20.06,119.06,-0.50%,34%,18%,15%,0.72,0.75,0.69,AA+,4.30%,6
6,九州转债,110034,2016-01-29,九州通,600998,医药,112.29,0.26%,0.29%,16.33,1.55%,6.9,0.40%,18.42,2.08,-11.30%,88.65,26.70%,2.81年,0.81年,4.90%,4.30%,15,-0.61%,-1.28%,-0.74%,-7.71%,-8.40%,99.28,97.27,7.59,104.85,7.10%,26%,26%,15%,0.35,-1.06,1.8,AA+,4.60%,10
7,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,113.1,0.09%,0.38%,12.12,1.85%,28,1.00%,14.74,1.64,-17.80%,82.23,37.50%,2.83年,0.83年,2.10%,1.70%,25.5,-1.31%,-1.89%,-1.43%,-10.00%,-10.40%,97.84,97.69,4.08,101.77,11.10%,34%,35%,15%,0.25,-1.75,2.37,AAA,4.00%,12
8,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,106.1,-0.01%,0.01%,5.12,-1.35%,1,0.20%,9.28,1.9,-44.80%,55.17,92.30%,2.83年,0.83年,10.20%,5.60%,5.1,1.70%,0.95%,1.55%,-4.00%,-4.35%,96.12,94.52,2.06,96.58,9.90%,42%,51%,17%,0,-1.78,1.87,AA,6.00%,21
9,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,96.901,-0.02%,0.02%,2.95,-1.01%,15,1.80%,7.71,1.28,-61.70%,38.26,153%,3年28天,1年28天,19.00%,7.30%,8.5,3.22%,2.78%,3.13%,6.97%,6.08%,96.87,86.95,10.7,97.65,-0.80%,85%,<2%,17%,0,0.15,-0.15,A+,7.00%,81
10,海印转债,127003,2016-07-01,海印股份,861,商业零售,109.59,0.33%,0.07%,3.05,0.99%,21,1.70%,3.5,2.11,-12.90%,87.14,25.80%,3.21年,1.21年,16.70%,14.60%,11.1,1.35%,0.53%,1.18%,-4.58%,-4.95%,95.93,97.47,8.34,105.81,3.60%,26%,24%,16%,0.4,-0.53,1.34,AA,5.20%,100
11,洪涛转债,128013,2016-08-23,洪涛股份,2325,建筑,99.3,0.30%,-0.30%,3.9,-0.26%,12,1.00%,9.98,1.32,-60.90%,39.08,154%,3.35年,1.35年,24.60%,9.60%,12,3.82%,3.11%,3.68%,2.33%,1.95%,94.17,92.78,2.39,95.16,4.30%,36%,44%,16%,0,-0.83,0.83,AA,6.00%,81
12,光大转债,113011,2017-07-18,光大银行,601818,金融,115.7,-0.03%,-0.39%,4.11,-0.72%,93,0.30%,4.13,0.77,-0.50%,99.52,16.30%,3.98年,无权,13.90%,13.80%,300,-1.44%,-1.87%,-1.53%,无权,无权,无权,93.76,18.44,112.2,3.10%,18%,19%,16%,0.59,-0.01,1.19,AAA,4.00%,29
13,骆驼转债,113012,2017-07-18,骆驼股份,601311,汽车,120.79,-0.73%,-1.36%,16.12,-2.48%,190,29.50%,13.44,2.46,19.90%,119.94,0.70%,4年0.3天,2年0.3天,3.90%,4.70%,5.3,-2.52%,-2.93%,-2.60%,-7.13%,-7.37%,94.12,92.63,35.58,128.21,-5.80%,34%,<2%,16%,0.84,1.93,-0.14,AA,4.30%,17
14,永东转债,128014,2017-07-18,永东股份,2753,石油天然气化工,107.33,1.40%,0.18%,11.17,3.71%,4.1,1.10%,13.53,2.78,-17.40%,82.56,30.00%,4年24天,2年24天,9.10%,7.50%,3.4,1.30%,0.71%,1.18%,-1.63%,-1.93%,92.09,91.58,10.65,102.23,5.00%,60%,27%,17%,0.42,-0.88,1.76,AA-,5.40%,44
15,模塑转债,127004,2017-08-16,模塑科技,700,汽车,98.89,1.24%,-1.14%,4.04,1.76%,16,2.00%,7.72,1.38,-47.70%,52.33,89.00%,4.19年,2.19年,24.50%,12.80%,8.2,3.75%,3.07%,3.61%,1.97%,1.67%,90.56,90.96,1.91,92.88,6.50%,53%,35%,17%,0.05,-1.24,1.37,AA,5.90%,67
16,久其转债,128015,2017-07-18,久其软件,2279,计算机及应用,106.78,0.26%,-0.55%,9.06,-1.20%,2.9,0.40%,12.86,3.28,-29.50%,70.45,51.60%,4.21年,2.21年,12.10%,8.50%,7.8,1.23%,0.68%,1.12%,-1.50%,-1.74%,90.82,89.99,6.05,96.04,11.20%,71%,36%,17%,0.24,-1.97,2.61,AA,5.50%,37
17,国君转债,113013,2017-07-24,国泰君安,601211,金融,121.27,0.07%,-0.44%,19.87,-0.60%,40,0.50%,19.8,1.54,0.40%,100.35,20.80%,4.29年,无权,4.00%,4.10%,70,-2.34%,-2.74%,-2.42%,无权,无权,无权,93.13,21.26,114.4,6.00%,26%,26%,17%,0.6,-0.55,1.78,AAA,4.00%,29
18,雨虹转债,128016,2017-10-20,东方雨虹,2271,建筑,118.66,-0.72%,1.14%,22,0.69%,30,1.40%,22.63,4.48,-2.80%,97.22,22.10%,4.51年,2.51年,5.60%,5.40%,18.4,-1.64%,-2.05%,-1.72%,-5.18%,-5.38%,91.96,91.22,19.19,110.42,7.50%,51%,30%,16%,0.61,-0.94,2.23,AA+,4.40%,10
19,林洋转债,113014,2017-11-13,林洋能源,601222,能源电力,110,2.85%,-3.00%,5.98,-0.66%,88,2.70%,8.76,1.15,-31.70%,68.26,61.10%,4.60年,2.60年,28.40%,19.40%,30,0.16%,-0.27%,0.07%,-2.27%,-2.49%,89.09,86.87,6.75,93.61,17.50%,83%,41%,16%,0.22,-2.98,3.85,AA,5.60%,17
20,金禾转债,128017,2017-11-27,金禾实业,2597,石油天然气化工,110.55,0.05%,0.36%,18.2,1.05%,1,0.10%,23.32,2.7,-22.00%,78.04,41.60%,4.61年,2.61年,5.90%,4.60%,6,-0.05%,-0.46%,-0.13%,-2.52%,-2.72%,89.57,87.6,10.5,98.11,12.70%,36%,36%,17%,0.39,-2.15,3.16,AA,5.20%,25
21,隆基转债,113015,2017-11-20,隆基股份,601012,能源电力,123.62,-1.32%,-1.02%,25.89,-3.03%,48,1.40%,22.98,4.85,12.70%,112.66,9.70%,4.61年,2.61年,3.90%,4.40%,28,-2.48%,-2.88%,-2.56%,-6.38%,-6.58%,91.93,91.44,30.9,122.34,1.00%,47%,18%,16%,0.77,0.43,1.11,AA+,4.20%,12
22,小康转债,113016,2017-11-21,小康股份,601127,汽车,110.21,0.15%,0.29%,17.23,0.64%,4.6,0.50%,17.2,3.41,0.20%,100.17,10.00%,4.62年,2.62年,5.40%,5.40%,8.8,0.12%,-0.31%,0.03%,-2.31%,-2.53%,91.17,90.3,22.44,112.73,-2.20%,40%,14%,16%,0.69,0.82,0.58,AA,4.60%,33
23,时达转债,128018,2017-12-04,新时达,2527,机械装备制造,105,-0.15%,0.08%,6.99,-0.71%,5.3,0.60%,11.83,1.52,-40.90%,59.09,77.70%,4.62年,2.62年,20.30%,12.00%,8.8,1.19%,0.75%,1.10%,-0.59%,-0.82%,88.39,85.84,4.88,90.73,15.70%,35%,44%,16%,0.1,-2.69,3.19,AA,5.80%,40
24,久立转2,128019,2017-12-01,久立特材,2318,石油天然气化工,118,-0.59%,-0.97%,8.27,-2.25%,14,1.10%,8.22,2.34,0.60%,100.61,17.30%,4.63年,2.63年,14.90%,15.00%,10.4,-1.47%,-1.87%,-1.55%,-4.77%,-4.96%,90.93,89.86,23.31,113.17,4.30%,35%,24%,17%,0.69,-0.48,1.89,AA,4.60%,13
25,嘉澳转债,113502,2017-11-27,嘉澳环保,603822,城市公用设施,101.41,0.05%,0.14%,31.29,0.71%,2.4,1.30%,45.27,3.24,-30.90%,69.12,46.70%,4.63年,2.63年,8.10%,5.60%,1.9,2.39%,1.86%,2.29%,0.70%,0.46%,88.34,87.27,6.97,94.24,7.60%,58%,31%,17%,0.27,-1.45,2.06,AA-,5.80%,42
26,济川转债,110038,2017-11-29,济川药业,600566,医药,115.35,-0.48%,0.00%,35.85,-0.94%,9.3,1.30%,40.04,5.87,-10.50%,89.54,28.80%,3.64年,1.64年,2.20%,1.90%,6.3,-1.61%,-2.05%,-1.70%,-6.82%,-6.97%,93.04,91.36,15.34,106.7,8.10%,35%,29%,15%,0.51,-1.29,2.41,AA,5.00%,12
27,水晶转债,128020,2017-12-12,水晶光电,2273,电子,115.3,-0.02%,0.50%,14.58,0.83%,12,0.90%,16,3.49,-8.90%,91.12,26.50%,4.65年,2.65年,9.40%,8.50%,11.8,-0.71%,-1.16%,-0.80%,-4.11%,-4.27%,89.81,89.86,15.68,105.54,9.20%,52%,32%,16%,0.58,-1.51,2.8,AA,4.80%,13
