,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,105.48,0.46%,-0.46%,5.39,3.65%,6.1,1.40%,6.94,1.48,-22.30%,77.67,35.80%,0.74年,回售中,3.80%,3.00%,4.3,0.67%,-0.88%,0.36%,回售中,回售中,103,101.56,0.16,101.71,3.70%,70%,45%,16%,0,-0.69,0.66,AA,6.00%,7
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,121.8,1.75%,0.02%,5.97,2.40%,19,0.30%,5.19,1.55,15.00%,115.03,5.90%,1.84年,回售中,6.80%,7.80%,59.9,-6.31%,-7.07%,-6.46%,回售中,回售中,103,100.61,19.38,119.99,1.50%,50%,22%,16%,0.73,0.47,1,AAA,4.00%,15
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,112.99,0.89%,-0.74%,27.93,3.48%,17,0.60%,42.38,4.87,-34.10%,65.9,71.40%,2.20年,0.20年,4.60%,3.00%,24,-1.23%,-2.06%,-1.40%,-29.40%,-30.30%,100.31,101.07,0.57,101.64,11.20%,54%,54%,17%,0.04,-1.96,2.16,AAA,4.00%,7
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,127,2.00%,0.41%,5.48,2.81%,20,3.10%,4.31,1.9,27.10%,127.15,-0.10%,2.72年,0.72年,4.00%,5.10%,5.3,-4.81%,-5.52%,-4.95%,-22.80%,-23.10%,98.1,99.47,33.87,133.34,-4.80%,39%,<2%,17%,0.86,1.79,0.01,AA,4.30%,63
5,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,115.2,1.97%,1.39%,9.19,5.03%,25,1.50%,8.61,1.35,6.70%,106.74,7.90%,2.77年,0.77年,8.80%,9.30%,14.6,-1.32%,-2.04%,-1.46%,-12.70%,-13.00%,97.75,98.97,16.86,115.83,-0.50%,35%,16%,15%,0.67,0.71,0.64,AA+,4.30%,7
6,九州转债,110034,2016-01-29,九州通,600998,医药,110.55,0.56%,-0.16%,15.68,1.36%,18,1.10%,18.42,2,-14.90%,85.12,29.90%,2.79年,0.79年,5.10%,4.30%,15,-0.05%,-0.73%,-0.19%,-6.36%,-7.08%,99.33,97.23,6.21,103.43,6.90%,26%,26%,15%,0.3,-1.06,1.7,AA+,4.70%,13
7,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,110.48,0.99%,-0.42%,11.68,2.73%,27,1.00%,14.74,1.58,-20.80%,79.24,39.40%,2.81年,0.81年,2.10%,1.70%,25.5,-0.49%,-1.08%,-0.60%,-8.09%,-8.41%,97.93,97.77,3.09,100.86,9.50%,34%,34%,15%,0.21,-1.51,2.01,AAA,4.00%,9
8,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,104.5,0.75%,-0.75%,4.94,3.56%,2.9,0.60%,9.28,1.83,-46.80%,53.23,96.30%,2.81年,0.81年,10.50%,5.60%,5.1,2.27%,1.52%,2.12%,-2.58%,-2.95%,96.24,94.63,2.02,96.65,8.10%,42%,50%,17%,0,-1.5,1.54,AA,6.00%,24
9,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,96.28,0.48%,-0.48%,2.72,0.74%,9.1,1.10%,7.71,1.18,-64.70%,35.28,173%,3年20天,1年20天,20.60%,7.30%,8.5,3.46%,3.02%,3.37%,7.67%,6.76%,97.01,87.08,10.63,97.71,-1.50%,85%,<2%,17%,0,0.3,-0.28,A+,7.00%,80
10,海印转债,127003,2016-07-01,海印股份,861,商业零售,112.196,3.16%,-0.79%,3.15,5.35%,64,5.20%,3.5,2.18,-10.00%,90,24.70%,3.19年,1.19年,16.20%,14.60%,11.1,0.60%,-0.22%,0.43%,-6.30%,-6.67%,96.14,97.84,9.61,107.45,4.40%,26%,25%,16%,0.44,-0.67,1.58,AA,5.10%,100
11,洪涛转债,128013,2016-08-23,洪涛股份,2325,建筑,99.18,0.43%,-0.43%,3.7,3.35%,19,1.60%,9.98,1.26,-62.90%,37.07,168%,3.33年,1.33年,26.00%,9.60%,12,3.89%,3.17%,3.74%,2.45%,2.07%,94.29,92.89,2.69,95.59,3.80%,35%,46%,16%,0,-0.72,0.71,AA,6.00%,78
12,光大转债,113011,2017-07-18,光大银行,601818,金融,114.9,1.85%,-0.38%,4.1,2.50%,336,1.00%,4.13,0.75,-0.70%,99.27,15.70%,3.96年,无权,13.90%,13.80%,300,-1.28%,-1.70%,-1.36%,无权,无权,无权,93.84,18.19,112.03,2.60%,18%,18%,16%,0.59,0.1,1.07,AAA,4.00%,28
