,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,105.9,1.20%,-1.20%,5.2,1.36%,15,3.30%,6.94,1.43,-25.10%,74.93,41.30%,0.76年,回售中,4.00%,3.00%,4.3,0.12%,-1.36%,-0.17%,回售中,回售中,103,101.39,0.29,101.68,4.20%,70%,46%,16%,0,-0.81,0.64,AA,6.00%,6
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,123.73,1.11%,-0.98%,6.14,0.16%,62,0.80%,5.19,1.59,18.30%,118.3,4.60%,1.87年,回售中,6.60%,7.80%,59.9,-7.01%,-7.75%,-7.16%,回售中,回售中,103,100.5,22.15,122.66,0.90%,50%,18%,16%,0.78,0.64,0.93,AAA,4.00%,15
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,113.94,0.56%,-0.56%,28.91,0.00%,2.3,0.10%,42.38,5.43,-31.80%,68.22,67.00%,2.23年,0.23年,4.50%,3.00%,24,-1.60%,-2.41%,-1.76%,-29.30%,-30.10%,100.21,100.96,0.78,101.75,12.00%,55%,54%,17%,0.06,-2.07,2.34,AAA,4.00%,8
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,135.3,0.97%,0.12%,5.85,1.21%,110,14.50%,4.31,2.03,35.70%,135.73,-0.30%,2.74年,0.74年,4.40%,6.00%,5.7,-6.96%,-7.65%,-7.10%,-27.50%,-27.80%,98.07,99.59,41.5,141.08,-4.10%,40%,<2%,17%,0.9,1.71,0.16,AA,4.20%,67
5,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,117.3,0.33%,-0.91%,9.25,-0.86%,24,1.40%,8.61,1.36,7.40%,107.43,9.20%,2.79年,0.79年,8.70%,9.30%,14.6,-1.95%,-2.66%,-2.09%,-14.00%,-14.30%,97.65,98.88,17.43,116.31,0.90%,34%,16%,15%,0.68,0.44,0.92,AA+,4.30%,6
6,九州转债,110034,2016-01-29,九州通,600998,医药,112,0.45%,-0.41%,16.08,0.12%,6.1,0.40%,18.42,2.05,-12.70%,87.3,28.30%,2.82年,0.82年,5.00%,4.30%,15,-0.51%,-1.19%,-0.65%,-7.42%,-8.11%,99.23,97.18,6.99,104.17,7.50%,26%,26%,15%,0.33,-1.12,1.83,AA+,4.70%,10
7,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,113,0.88%,-0.75%,11.9,0.59%,52,1.80%,14.74,1.61,-19.30%,80.73,40.00%,2.84年,0.84年,2.10%,1.70%,25.5,-1.28%,-1.86%,-1.39%,-9.92%,-10.20%,97.82,97.67,3.61,101.27,11.60%,34%,34%,15%,0.23,-1.84,2.42,AAA,4.00%,10
8,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,106.113,0.57%,-0.56%,5.19,1.17%,1.8,0.30%,9.28,1.92,-44.10%,55.93,89.70%,2.84年,0.84年,10.00%,5.60%,5.1,1.69%,0.95%,1.54%,-3.99%,-4.34%,96.09,94.51,2.09,96.6,9.90%,42%,50%,17%,0.01,-1.78,1.87,AA,6.00%,19
9,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,96.919,0.43%,-0.43%,2.98,0.34%,14,1.70%,7.71,1.3,-61.30%,38.65,151%,3年30天,1年30天,18.80%,7.30%,8.5,3.20%,2.77%,3.12%,6.92%,6.04%,96.83,86.92,10.71,97.64,-0.70%,85%,<2%,17%,0,0.15,-0.14,A+,7.00%,79
10,海印转债,127003,2016-07-01,海印股份,861,商业零售,109.23,1.16%,-0.51%,3.02,1.68%,30,2.40%,3.5,2.09,-13.70%,86.29,26.60%,3.21年,1.21年,16.90%,14.60%,11.1,1.45%,0.64%,1.29%,-4.33%,-4.70%,95.87,97.38,7.95,105.33,3.70%,26%,23%,16%,0.39,-0.56,1.34,AA,5.20%,100
