,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,104.93,-0.07%,0.07%,5.13,0.20%,16,3.60%,6.94,1.41,-26.10%,73.92,42.00%,0.77年,回售中,4.00%,3.00%,4.3,1.33%,-0.16%,1.03%,回售中,回售中,103,101.36,0.45,101.81,3.10%,70%,48%,16%,0,-0.64,0.46,AA,6.00%,4
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,122.93,0.61%,0.42%,6.17,1.31%,114,1.50%,5.19,1.6,18.90%,118.88,3.40%,1.87年,回售中,6.60%,7.80%,59.9,-6.66%,-7.41%,-6.81%,回售中,回售中,103,100.48,22.65,123.13,-0.20%,50%,19%,16%,0.79,0.86,0.73,AAA,4.00%,16
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,113.03,0.55%,-0.53%,28.19,0.43%,17,0.60%,42.38,5.29,-33.50%,66.52,69.90%,2.23年,0.23年,4.60%,3.00%,24,-1.23%,-2.05%,-1.39%,-27.00%,-27.80%,100.18,100.94,0.64,101.58,11.30%,56%,54%,17%,0.05,-1.97,2.19,AAA,4.00%,6
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,137.81,2.84%,0.63%,5.97,3.83%,164,21.10%,4.31,2.07,38.50%,138.52,-0.50%,2.75年,0.75年,4.40%,6.10%,5.7,-7.58%,-8.25%,-7.71%,-28.90%,-29.10%,98.06,99.61,44.03,143.64,-4.10%,40%,<2%,17%,0.91,1.72,0.16,AA,4.20%,71
5,三一转债!,110032,2016-01-18,三一重工,600031,机械装备制造,176.09,-1.36%,-0.08%,12.8,-1.46%,26,3.80%,7.25,3.33,76.60%,176.55,-0.30%,2.80年,0.80年,0.40%,0.70%,3.9,-10.70%,-11.00%,-10.80%,-42.50%,-43.00%,100.62,97.87,82.27,180.15,-2.30%,29%,<2%,17%,0.98,1.46,0.53,AA+,4.00%,8
6,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,116.83,2.03%,0.47%,9.18,3.73%,64,3.80%,8.61,1.35,6.60%,106.62,9.60%,2.80年,0.80年,8.80%,9.30%,14.6,-1.80%,-2.51%,-1.95%,-13.50%,-13.80%,97.62,98.84,16.91,115.75,0.90%,34%,19%,15%,0.67,0.4,0.94,AA+,4.30%,8
7,九州转债,110034,2016-01-29,九州通,600998,医药,111.88,0.61%,-0.92%,16.22,-0.92%,15,0.90%,18.42,2.06,-11.90%,88.06,27.10%,2.83年,0.83年,4.90%,4.30%,15,-0.47%,-1.15%,-0.61%,-7.28%,-7.97%,99.22,97.19,7.35,104.54,7.00%,27%,27%,15%,0.34,-1.04,1.75,AA+,4.70%,10
8,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,112.3,0.27%,-0.57%,11.91,-1.33%,9.2,0.30%,14.74,1.62,-19.20%,80.8,39.00%,2.84年,0.84年,2.10%,1.70%,25.5,-1.06%,-1.64%,-1.17%,-9.31%,-9.62%,97.8,97.64,3.63,101.28,10.90%,35%,35%,15%,0.23,-1.72,2.29,AAA,4.00%,10
9,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,105.18,0.17%,-0.18%,5.18,-0.96%,8,1.50%,9.28,1.92,-44.20%,55.82,88.40%,2.84年,0.84年,10.00%,5.60%,5.1,2.00%,1.26%,1.86%,-3.12%,-3.47%,96.06,94.48,2.11,96.58,8.90%,43%,47%,17%,0.01,-1.62,1.69,AA,6.00%,18
10,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,96.61,0.01%,-0.01%,3,0.00%,15,1.80%,7.71,1.3,-61.10%,38.91,148%,3年32天,1年32天,18.70%,7.30%,8.5,3.31%,2.87%,3.22%,7.17%,6.28%,96.8,86.89,10.73,97.62,-1.00%,85%,<2%,17%,0,0.21,-0.2,A+,7.00%,75
11,海印转债,127003,2016-07-01,海印股份,861,商业零售,107.95,0.16%,-0.41%,3,-0.66%,23,2.00%,3.5,2.08,-14.30%,85.71,25.90%,3.22年,1.22年,17.00%,14.60%,11.1,1.83%,1.01%,1.67%,-3.49%,-3.86%,95.83,97.31,7.75,105.06,2.80%,26%,21%,16%,0.38,-0.39,1.15,AA,5.20%,100
12,洪涛转债,128013,2016-08-23,洪涛股份,2325,建筑,98.17,-0.03%,0.03%,3.86,0.00%,7.8,0.70%,9.98,1.31,-61.30%,38.68,154%,3.36年,1.36年,24.90%,9.60%,12,4.17%,3.46%,4.03%,3.09%,2.71%,94.11,92.72,2.42,95.14,3.20%,36%,41%,16%,0,-0.62,0.61,AA,6.00%,78
13,光大转债,113011,2017-07-18,光大银行,601818,金融,115.25,0.25%,-0.84%,4.18,-0.95%,166,0.50%,4.13,0.79,1.20%,101.21,13.90%,3.995年,无权,13.70%,13.80%,300,-1.34%,-1.77%,-1.43%,无权,无权,无权,93.72,19.65,113.37,1.70%,18%,18%,16%,0.62,0.31,0.93,AAA,4.00%,29
14,骆驼转债,113012,2017-07-18,骆驼股份,601311,汽车,117,1.15%,3.50%,15.57,5.70%,261,41.60%,13.44,2.37,15.80%,115.85,1.00%,4年4.3天,2年4.3天,4.10%,4.70%,5.4,-1.72%,-2.14%,-1.80%,-5.71%,-5.96%,93.97,92.41,32.2,124.61,-6.10%,34%,11%,16%,0.82,1.98,-0.22,AA,4.40%,20
15,永东转债,128014,2017-07-18,永东股份,2753,石油天然气化工,104.3,0.58%,-0.33%,10.76,0.65%,6,1.70%,13.53,2.67,-20.50%,79.53,31.20%,4年28天,2年28天,9.40%,7.50%,3.4,2.03%,1.43%,1.91%,-0.35%,-0.65%,91.82,91.14,9.37,100.51,3.80%,60%,24%,17%,0.38,-0.67,1.45,AA-,5.60%,35
16,模塑转债,127004,2017-08-16,模塑科技,700,汽车,97.021,-0.09%,0.06%,3.84,-0.78%,9.8,1.20%,7.72,1.32,-50.30%,49.74,95.10%,4.20年,2.20年,25.80%,12.80%,8.2,4.22%,3.54%,4.09%,2.80%,2.49%,90.45,90.81,1.67,92.48,4.90%,54%,36%,17%,0.04,-0.94,1.03,AA,5.90%,63
