,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,中装转债,128060,今日上市,中装建设,2822,建筑,105.732,5.73%,0.00%,6.17,-0.48%,467,83.60%,6.24,1.73,-1.10%,98.88,6.90%,5.95年,3.95年,14.20%,14.00%,5.3,1.19%,0.78%,1.11%,-0.45%,-0.63%,86.5,87.25,24.32,111.57,-5.20%,68%,<2%,17%,0.71,1.39,0.1,AA,4.60%,38
2,通威转债,110054,2019-04-10,通威股份,600438,农业,115.8,-1.45%,1.66%,12.6,0.32%,100,1.70%,12.44,3.4,1.30%,101.29,14.30%,5.92年,3.92年,10.20%,10.40%,50,-0.03%,-0.50%,-0.12%,-2.60%,-2.78%,87.73,90.44,23.58,114.02,1.60%,62%,21%,16%,0.68,0.15,1.21,AA+,4.30%,14
3,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,111,-0.07%,-1.01%,6,-1.64%,55,4.00%,6.38,2.91,-6.00%,94.04,18.00%,5.92年,3.92年,8.90%,8.40%,12.3,0.66%,0.19%,0.56%,-1.64%,-1.82%,86.24,88.37,19.43,107.8,3.00%,79%,20%,16%,0.66,-0.44,1.77,AA,4.70%,8
4,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,120.2,-1.35%,0.15%,19.7,-1.50%,32,3.00%,17.6,3.69,11.90%,111.93,7.40%,5.92年,3.92年,10.10%,11.30%,8.8,-0.68%,-1.14%,-0.78%,-3.52%,-3.70%,87.43,90.03,32.02,122.04,-1.50%,42%,15%,16%,0.8,0.76,0.85,AA,4.40%,16
5,苏银转债,110053,2019-04-03,江苏银行,600919,金融,107.9,-0.20%,0.48%,7.26,0.55%,742,3.40%,7.9,0.84,-8.10%,91.9,17.40%,5.91年,无权,23.90%,21.90%,200,1.76%,1.17%,1.64%,无权,无权,无权,95.15,17.66,112.8,-4.30%,25%,14%,18%,0.5,1.44,-0.35,AAA,4.00%,41
6,浙商转债,113022,2019-03-28,浙商证券,601878,金融,112.03,-0.72%,-1.10%,11.17,-3.46%,104,2.60%,12.53,2.73,-10.90%,89.15,25.70%,5.91年,无权,9.40%,8.40%,35,-0.31%,-0.63%,-0.38%,无权,无权,无权,87.59,18.07,105.67,6.00%,50%,25%,18%,0.53,-0.62,1.69,AAA,4.00%,27
7,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,121.88,-0.81%,1.00%,45.23,0.24%,32,2.70%,40.52,6.46,11.60%,111.62,9.20%,5.91年,3.91年,5.40%,6.00%,10,-0.51%,-1.05%,-0.62%,-3.90%,-4.07%,87.15,92,30.27,122.27,-0.30%,46%,18%,16%,0.78,0.47,1.09,AA,4.40%,14
8,视源转债,128059,2019-04-02,视源股份,2841,电子,115.803,-0.45%,-0.86%,72.68,-1.94%,31,2.80%,76.25,14.01,-4.70%,95.32,21.50%,5.91年,3.91年,2.00%,1.90%,9.4,-0.22%,-0.66%,-0.31%,-2.68%,-2.85%,86.44,87.86,20.55,108.41,6.80%,56%,25%,16%,0.68,-1.09,2.52,AA,4.60%,16
9,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,117.5,-0.80%,-0.07%,12.75,-1.24%,41,2.90%,11.99,1.88,6.30%,106.34,10.50%,5.90年,3.90年,7.70%,8.20%,12,-0.27%,-0.74%,-0.36%,-2.98%,-3.16%,87.86,90.74,28.03,118.77,-1.10%,43%,17%,17%,0.7,0.72,0.7,AA+,4.30%,17
10,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,115.1,-0.86%,0.15%,6.06,-0.98%,34,5.20%,5.64,2.89,7.40%,107.45,7.10%,5.89年,3.89年,9.30%,10.00%,5.7,1.16%,0.49%,1.02%,-2.28%,-2.50%,87.77,95.21,25.93,121.13,-5.00%,59%,10%,16%,0.73,1.34,0.17,AA,4.50%,45
11,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,113.6,-5.82%,4.39%,10.41,-1.70%,557,79.10%,8.9,2.26,17.00%,116.97,-2.90%,5.89年,3.89年,10.50%,12.30%,5.8,0.60%,0.07%,0.50%,-2.15%,-2.34%,87.6,91.73,35.05,126.78,-10.40%,74%,<2%,16%,0.84,2.79,-0.85,AA-,4.40%,45
12,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,121.24,-0.12%,-1.15%,10.19,-1.55%,52,2.70%,8.13,2.46,25.30%,125.34,-3.30%,5.89年,3.89年,15.10%,18.90%,16,-0.32%,-0.88%,-0.43%,-3.67%,-3.87%,88.54,93.98,40.68,134.66,-10.00%,41%,<2%,16%,0.82,2.98,-1.03,AA+,4.20%,36
13,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,121.5,-2.02%,0.75%,16.16,-1.52%,40,2.70%,13.62,5.04,18.60%,118.65,2.40%,5.89年,3.89年,6.80%,8.00%,12,-0.46%,-1.00%,-0.57%,-3.84%,-4.01%,87.53,92.54,35.68,128.22,-5.20%,51%,<2%,16%,0.83,1.62,0.11,AA,4.30%,16
14,中信转债,113021,2019-03-19,中信银行,601998,金融,107.5,0.08%,0.18%,6.36,0.63%,187,0.40%,7.45,0.77,-14.60%,85.37,25.90%,5.89年,无权,12.90%,11.00%,400,1.80%,1.22%,1.68%,无权,无权,无权,95.1,12.84,107.94,-0.40%,23%,18%,17%,0.42,0.53,0.32,AAA,4.00%,39
15,富祥转债,123020,2019-03-29,富祥股份,300497,医药,119.2,-2.65%,0.01%,21.98,-3.13%,54,10.70%,18.05,4.51,21.80%,121.77,-2.10%,5.87年,3.87年,8.50%,10.40%,4.2,0.28%,-0.34%,0.15%,-3.26%,-3.45%,87.97,94.59,37.32,131.91,-9.60%,64%,<2%,16%,0.84,2.62,-0.71,AA-,4.40%,42
16,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,109.45,-0.45%,-0.25%,24.75,-0.96%,12,1.70%,24.18,2.69,2.40%,102.36,6.90%,5.87年,3.87年,14.40%,14.70%,6.3,1.33%,0.78%,1.22%,-1.17%,-1.37%,87.02,90.82,25.12,115.94,-5.60%,56%,9%,17%,0.73,1.36,0.16,AA-,4.70%,31
17,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,109.501,-2.49%,0.54%,7.22,-2.56%,8.4,2.00%,6.8,2.88,6.20%,106.18,3.10%,5.87年,3.87年,13.50%,14.40%,3.7,1.84%,1.20%,1.71%,-1.10%,-1.32%,87.15,93.3,26.75,120.05,-8.80%,71%,<2%,17%,0.76,2.02,-0.37,A+,4.70%,41
