,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,中装转债,128060,2019-04-15,中装建设,2822,建筑,105.032,-0.66%,1.48%,6.24,1.13%,86,15.60%,6.24,1.75,0.00%,100,5.00%,5.94年,3.94年,14.00%,14.00%,5.3,1.31%,0.89%,1.22%,-0.29%,-0.47%,86.58,87.37,25.11,112.48,-6.60%,68%,10%,17%,0.72,1.71,-0.17,AA,4.60%,39
2,迪森转债,123023,今日上市,迪森股份,300335,能源电力,109.37,9.37%,0.00%,8.31,3.75%,601,92.10%,7.39,2.23,12.40%,112.45,-2.70%,5.93年,4.93年,19.90%,22.40%,6,0.91%,0.44%,0.82%,-0.69%,-0.90%,84.99,89.61,34.1,123.7,-11.60%,41%,<2%,18%,0.79,3.08,-1.17,AA,4.40%,30
3,N亨通转,110056,今日上市,亨通光电,600487,通信互联网,111.59,11.60%,0.00%,22.31,5.78%,"1,311",68.60%,21.79,3.54,2.40%,102.39,9.00%,5.92年,3.92年,4.10%,4.20%,17.3,0.53%,0.07%,0.44%,-1.81%,-1.98%,87.31,90.04,24.37,114.42,-2.50%,45%,<2%,16%,0.69,0.99,0.43,AA+,4.30%,17
4,通威转债,110054,2019-04-10,通威股份,600438,农业,114.87,-0.80%,2.13%,12.84,1.90%,104,1.80%,12.44,3.47,3.20%,103.22,11.30%,5.92年,3.92年,10.00%,10.40%,50,0.11%,-0.36%,0.02%,-2.41%,-2.59%,87.81,90.55,24.98,115.53,-0.60%,62%,19%,16%,0.7,0.59,0.81,AA+,4.30%,14
5,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,113.1,1.89%,0.65%,6.22,3.67%,41,3.00%,6.38,3.02,-2.50%,97.49,16.00%,5.92年,3.92年,8.60%,8.40%,12.3,0.33%,-0.13%,0.24%,-2.10%,-2.27%,86.48,88.72,21.58,110.3,2.50%,79%,21%,16%,0.69,-0.27,1.67,AA,4.60%,6
6,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,120.02,-0.15%,1.52%,20.03,1.68%,54,5.10%,17.6,3.75,13.80%,113.81,5.50%,5.91年,3.91年,9.90%,11.30%,8.8,-0.66%,-1.12%,-0.75%,-3.49%,-3.66%,87.53,90.16,33.5,123.66,-2.90%,42%,15%,16%,0.82,1.09,0.57,AA,4.40%,16
7,苏银转债,110053,2019-04-03,江苏银行,600919,金融,108.43,0.49%,1.16%,7.49,3.17%,732,3.40%,7.9,0.87,-5.20%,94.81,14.40%,5.91年,无权,23.10%,21.90%,200,1.67%,1.09%,1.55%,无权,无权,无权,95.16,19.48,114.63,-5.40%,25%,13%,18%,0.52,1.72,-0.55,AAA,4.00%,41
8,浙商转债,113022,2019-03-28,浙商证券,601878,金融,111.97,-0.05%,1.08%,11.38,1.88%,128,3.30%,12.53,2.78,-9.20%,90.82,23.30%,5.91年,无权,9.20%,8.40%,35,-0.31%,-0.62%,-0.37%,无权,无权,无权,87.6,19.12,106.72,4.90%,50%,27%,18%,0.55,-0.38,1.48,AAA,4.00%,27
9,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,121,-0.72%,0.81%,45.28,0.11%,48,3.90%,40.52,6.47,11.70%,111.75,8.30%,5.90年,3.90年,5.40%,6.00%,10,-0.39%,-0.92%,-0.50%,-3.73%,-3.90%,87.16,92.01,30.35,122.36,-1.10%,46%,17%,16%,0.78,0.64,0.93,AA,4.40%,14
10,视源转债,128059,2019-04-02,视源股份,2841,电子,115.11,-0.60%,1.93%,74.07,1.91%,37,3.40%,76.25,14.27,-2.90%,97.14,18.50%,5.90年,3.90年,1.90%,1.90%,9.4,-0.12%,-0.56%,-0.21%,-2.53%,-2.71%,86.57,88.05,21.68,109.72,4.90%,56%,26%,16%,0.7,-0.7,2.13,AA,4.60%,16
11,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,117.25,-0.21%,0.66%,12.83,0.63%,38,2.70%,11.99,1.89,7.00%,107.01,9.60%,5.89年,3.89年,7.70%,8.20%,12,-0.23%,-0.70%,-0.32%,-2.93%,-3.11%,87.89,90.78,28.5,119.28,-1.70%,43%,17%,17%,0.71,0.86,0.58,AA+,4.30%,17
12,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,114.919,-0.16%,0.64%,6.1,0.66%,34,5.20%,5.64,2.91,8.20%,108.16,6.30%,5.89年,3.89年,9.20%,10.00%,5.7,1.19%,0.52%,1.05%,-2.24%,-2.47%,87.83,95.28,26.42,121.71,-5.60%,59%,9%,16%,0.73,1.48,0.05,AA,4.50%,47
13,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,113,-0.53%,-1.22%,10.19,-2.11%,96,14.80%,8.9,2.21,14.50%,114.49,-1.30%,5.89年,3.89年,10.80%,12.30%,5.8,0.69%,0.16%,0.59%,-2.03%,-2.21%,87.48,91.55,33.09,124.64,-9.30%,74%,<2%,16%,0.82,2.5,-0.64,AA-,4.40%,44
