,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,108.66,1.84%,-1.57%,5.87,3.16%,30,6.50%,6.94,1.61,-15.40%,84.58,28.50%,0.73年,回售中,3.50%,3.00%,4.3,-3.34%,-4.84%,-3.64%,回售中,回售中,103,101.7,0.51,102.21,6.30%,70%,44%,16%,0.08,-1.1,1.28,AA,5.80%,7
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,124.57,0.66%,-0.79%,6.18,-0.16%,124,1.70%,5.19,1.59,19.10%,119.08,4.60%,1.84年,回售中,6.60%,7.80%,59.9,-7.47%,-8.22%,-7.62%,回售中,回售中,103,100.63,22.62,123.25,1.10%,50%,19%,16%,0.79,0.61,0.98,AAA,4.00%,14
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,114.2,0.28%,-0.14%,29.49,2.04%,9.1,0.30%,42.38,5.15,-30.40%,69.58,64.10%,2.19年,0.19年,4.40%,3.00%,24,-1.72%,-2.55%,-1.89%,-32.70%,-33.60%,100.34,101.09,0.87,101.97,12.00%,54%,54%,17%,0.07,-2.06,2.34,AAA,4.00%,7
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,132,-0.29%,-0.17%,5.7,-0.52%,42,6.00%,4.31,1.98,32.30%,132.25,-0.20%,2.71年,0.71年,3.90%,5.10%,5.3,-6.18%,-6.88%,-6.32%,-26.50%,-26.80%,98.17,99.64,38.29,137.94,-4.30%,39%,<2%,17%,0.88,1.73,0.12,AA,4.20%,63
5,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,118.46,0.82%,-1.61%,9.29,-1.17%,13,0.80%,8.61,1.37,7.90%,107.9,9.80%,2.76年,0.76年,8.70%,9.30%,14.6,-2.33%,-3.04%,-2.47%,-15.50%,-15.80%,97.79,99.03,17.6,116.63,1.60%,35%,17%,15%,0.68,0.3,1.06,AA+,4.30%,9
6,九州转债,110034,2016-01-29,九州通,600998,医药,111.45,0.68%,-0.87%,15.84,-0.63%,14,0.90%,18.42,2.02,-14.00%,85.99,29.60%,2.79年,0.79年,5.00%,4.30%,15,-0.34%,-1.02%,-0.48%,-7.19%,-7.90%,99.36,97.28,6.49,103.77,7.40%,26%,26%,15%,0.31,-1.14,1.81,AA+,4.70%,16
7,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,112.06,0.04%,-0.06%,11.88,-0.08%,59,2.10%,14.74,1.59,-19.40%,80.6,39.00%,2.81年,0.81年,2.10%,1.70%,25.5,-1.00%,-1.58%,-1.11%,-9.46%,-9.78%,97.95,97.79,3.47,101.27,10.70%,34%,34%,15%,0.22,-1.69,2.24,AAA,4.00%,9
8,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,104.3,-0.33%,0.33%,5.08,-0.20%,7.9,1.50%,9.28,1.88,-45.30%,54.74,90.50%,2.81年,0.81年,10.20%,5.60%,5.1,2.34%,1.59%,2.19%,-2.40%,-2.77%,96.27,94.67,2.02,96.69,7.90%,42%,48%,17%,0,-1.46,1.5,AA,6.00%,23
9,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,99.3,-0.50%,0.50%,3.14,5.02%,57,6.70%,7.71,1.37,-59.30%,40.73,144%,3年18天,1年18天,17.90%,7.30%,8.5,2.40%,1.97%,2.32%,4.98%,4.10%,97.05,87.12,10.6,97.71,1.60%,85%,54%,17%,0,-0.32,0.31,A+,7.00%,79
10,海印转债,127003,2016-07-01,海印股份,861,商业零售,115.6,1.58%,-0.51%,3.24,1.57%,43,3.40%,3.03,2.24,6.90%,106.93,8.10%,3.18年,1.18年,15.70%,16.80%,11.1,-0.36%,-1.16%,-0.52%,-8.40%,-8.75%,96.76,99.28,19.23,118.51,-2.50%,26%,12%,16%,0.68,0.96,0.44,AA,4.60%,100
11,洪涛转债,128013,2016-08-23,洪涛股份,2325,建筑,101.1,0.90%,-0.90%,3.86,0.00%,14,1.20%,9.98,1.31,-61.30%,38.68,161%,3.32年,1.32年,24.90%,9.60%,12,3.28%,2.57%,3.14%,1.14%,0.76%,94.32,92.92,2.68,95.6,5.80%,35%,49%,16%,0,-1.09,1.09,AA,6.00%,79
12,光大转债,113011,2017-07-18,光大银行,601818,金融,117.21,-0.09%,-0.06%,4.15,-0.24%,320,0.90%,4.13,0.76,0.50%,100.48,16.60%,3.96年,无权,13.80%,13.80%,300,-1.78%,-2.21%,-1.87%,无权,无权,无权,93.86,19.01,112.88,3.80%,18%,20%,16%,0.61,-0.14,1.35,AAA,4.00%,26
13,骆驼转债,113012,2017-07-18,骆驼股份,601311,汽车,116.15,0.63%,0.64%,14.21,1.72%,57,9.70%,13.44,2.16,5.70%,105.73,9.90%,3.98年,1.98年,4.20%,4.50%,5.1,-1.66%,-2.06%,-1.74%,-5.68%,-5.89%,93.34,91.55,23.77,115.31,0.70%,35%,20%,16%,0.74,0.35,1.13,AA,4.50%,21
14,永东转债,128014,2017-07-18,永东股份,2753,石油天然气化工,106.215,0.44%,-0.48%,11.59,-0.09%,12,3.50%,13.53,2.88,-14.30%,85.66,24.00%,4年14天,2年14天,8.70%,7.50%,3.4,1.58%,0.98%,1.46%,-1.18%,-1.48%,92.45,92.13,12.03,104.17,2.00%,60%,21%,17%,0.47,-0.31,1.26,AA-,5.30%,42
15,模塑转债,127004,2017-08-16,模塑科技,700,汽车,99.76,1.08%,-1.08%,3.99,0.00%,18,2.30%,7.72,1.37,-48.30%,51.68,93.00%,4.17年,2.17年,24.80%,12.80%,8.2,3.55%,2.87%,3.42%,1.61%,1.31%,90.69,91.08,1.83,92.9,7.40%,53%,38%,17%,0.05,-1.39,1.53,AA,5.90%,70
16,久其转债,128015,2017-07-18,久其软件,2279,计算机及应用,107.3,1.50%,-1.29%,9.43,0.75%,23,2.80%,12.86,3.41,-26.70%,73.33,46.30%,4.18年,2.18年,11.60%,8.50%,7.8,1.12%,0.57%,1.01%,-1.72%,-1.97%,91.11,90.41,6.85,97.26,10.30%,71%,34%,17%,0.28,-1.8,2.5,AA,5.40%,35
17,国君转债,113013,2017-07-24,国泰君安,601211,金融,121.61,0.02%,-0.45%,20.29,-0.69%,103,1.20%,19.8,1.57,2.50%,102.47,18.70%,4.26年,无权,4.00%,4.10%,70,-2.42%,-2.82%,-2.50%,无权,无权,无权,93.23,22.65,115.88,4.90%,26%,26%,17%,0.62,-0.32,1.57,AAA,4.00%,26
18,雨虹转债,128016,2017-10-20,东方雨虹,2271,建筑,120.1,0.50%,-1.58%,21.76,-1.81%,25,1.20%,22.63,4.34,-3.80%,96.16,24.90%,4.48年,2.48年,5.70%,5.40%,18.4,-1.91%,-2.33%,-2.00%,-5.66%,-5.87%,92.04,91.28,18.37,109.65,9.50%,51%,29%,16%,0.6,-1.31,2.62,AA+,4.40%,9
19,林洋转债,113014,2017-11-13,林洋能源,601222,能源电力,108.1,0.07%,-0.19%,5.99,-0.50%,14,0.40%,8.76,1.15,-31.60%,68.38,58.10%,4.57年,2.57年,28.40%,19.40%,30,0.55%,0.11%,0.46%,-1.66%,-1.89%,89.22,87,6.71,93.71,15.40%,83%,42%,16%,0.22,-2.66,3.43,AA,5.60%,19
20,金禾转债,128017,2017-11-27,金禾实业,2597,石油天然气化工,110,0.59%,-0.37%,18.6,0.54%,10,1.50%,23.32,2.76,-20.20%,79.76,37.90%,4.58年,2.58年,5.80%,4.60%,6,0.06%,-0.36%,-0.02%,-2.36%,-2.57%,89.8,87.91,11.26,99.16,10.90%,36%,34%,17%,0.41,-1.87,2.87,AA,5.20%,18
21,隆基转债,113015,2017-11-20,隆基股份,601012,能源电力,127.98,0.35%,-1.12%,28.02,-0.92%,22,0.60%,22.98,5.25,21.90%,121.93,5.00%,4.58年,2.58年,3.60%,4.40%,28,-3.24%,-3.64%,-3.32%,-7.63%,-7.81%,92.18,91.78,38.46,130.24,-1.70%,47%,<2%,16%,0.83,1.09,0.59,AA+,4.20%,11
22,小康转债,113016,2017-11-21,小康股份,601127,汽车,109.06,0.34%,-0.46%,16.78,-0.18%,5,0.50%,17.2,3.19,-2.40%,97.56,11.80%,4.60年,2.60年,5.60%,5.40%,8.8,0.35%,-0.09%,0.26%,-1.96%,-2.19%,91.13,90.16,20.55,110.71,-1.50%,40%,14%,16%,0.66,0.65,0.68,AA,4.70%,32
23,时达转债,128018,2017-12-04,新时达,2527,机械装备制造,109.949,1.17%,-0.94%,7.08,2.02%,9.7,1.00%,11.83,1.54,-40.20%,59.85,83.70%,4.60年,2.60年,20.00%,12.00%,8.8,0.17%,-0.26%,0.08%,-2.25%,-2.47%,88.56,86.03,4.98,91.01,20.80%,35%,53%,16%,0.11,-3.42,4.19,AA,5.80%,44
24,久立转2,128019,2017-12-01,久立特材,2318,石油天然气化工,118.25,-0.04%,-0.62%,8.63,-0.92%,31,2.50%,8.22,2.45,5.00%,104.99,12.60%,4.60年,2.60年,14.30%,15.00%,10.4,-1.53%,-1.93%,-1.61%,-4.88%,-5.08%,91.2,90.22,26.24,116.46,1.50%,34%,20%,17%,0.73,0.13,1.32,AA,4.50%,11
25,嘉澳转债,113502,2017-11-27,嘉澳环保,603822,城市公用设施,103.7,1.51%,-1.43%,30.9,0.29%,6.6,3.40%,45.27,3.2,-31.70%,68.26,51.90%,4.61年,2.61年,8.20%,5.60%,1.9,1.90%,1.37%,1.79%,-0.11%,-0.34%,88.39,87.27,6.64,93.91,10.40%,58%,33%,17%,0.25,-1.93,2.59,AA-,5.90%,40
26,济川转债,110038,2017-11-29,济川药业,600566,医药,115.1,0.18%,-0.55%,35.79,-0.72%,6.4,0.90%,40.04,5.86,-10.60%,89.39,28.80%,3.61年,1.61年,2.20%,1.90%,6.3,-1.56%,-2.01%,-1.65%,-6.80%,-6.96%,93.15,91.46,15.18,106.64,7.90%,36%,29%,15%,0.51,-1.27,2.37,AA,5.00%,12
