,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,105.14,-0.72%,0.72%,5.09,-2.68%,5.4,1.20%,6.94,1.4,-26.70%,73.34,43.40%,0.75年,回售中,4.10%,3.00%,4.3,1.09%,-0.43%,0.79%,回售中,回售中,103,101.47,0.4,101.87,3.20%,70%,50%,16%,0,-0.66,0.39,AA,6.00%,7
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,119.46,-2.18%,0.39%,5.89,-2.48%,46,0.60%,5.19,1.52,13.50%,113.49,5.30%,1.86年,回售中,6.90%,7.80%,59.9,-5.27%,-6.04%,-5.42%,回售中,回售中,103,100.56,18.2,118.75,0.60%,50%,21%,16%,0.72,0.65,0.8,AAA,4.00%,16
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,112.99,-0.89%,0.70%,27.6,-4.50%,19,0.70%,42.38,5.18,-34.90%,65.13,73.50%,2.21年,0.21年,4.70%,3.00%,24,-1.23%,-2.05%,-1.39%,-28.30%,-29.20%,100.26,101.02,0.51,101.53,11.30%,55%,55%,17%,0.04,-1.98,2.18,AAA,4.00%,7
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,128.68,-5.76%,0.92%,5.56,-5.60%,83,11.40%,4.31,1.93,29.00%,129,-0.20%,2.73年,0.73年,4.40%,5.70%,5.4,-5.25%,-5.95%,-5.39%,-23.60%,-23.90%,98.06,99.46,35.56,135.02,-4.70%,40%,<2%,17%,0.86,1.79,0.03,AA,4.30%,62
5,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,114.6,-2.05%,-0.30%,8.84,-3.91%,12,0.70%,8.61,1.3,2.70%,102.67,11.60%,2.78年,0.78年,9.10%,9.30%,14.6,-1.12%,-1.85%,-1.27%,-12.00%,-12.30%,97.64,98.74,14.26,112.99,1.40%,34%,18%,15%,0.6,0.23,0.97,AA+,4.40%,7
6,九州转债,110034,2016-01-29,九州通,600998,医药,110.98,-1.24%,0.68%,15.57,-2.08%,20,1.20%,18.42,1.98,-15.50%,84.53,31.30%,2.81年,0.81年,5.10%,4.30%,15,-0.19%,-0.87%,-0.32%,-6.65%,-7.35%,99.24,97.09,6.06,103.15,7.60%,26%,28%,15%,0.27,-1.19,1.78,AA+,4.70%,11
7,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,110.28,-1.32%,0.68%,11.44,-3.46%,11,0.40%,14.74,1.55,-22.40%,77.61,42.10%,2.83年,0.83年,2.20%,1.70%,25.5,-0.42%,-1.01%,-0.54%,-7.81%,-8.13%,97.88,97.72,2.74,100.45,9.80%,34%,34%,15%,0.18,-1.59,2.04,AAA,4.00%,11
8,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,103.99,-0.51%,0.51%,4.86,-3.57%,3.8,0.70%,9.28,1.8,-47.60%,52.37,98.60%,2.83年,0.83年,10.70%,5.60%,5.1,2.44%,1.69%,2.29%,-2.06%,-2.42%,96.16,94.55,2.07,96.62,7.60%,42%,48%,17%,0,-1.42,1.45,AA,6.00%,24
9,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,95.568,-0.57%,0.57%,2.81,-4.10%,14,1.80%,7.71,1.22,-63.60%,36.45,162%,3年25天,1年25天,19.90%,7.30%,8.5,3.70%,3.26%,3.61%,8.24%,7.33%,96.92,87,10.67,97.67,-2.20%,85%,<2%,17%,0,0.44,-0.41,A+,7.00%,80
10,海印转债,127003,2016-07-01,海印股份,861,商业零售,108.712,-0.75%,-0.35%,3,-2.91%,29,2.40%,3.5,2.08,-14.30%,85.71,26.80%,3.20年,1.20年,17.00%,14.60%,11.1,1.61%,0.79%,1.45%,-4.04%,-4.41%,95.92,97.39,7.69,105.09,3.50%,26%,22%,16%,0.38,-0.52,1.28,AA,5.20%,100
11,洪涛转债,128013,2016-08-23,洪涛股份,2325,建筑,98.6,-0.38%,0.38%,3.71,-4.38%,35,3.00%,9.98,1.26,-62.80%,37.17,165%,3.34年,1.34年,25.90%,9.60%,12,4.06%,3.34%,3.91%,2.83%,2.45%,94.22,92.82,2.36,95.18,3.60%,36%,44%,16%,0,-0.69,0.68,AA,6.00%,78
12,光大转债,113011,2017-07-18,光大银行,601818,金融,113.59,-0.59%,0.31%,4,-0.50%,215,0.60%,4.13,0.75,-3.10%,96.85,17.30%,3.98年,无权,14.30%,13.80%,300,-0.98%,-1.41%,-1.07%,无权,无权,无权,93.79,16.56,110.35,2.90%,18%,19%,16%,0.56,0.02,1.1,AAA,4.00%,25
13,骆驼转债,113012,2017-07-18,骆驼股份,601311,汽车,112.67,-2.90%,0.78%,14.2,-2.87%,51,8.70%,13.44,2.16,5.70%,105.65,6.60%,3.995年,1.995年,4.20%,4.50%,5.1,-0.89%,-1.29%,-0.97%,-4.28%,-4.50%,93.24,91.43,23.81,115.24,-2.20%,34%,15%,16%,0.74,0.97,0.52,AA,4.50%,16
14,永东转债,128014,2017-07-18,永东股份,2753,石油天然气化工,103,-2.37%,1.29%,10.54,-3.04%,5.1,1.40%,13.53,2.62,-22.10%,77.9,32.20%,4年21天,2年21天,9.60%,7.50%,3.4,2.36%,1.76%,2.24%,0.22%,-0.09%,91.79,91.02,8.7,99.72,3.30%,60%,26%,17%,0.35,-0.62,1.34,AA-,5.60%,44
15,模塑转债,127004,2017-08-16,模塑科技,700,汽车,96.342,-1.92%,1.72%,3.84,-4.95%,15,1.90%,7.72,1.32,-50.30%,49.74,93.70%,4.18年,2.18年,25.80%,12.80%,8.2,4.42%,3.73%,4.29%,3.13%,2.82%,90.55,90.91,1.66,92.57,4.10%,53%,36%,17%,0.04,-0.79,0.87,AA,5.90%,65
