,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,精测转债,123025,2019-04-19,精测电子,300567,电子,114.9,14.90%,0.00%,78.71,1.68%,318,74.60%,75.88,12.33,3.70%,103.73,10.80%,5.94年,3.94年,2.90%,3.00%,3.8,0.43%,-0.10%,0.32%,-2.39%,-2.58%,86.65,90.52,26.26,116.78,-1.60%,73%,16%,17%,0.75,0.5,0.99,AA-,4.60%,16
2,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,104.01,-0.37%,0.12%,15.23,-0.46%,134,20.40%,16.88,4.14,-9.80%,90.23,15.30%,5.93年,3.93年,10.30%,9.30%,6.3,2.78%,2.12%,2.65%,-0.02%,-0.21%,85.66,92.47,15.15,107.62,-3.40%,54%,13%,16%,0.56,0.72,0.43,AA,4.90%,19
3,中装转债,128060,2019-04-15,中装建设,2822,建筑,105.819,0.21%,0.96%,6.36,1.60%,67,12.10%,6.24,1.75,1.90%,101.92,3.80%,5.93年,3.93年,13.80%,14.00%,5.3,1.18%,0.77%,1.10%,-0.47%,-0.65%,86.71,87.54,26.45,113.99,-7.20%,68%,<2%,17%,0.73,1.86,-0.28,AA,4.50%,43
4,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,108.78,-0.02%,0.65%,26.47,0.84%,12,5.20%,24.9,3.78,6.30%,106.31,2.30%,4.92年,2.92年,9.60%,10.20%,2.1,0.86%,0.36%,0.76%,-2.03%,-2.16%,88.65,90.6,26.44,117.04,-7.10%,67%,<2%,18%,0.76,1.76,-0.14,A+,4.70%,24
5,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,110.478,0.53%,0.53%,8.1,1.38%,39,5.90%,7.39,1.98,9.60%,109.61,0.80%,5.91年,4.91年,20.40%,22.40%,6,0.74%,0.27%,0.64%,-0.89%,-1.10%,84.86,89.45,31.85,121.3,-8.90%,41%,<2%,18%,0.76,2.37,-0.65,AA,4.50%,37
6,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,115.22,1.06%,0.43%,22.9,2.10%,115,5.80%,21.79,3.45,5.10%,105.09,9.60%,5.91年,3.91年,4.00%,4.20%,17.3,-0.02%,-0.47%,-0.11%,-2.59%,-2.76%,87.42,90.18,26.33,116.51,-1.10%,45%,15%,16%,0.71,0.72,0.71,AA+,4.30%,25
7,通威转债,110054,2019-04-10,通威股份,600438,农业,126.6,3.05%,-1.38%,14.6,2.10%,54,0.90%,12.44,3.17,17.40%,117.36,7.90%,5.91年,3.91年,8.80%,10.40%,50,-1.56%,-2.01%,-1.65%,-4.74%,-4.91%,88.19,91.09,35.89,126.98,-0.30%,62%,17%,16%,0.8,0.69,0.91,AA+,4.20%,13
8,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,113.5,0.89%,2.29%,6.47,4.35%,54,3.90%,6.38,3.1,1.40%,101.41,11.90%,5.91年,3.91年,8.30%,8.40%,12.3,0.27%,-0.19%,0.18%,-2.19%,-2.36%,86.78,89.14,24.25,113.39,0.10%,79%,18%,16%,0.73,0.26,1.2,AA,4.50%,6
9,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,123.17,0.09%,-1.63%,20.72,-1.85%,25,2.30%,17.6,3.3,17.70%,117.73,4.60%,5.90年,3.90年,9.60%,11.30%,8.8,-1.10%,-1.56%,-1.20%,-4.12%,-4.29%,87.7,90.39,36.61,127,-3.00%,42%,12%,16%,0.83,1.15,0.55,AA,4.30%,15
10,苏银转债,110053,2019-04-03,江苏银行,600919,金融,108.55,-0.16%,0.09%,7.41,-0.13%,319,1.50%,7.9,0.92,-6.20%,93.8,15.70%,5.90年,无权,23.40%,21.90%,200,1.65%,1.07%,1.54%,无权,无权,无权,95.21,18.8,114.01,-4.80%,25%,13%,18%,0.51,1.56,-0.43,AAA,4.00%,45
11,浙商转债,113022,2019-03-28,浙商证券,601878,金融,111.9,0.74%,-0.21%,11.37,0.98%,46,1.20%,12.53,3.06,-9.30%,90.74,23.30%,5.89年,无权,9.20%,8.40%,35,-0.30%,-0.61%,-0.36%,无权,无权,无权,87.65,19.03,106.68,4.90%,50%,26%,18%,0.54,-0.38,1.48,AAA,4.00%,25
12,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,122.1,-0.93%,-0.25%,46.3,-1.47%,13,1.00%,40.52,5.49,14.30%,114.26,6.90%,5.89年,3.89年,5.30%,6.00%,10,-0.54%,-1.08%,-0.65%,-3.96%,-4.13%,87.33,92.24,32.21,124.45,-1.90%,46%,14%,16%,0.8,0.84,0.77,AA,4.40%,16
13,视源转债,128059,2019-04-02,视源股份,2841,电子,114.6,0.27%,-0.27%,73.2,0.00%,6,0.60%,76.25,14.69,-4.00%,96,19.40%,5.89年,3.89年,2.00%,1.90%,9.4,-0.05%,-0.48%,-0.13%,-2.43%,-2.61%,86.54,87.99,20.92,108.91,5.20%,56%,24%,16%,0.68,-0.78,2.2,AA,4.60%,15
14,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,118.4,-0.42%,0.42%,13.09,0.00%,7.5,0.50%,11.99,1.77,9.20%,109.17,8.50%,5.88年,3.88年,7.50%,8.20%,12,-0.40%,-0.87%,-0.49%,-3.18%,-3.36%,88,90.92,30.02,120.94,-2.10%,42%,15%,17%,0.73,0.99,0.49,AA+,4.30%,15
15,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,121.9,1.33%,0.63%,6.84,2.40%,81,11.60%,5.64,2.59,21.30%,121.28,0.50%,5.88年,3.88年,8.20%,10.00%,5.7,0.16%,-0.50%,0.02%,-3.68%,-3.90%,88.44,96.22,36.25,132.47,-8.00%,59%,<2%,16%,0.82,2.24,-0.45,AA,4.40%,42
