,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N核建转,113024,2019-04-26,中国核建,601611,建筑,103,3.00%,0.00%,8.75,-1.02%,"1,107",35.90%,9.93,3.08,-11.90%,88.12,16.90%,5.95年,3.95年,13.00%,11.50%,30,1.11%,0.80%,1.05%,0.09%,-0.07%,88.09,87.36,16.03,103.39,-0.40%,42%,12%,16%,0.53,0.63,0.44,AAA,4.00%,38
2,未来转债,128063,2019-04-24,德尔未来,2631,其他,111.97,0.24%,-6.20%,9.87,-7.84%,122,17.50%,8.74,3.47,12.90%,112.93,-0.80%,5.94年,4.94年,9.60%,10.80%,6.3,2.43%,1.62%,2.27%,-0.47%,-0.81%,87.34,99.19,28.54,127.73,-12.30%,52%,<2%,16%,0.76,3.05,-1.2,AA-,4.60%,50
3,参林转债,113533,2019-04-24,大参林,603233,医药,105.7,-0.56%,0.53%,44.79,-0.04%,48,4.60%,48.05,6.33,-6.80%,93.22,13.40%,5.94年,3.94年,5.60%,5.20%,10,1.18%,0.77%,1.10%,-0.47%,-0.64%,86.12,86.73,19.7,106.43,-0.70%,46%,17%,16%,0.66,0.32,1,AA,4.70%,45
4,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,101.88,-1.20%,-0.98%,7.35,-3.29%,13,2.80%,7.8,2.26,-5.80%,94.23,8.10%,5.93年,3.93年,13.90%,13.10%,4.6,1.84%,1.42%,1.76%,0.46%,0.28%,86.24,86.85,21.15,108,-5.70%,50%,8%,17%,0.66,1.42,-0.02,AA,4.70%,29
5,亚药转债,128062,2019-04-24,亚太药业,2370,医药,104.98,-0.56%,-3.03%,16.29,-5.29%,65,6.40%,16.3,3.54,-0.10%,99.94,5.00%,5.93年,3.93年,11.00%,11.00%,9.7,2.33%,1.73%,2.21%,-0.32%,-0.49%,86.14,92.15,21.34,113.49,-7.50%,58%,<2%,16%,0.68,1.82,-0.34,AA,4.60%,62
6,百姓转债,113531,2019-04-22,老百姓,603883,医药,105.81,-0.37%,0.27%,55,-0.16%,8.2,2.40%,60.59,5.88,-9.20%,90.77,16.60%,4.92年,2.92年,2.10%,1.90%,3.3,1.28%,0.81%,1.19%,-1.28%,-1.39%,87.94,89.45,14.34,103.79,1.90%,37%,20%,16%,0.58,-0.21,1.38,AA,4.80%,26
7,精测转债,123025,2019-04-19,精测电子,300567,电子,110.12,-0.80%,-0.58%,75.5,-1.95%,8.3,2.00%,75.88,10.04,-0.50%,99.5,10.70%,5.92年,3.92年,3.00%,3.00%,3.8,1.17%,0.63%,1.06%,-1.37%,-1.56%,86.39,90.09,23.25,113.34,-2.80%,73%,13%,17%,0.71,0.72,0.7,AA-,4.70%,17
8,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,109.401,-0.18%,-1.08%,27.91,-1.86%,34,3.00%,28.33,7.08,-1.50%,98.52,11.00%,5.92年,3.92年,4.20%,4.10%,10.5,1.35%,0.81%,1.24%,-1.29%,-1.47%,86.4,90.89,21.13,112.01,-2.30%,44%,12%,16%,0.68,0.67,0.69,AA,4.60%,21
9,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,100.02,0.02%,0.46%,14.08,1.00%,17,2.60%,16.88,4.14,-16.60%,83.41,19.90%,5.92年,3.92年,11.10%,9.30%,6.3,3.48%,2.82%,3.35%,0.95%,0.76%,85.18,91.7,11.41,103.11,-3.00%,54%,14%,16%,0.48,0.59,0.39,AA,5.00%,29
10,中装转债,128060,2019-04-15,中装建设,2822,建筑,101.4,-0.62%,-0.27%,5.9,-1.34%,18,3.40%,6.24,1.75,-5.40%,94.55,7.20%,5.91年,3.91年,14.80%,14.00%,5.3,1.93%,1.51%,1.85%,0.58%,0.40%,86.33,86.95,21.29,108.24,-6.30%,68%,9%,17%,0.67,1.58,-0.15,AA,4.70%,64
