,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N鼎胜转,113534,2019-04-30,鼎胜新材,603876,有色金属,96.65,-3.35%,0.00%,16.76,0.66%,272,22.40%,20.8,2.6,-19.40%,80.58,19.90%,5月16天,5.94年,3.94年,17.40%,14.00%,12.5,3.07%,2.59%,2.97%,1.77%,1.58%,85.14,86.79,11.68,98.48,-1.90%,61%,20%,16%,0.5,0.35,0.66,AA,5.00%,30
2,核建转债,113024,2019-04-26,中国核建,601611,建筑,104,0.62%,0.05%,8.89,1.25%,151,4.90%,9.93,2.92,-10.50%,89.53,16.20%,5月15天,5.94年,3.94年,12.80%,11.50%,30,0.95%,0.63%,0.89%,-0.14%,-0.30%,88.13,87.4,16.91,104.31,-0.30%,42%,17%,16%,0.54,0.61,0.48,AAA,4.00%,40
3,未来转债,128063,2019-04-24,德尔未来,2631,其他,103.6,-0.38%,-0.79%,8.72,-1.80%,77,11.70%,8.74,3.47,-0.20%,99.77,3.80%,5月12天,5.92年,4.92年,10.80%,10.80%,6.3,3.83%,3.00%,3.66%,1.09%,0.74%,86.27,97.78,19.78,117.56,-11.90%,52%,<2%,16%,0.65,2.69,-1.11,AA-,4.90%,50
4,参林转债,113533,2019-04-24,大参林,603233,医药,110.21,3.37%,-1.93%,47.9,1.98%,41,3.70%,48.05,6.33,-0.30%,99.69,10.60%,5月11天,5.92年,3.92年,5.20%,5.20%,10,0.46%,0.05%,0.38%,-1.49%,-1.66%,86.6,87.41,23.97,111.38,-1.10%,46%,13%,16%,0.73,0.51,0.94,AA,4.50%,49
5,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,101.51,0.52%,1.68%,7.24,3.43%,5.7,1.20%,7.8,2.26,-7.20%,92.82,9.40%,5月10天,5.92年,3.92年,14.10%,13.10%,4.6,1.91%,1.49%,1.82%,0.55%,0.37%,86.15,86.71,20.26,106.97,-5.10%,50%,13%,17%,0.64,1.26,0.08,AA,4.70%,30
6,亚药转债,128062,2019-04-24,亚太药业,2370,医药,106.021,2.14%,4.80%,18.2,8.98%,200,19.70%,16.3,3.4,11.70%,111.66,-5.00%,5月9天,5.92年,3.92年,9.90%,11.00%,9.7,2.16%,1.56%,2.04%,-0.57%,-0.74%,86.82,93.17,29.46,122.63,-13.50%,58%,<2%,16%,0.77,3.56,-1.56,AA,4.50%,56
7,N现代转,110057,2019-04-30,现代制药,600420,医药,106.39,6.39%,0.00%,10.03,1.83%,"1,235",72.70%,10.09,1.52,-0.60%,99.41,7.00%,5月9天,5.92年,3.92年,15.30%,15.20%,16.2,0.73%,0.38%,0.66%,-0.68%,-0.84%,88.28,88.35,23.16,111.52,-4.60%,48%,<2%,16%,0.65,1.66,-0.26,AAA,4.00%,24
8,百姓转债,113531,2019-04-22,老百姓,603883,医药,109.75,1.81%,0.81%,58.06,4.05%,18,5.10%,60.59,5.34,-4.20%,95.82,14.50%,5月8天,4.91年,2.91年,2.00%,1.90%,3.3,0.53%,0.06%,0.43%,-2.46%,-2.56%,88.3,90.01,17.37,107.38,2.20%,37%,21%,16%,0.65,-0.21,1.51,AA,4.70%,26
9,精测转债,123025,2019-04-19,精测电子,300567,电子,110.179,-0.40%,1.64%,75.5,1.75%,10,2.40%,75.88,10.04,-0.50%,99.5,10.70%,5月9天,5.91年,3.91年,3.00%,3.00%,3.8,1.16%,0.62%,1.05%,-1.39%,-1.58%,86.43,90.13,23.21,113.35,-2.80%,73%,16%,17%,0.71,0.71,0.71,AA-,4.70%,19
10,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,108.63,-0.34%,-0.78%,26.27,-1.79%,41,3.60%,28.33,7.16,-7.30%,92.73,17.10%,5月9天,5.91年,3.91年,4.40%,4.10%,10.5,1.48%,0.93%,1.37%,-1.12%,-1.30%,86.07,90.37,17.43,107.8,0.80%,43%,17%,16%,0.62,-0.05,1.29,AA,4.80%,29
11,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,98.73,-0.18%,0.61%,13.7,0.96%,11,1.70%,16.88,3.83,-18.80%,81.16,21.60%,5月3天,5.91年,3.91年,11.40%,9.30%,6.3,3.72%,3.05%,3.59%,1.28%,1.09%,85.02,91.42,10.41,101.83,-3.00%,54%,14%,16%,0.45,0.55,0.36,AA,5.10%,27
12,中装转债,128060,2019-04-15,中装建设,2822,建筑,100.821,0.32%,1.50%,5.75,2.86%,13,2.50%,6.24,1.7,-7.90%,92.15,9.40%,5月9天,5.90年,3.90年,15.20%,14.00%,5.3,2.03%,1.61%,1.95%,0.73%,0.54%,86.17,86.71,19.79,106.5,-5.30%,68%,13%,17%,0.64,1.3,0.04,AA,4.70%,64
13,N招路转,127012,2019-04-30,招商公路,1965,机场高速港口,100,0.00%,0.00%,8.36,0.72%,"1,648",33.10%,9.34,1.27,-10.50%,89.51,11.70%,5月1天,5.89年,3.89年,9.70%,8.70%,50,1.38%,1.11%,1.32%,0.50%,0.40%,87.1,86.16,15.97,102.13,-2.10%,37%,14%,15%,0.55,1.01,0.13,AAA,4.00%,49
14,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,100.4,-0.59%,1.63%,21.78,1.82%,2.5,1.20%,24.9,3.86,-12.50%,87.47,14.80%,4月28天,4.89年,2.89年,11.70%,10.20%,2.1,2.55%,2.04%,2.45%,0.57%,0.43%,87.33,88.39,14.58,102.96,-2.50%,67%,18%,18%,0.57,0.48,0.67,A+,5.30%,19
