,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,格力地产,600185,地产,104.52,-0.19%,0.19%,4.92,0.00%,6.8,1.50%,6.94,1.35,-29.10%,47.40%,0.78年,回售中,4.20%,3.00%,4.3,1.81%,0.34%,1.52%,回售中,回售中,103,70.89,101.26,1.15,102.41,2.10%,70%,50%,16%,0,-0.56,0.28,AA,6.00%,2
2,电气转债,113008,上海电气,601727,能源电力,119.39,-1.33%,-0.37%,6.03,-2.27%,83,1.10%,5.19,1.56,16.20%,2.80%,1.89年,回售中,6.70%,7.80%,59.9,-5.15%,-5.90%,-5.30%,回售中,回售中,103,116.18,100.42,20.54,120.96,-1.30%,50%,14%,16%,0.75,1.06,0.47,AAA,4.00%,15
3,航信转债,110031,航天信息,600271,计算机及应用,114.85,-2.50%,2.22%,28.9,-4.37%,11,0.40%,42.38,5.42,-31.80%,68.40%,2.25年,0.25年,4.50%,3.00%,24,-1.93%,-2.73%,-2.09%,-29.60%,-30.30%,100.12,68.19,100.88,0.8,101.68,13.00%,56%,56%,17%,0.07,-2.22,2.52,AAA,4.00%,8
4,蓝标转债,123001,蓝色光标,300058,传媒娱乐,133.884,-2.21%,-0.48%,5.81,-3.01%,126,12.50%,4.31,2.01,34.80%,-0.70%,2.77年,0.77年,5.90%,8.00%,7.5,-6.55%,-7.23%,-6.69%,-26.00%,-26.20%,97.97,134.8,99.48,40.78,140.26,-4.50%,39%,17%,17%,0.9,1.8,0.07,AA,4.20%,73
5,三一转债!,110032,三一重工,600031,机械装备制造,160,-0.51%,-1.57%,11.51,-2.13%,97,5.40%,7.25,3,58.80%,0.80%,2.81年,0.81年,1.20%,1.90%,11.1,-12.70%,-13.20%,-12.80%,-35.60%,-36.10%,100.55,158.76,97.8,64.55,162.35,-1.40%,29%,<2%,17%,0.98,1.29,0.69,AA+,4.00%,8
6,国贸转债,110033,厦门国贸,600755,交通运输,112.16,-0.68%,-0.14%,8.45,-1.52%,39,2.40%,8.61,1.25,-1.90%,14.30%,2.81年,0.81年,9.50%,9.30%,14.6,-0.34%,-1.06%,-0.49%,-9.53%,-9.83%,97.43,98.14,98.44,11.65,110.09,1.90%,34%,18%,15%,0.54,0.07,1.01,AA+,4.50%,4
7,九州转债,110034,九州通,600998,医药,109.74,-1.66%,1.16%,16,-1.54%,3.9,0.20%,18.42,2.04,-13.10%,26.30%,2.84年,0.84年,5.00%,4.30%,15,0.21%,-0.46%,0.08%,-5.37%,-6.06%,99.13,86.86,97.07,6.89,103.96,5.60%,28%,25%,15%,0.32,-0.78,1.45,AA+,4.70%,4
8,广汽转债,113009,广汽集团,601238,汽车,111.2,0.00%,-0.37%,11.75,-1.67%,11,0.40%,14.74,1.59,-20.30%,39.50%,2.86年,0.86年,2.10%,1.70%,25.5,-0.71%,-1.29%,-0.82%,-8.30%,-8.60%,97.74,79.72,97.58,3.29,100.88,10.20%,34%,33%,15%,0.22,-1.62,2.15,AAA,4.00%,6
9,顺昌转债,128010,澳洋顺昌,2245,交通运输,103.024,-0.94%,0.91%,5.33,-3.44%,6.5,1.20%,9.28,1.98,-42.60%,79.40%,2.86年,0.86年,9.80%,5.60%,5.1,2.75%,2.00%,2.60%,-1.10%,-1.45%,95.98,57.44,94.41,1.86,96.27,7.00%,43%,43%,17%,0.01,-1.29,1.34,AA,6.00%,17
10,辉丰转债,128012,辉丰股份,2496,石油天然气化工,95.759,-0.02%,0.02%,2.88,-3.68%,14,1.80%,7.71,1.25,-62.60%,156%,3年38天,1年38天,19.50%,7.30%,8.5,3.59%,3.15%,3.50%,7.82%,6.95%,96.69,37.35,86.79,10.79,97.58,-1.90%,86%,<2%,17%,0,0.38,-0.36,A+,7.00%,77
11,海印转债,127003,海印股份,861,商业零售,103.841,-0.60%,-0.14%,2.99,-1.97%,41,3.60%,3.5,2.07,-14.60%,21.60%,3.24年,1.24年,17.00%,14.60%,11.1,3.07%,2.24%,2.91%,-0.72%,-1.11%,95.74,85.43,97.21,7.68,104.89,-1.00%,26%,13%,16%,0.38,0.35,0.42,AA,5.20%,96
12,洪涛转债,128013,洪涛股份,2325,建筑,96.954,-0.22%,0.22%,3.86,-3.74%,18,1.50%,9.98,1.31,-61.30%,151%,3.38年,1.38年,24.90%,9.60%,12,4.54%,3.83%,4.40%,3.90%,3.52%,94.02,38.68,92.63,2.47,95.1,2.00%,36%,36%,16%,0,-0.38,0.37,AA,6.00%,75
13,光大转债,113011,光大银行,601818,金融,113.77,-0.81%,0.52%,4.16,-0.48%,522,1.50%,4.13,0.78,0.70%,12.90%,4年3天,无权,13.70%,13.80%,300,-0.90%,-1.35%,-0.99%,无权,无权,无权,100.73,94.16,19.87,114.03,-0.20%,18%,17%,16%,0.61,0.67,0.56,AAA,4.00%,25
