,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,格力地产,600185,地产,104.4,0.37%,-0.37%,4.83,2.55%,6.4,1.40%,6.94,1.33,-30.40%,50.00%,0.79年,回售中,4.30%,3.00%,4.3,1.95%,0.49%,1.65%,回售中,回售中,103,69.6,101.24,1.76,103,1.40%,70%,50%,16%,0,-0.51,0.26,AA,6.00%,2
2,电气转债,113008,上海电气,601727,能源电力,121.47,4.39%,3.52%,6.19,9.95%,443,6.20%,5.19,1.6,19.30%,1.80%,1.90年,回售中,6.60%,7.80%,59.9,-6.00%,-6.74%,-6.15%,回售中,回售中,103,119.27,100.4,23.06,123.46,-1.60%,50%,20%,16%,0.8,1.17,0.45,AAA,4.00%,15
3,航信转债,110031,航天信息,600271,计算机及应用,117.1,1.83%,-1.64%,29.7,2.41%,13,0.50%,42.38,5.57,-29.90%,67.10%,2.25年,0.25年,4.30%,3.00%,24,-2.78%,-3.57%,-2.94%,-33.50%,-34.20%,100.1,70.08,100.86,1,101.86,15.00%,56%,56%,17%,0.08,-2.52,2.91,AAA,4.00%,9
4,蓝标转债,123001,蓝色光标,300058,传媒娱乐,139.4,13.70%,-4.75%,5.82,10.00%,451,39.10%,4.31,2.02,35.00%,3.20%,2.77年,0.77年,6.80%,9.20%,8.7,-7.91%,-8.57%,-8.04%,-29.10%,-29.30%,97.96,135.03,99.47,41.01,140.47,-0.80%,39%,<2%,17%,0.9,0.97,0.83,AA,4.20%,70
5,三一转债!,110032,三一重工,600031,机械装备制造,154,1.63%,-0.75%,11.18,0.90%,166,8.40%,7.25,2.91,54.20%,-0.10%,2.82年,0.82年,1.40%,2.20%,13,-11.50%,-12.00%,-11.60%,-32.80%,-33.40%,100.53,154.21,97.78,60.02,157.8,-2.40%,29%,<2%,17%,0.98,1.49,0.5,AA+,4.00%,9
6,国贸转债,110033,厦门国贸,600755,交通运输,111.93,0.84%,2.08%,8.59,5.14%,44,2.70%,8.61,1.27,-0.20%,12.20%,2.82年,0.82年,9.40%,9.30%,14.6,-0.27%,-0.99%,-0.41%,-9.30%,-9.60%,97.44,99.77,98.48,12.57,111.05,0.80%,34%,21%,15%,0.57,0.33,0.81,AA+,4.40%,4
7,九州转债,110034,九州通,600998,医药,109.62,1.77%,-0.02%,16.18,5.20%,23,1.40%,18.42,2.06,-12.20%,24.80%,2.85年,0.85年,4.90%,4.30%,15,0.25%,-0.42%,0.12%,-5.25%,-5.93%,99.12,87.84,97.09,7.32,104.41,5.00%,28%,26%,15%,0.34,-0.67,1.36,AA+,4.70%,4
8,广汽转债,113009,广汽集团,601238,汽车,110.01,0.68%,-0.42%,11.95,1.10%,22,0.80%,14.74,1.62,-18.90%,35.70%,2.87年,0.87年,2.10%,1.70%,25.5,-0.33%,-0.91%,-0.44%,-7.30%,-7.60%,97.72,81.07,97.56,3.76,101.32,8.60%,34%,32%,15%,0.24,-1.33,1.86,AAA,4.00%,9
9,顺昌转债,128010,澳洋顺昌,2245,交通运输,103.1,0.66%,-0.57%,5.53,7.59%,4.3,0.80%,9.28,2.05,-40.40%,73.00%,2.87年,0.87年,9.40%,5.60%,5.1,2.71%,1.97%,2.57%,-1.16%,-1.51%,95.96,59.59,94.4,1.94,96.34,7.00%,43%,43%,17%,0.01,-1.3,1.35,AA,6.00%,15
10,辉丰转债,128012,辉丰股份,2496,石油天然气化工,95.212,0.75%,-0.75%,3,2.04%,21,2.60%,7.71,1.3,-61.10%,145%,3年40天,1年40天,18.70%,7.30%,8.5,3.78%,3.34%,3.69%,8.28%,7.40%,96.66,38.91,86.77,10.8,97.57,-2.40%,86%,<2%,17%,0,0.49,-0.46,A+,7.00%,79
11,海印转债,127003,海印股份,861,商业零售,102.73,0.81%,0.54%,3.04,3.40%,37,3.20%,3.5,2.1,-13.10%,18.30%,3.24年,1.24年,16.80%,14.60%,11.1,3.42%,2.59%,3.25%,0.05%,-0.34%,95.77,86.86,97.3,8.3,105.61,-2.70%,26%,14%,16%,0.4,0.73,0.1,AA,5.20%,89
12,洪涛转债,128013,洪涛股份,2325,建筑,96.763,1.54%,-1.54%,3.95,4.77%,18,1.50%,9.98,1.34,-60.40%,144%,3.38年,1.38年,24.30%,9.60%,12,4.60%,3.89%,4.46%,4.02%,3.64%,94,39.58,92.6,2.48,95.08,1.80%,36%,36%,16%,0,-0.35,0.33,AA,6.00%,74
13,光大转债,113011,光大银行,601818,金融,113.87,-0.10%,0.10%,4.17,0.00%,411,1.20%,4.13,0.78,1.00%,12.80%,4年5天,无权,13.70%,13.80%,300,-0.92%,-1.37%,-1.01%,无权,无权,无权,100.97,94.14,20.05,114.19,-0.30%,18%,17%,16%,0.61,0.69,0.55,AAA,4.00%,23
14,骆驼转债,113012,骆驼股份,601311,汽车,113.01,-4.91%,8.76%,15.36,4.77%,540,64.20%,13.44,2.34,14.30%,-1.10%,4年12天,2年12天,5.50%,6.30%,7.2,-0.84%,-1.27%,-0.93%,-4.15%,-4.40%,93.86,114.29,92.27,31.03,123.3,-8.30%,33%,18%,16%,0.81,2.49,-0.67,AA,4.40%,19
15,永东转债,128014,永东股份,2753,石油天然气化工,102.402,1.77%,-0.70%,10.52,3.04%,4.6,1.30%,13.53,2.61,-22.20%,31.70%,4年36天,2年36天,9.60%,7.50%,3.4,2.49%,1.89%,2.37%,0.48%,0.17%,91.59,77.75,90.82,8.77,99.58,2.80%,60%,22%,17%,0.35,-0.53,1.25,AA-,5.60%,30
16,模塑转债,127004,模塑科技,700,汽车,95.5,2.68%,-2.48%,3.85,4.62%,31,3.90%,7.72,1.32,-50.10%,91.50%,4.22年,2.22年,25.70%,12.80%,8.2,4.60%,3.92%,4.46%,3.46%,3.16%,90.35,49.87,90.71,1.69,92.4,3.40%,54%,26%,17%,0.04,-0.66,0.73,AA,5.90%,53
17,久其转债,128015,久其软件,2279,计算机及应用,108,1.12%,-0.23%,9.47,3.16%,20,2.30%,12.86,3.42,-26.40%,46.70%,4.24年,2.24年,11.60%,8.50%,7.8,0.94%,0.41%,0.84%,-1.95%,-2.19%,90.83,73.64,90.13,7.16,97.29,11.00%,71%,37%,17%,0.28,-1.92,2.64,AA,5.40%,34
18,国君转债,113013,国泰君安,601211,金融,119.81,1.78%,-1.09%,20.23,1.10%,319,3.90%,19.8,1.57,2.20%,17.30%,4.32年,无权,4.00%,4.10%,70,-2.04%,-2.44%,-2.12%,无权,无权,无权,102.17,93.02,22.64,115.66,3.60%,26%,22%,17%,0.62,-0.06,1.31,AAA,4.00%,30
19,雨虹转债,128016,东方雨虹,2271,建筑,109.88,0.92%,0.85%,19.52,3.77%,20,1.00%,22.63,3.98,-13.70%,27.40%,4.54年,2.54年,6.30%,5.40%,18.4,0.09%,-0.34%,0.00%,-2.36%,-2.57%,91.49,86.26,90.54,12.78,103.32,6.40%,50%,27%,16%,0.47,-0.89,1.86,AA+,4.50%,6
