,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,126.55,-0.45%,0.25%,20.95,-0.24%,74,6.70%,17.6,3.92,19.00%,119.03,6.30%,5.93年,3.93年,9.50%,11.30%,8.8,-1.56%,-2.01%,-1.65%,-4.72%,-4.89%,87.62,90.33,37.78,128.11,-1.20%,42%,16%,16%,0.84,0.79,0.9,AA,4.30%,18
2,苏银转债,110053,2019-04-03,江苏银行,600919,金融,109.71,-0.26%,-0.35%,7.33,-1.21%,568,2.60%,7.9,0.85,-7.20%,92.78,18.20%,5.93年,无权,23.60%,21.90%,200,1.46%,0.88%,1.34%,无权,无权,无权,95.08,18.26,113.34,-3.20%,25%,14%,18%,0.5,1.19,-0.12,AAA,4.00%,31
3,浙商转债,113022,2019-03-28,浙商证券,601878,金融,115.06,-0.61%,0.87%,11.95,0.42%,81,2.00%,12.53,2.92,-4.60%,95.37,20.60%,5.92年,无权,8.80%,8.40%,35,-0.77%,-1.08%,-0.83%,无权,无权,无权,87.54,22.3,109.84,4.80%,50%,27%,18%,0.6,-0.3,1.51,AAA,4.00%,28
4,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,125.4,0.27%,1.69%,47.41,2.40%,57,4.50%,40.52,6.77,17.00%,117,7.20%,5.92年,3.92年,5.10%,6.00%,10,-1.00%,-1.52%,-1.10%,-4.56%,-4.72%,87.33,92.3,34.5,126.8,-1.10%,46%,18%,16%,0.82,0.7,0.94,AA,4.40%,15
5,视源转债,128059,2019-04-02,视源股份,2841,电子,119.033,-0.32%,0.15%,76.8,-0.23%,27,2.40%,76.25,14.8,0.70%,100.72,18.20%,5.92年,3.92年,1.90%,1.90%,9.4,-0.69%,-1.12%,-0.78%,-3.32%,-3.49%,86.73,88.32,24.25,112.57,5.70%,56%,26%,16%,0.73,-0.81,2.33,AA,4.50%,15
6,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,119.35,-0.87%,-0.22%,12.71,-1.55%,33,2.30%,11.99,1.87,6.00%,106.01,12.60%,5.91年,3.91年,7.70%,8.20%,12,-0.53%,-1.00%,-0.63%,-3.34%,-3.52%,87.79,90.67,27.84,118.51,0.70%,44%,19%,17%,0.7,0.34,1.06,AA+,4.30%,11
7,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,117.66,-1.13%,0.65%,6.2,-0.64%,92,13.50%,5.64,3.01,9.90%,109.93,7.00%,5.91年,3.91年,9.10%,10.00%,5.7,0.77%,0.11%,0.64%,-2.80%,-3.02%,87.83,95.33,27.78,123.11,-4.40%,59%,11%,16%,0.75,1.24,0.29,AA,4.50%,41
8,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,113.9,0.28%,0.46%,9.88,0.92%,22,3.30%,8.9,2.14,11.00%,111.01,2.60%,5.91年,3.91年,11.10%,12.30%,5.8,0.55%,0.03%,0.45%,-2.21%,-2.40%,87.23,91.21,30.48,121.69,-6.40%,74%,<2%,16%,0.8,1.74,-0.04,AA-,4.50%,39
9,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,125.95,1.11%,1.41%,10.91,2.92%,160,8.00%,8.13,2.64,34.20%,134.19,-6.10%,5.91年,3.91年,14.10%,18.90%,16,-0.98%,-1.52%,-1.08%,-4.57%,-4.75%,88.62,94.12,48.44,142.56,-11.70%,41%,<2%,16%,0.86,3.47,-1.34,AA+,4.10%,34
10,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,127.35,-2.19%,-0.57%,17.25,-3.20%,24,1.50%,13.62,5.38,26.70%,126.65,0.60%,5.90年,3.90年,6.30%,8.00%,12,-1.26%,-1.79%,-1.37%,-4.94%,-5.11%,87.69,92.82,42.22,135.04,-5.70%,52%,<2%,16%,0.86,1.85,-0.03,AA,4.30%,16
