,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,格力转债,110030,2015-01-13,格力地产,600185,地产,104.39,0.11%,-0.11%,4.95,3.99%,5.2,1.20%,6.94,1.36,-28.70%,46.40%,0.77年,回售中,4.20%,3.00%,4.3,2.00%,0.51%,1.70%,回售中,回售中,103,71.33,101.33,1.1,102.43,1.90%,70%,48%,16%,0,-0.53,0.26,AA,6.00%,4
2,电气转债,113008,2015-02-16,上海电气,601727,能源电力,120.88,2.10%,-0.06%,6.02,2.73%,226,3.10%,5.19,1.56,16.00%,4.20%,1.88年,回售中,6.80%,7.80%,59.9,-5.80%,-6.55%,-5.95%,回售中,回售中,103,115.99,100.46,20.34,120.8,0.10%,50%,18%,16%,0.75,0.77,0.73,AAA,4.00%,16
3,航信转债,110031,2015-06-30,航天信息,600271,计算机及应用,111.88,1.52%,-1.56%,27.74,-0.86%,28,1.00%,42.38,5.21,-34.50%,70.90%,2.24年,0.24年,4.60%,3.00%,24,-0.77%,-1.59%,-0.93%,-24.20%,-25.00%,100.16,65.46,100.92,0.56,101.48,10.20%,56%,53%,17%,0.04,-1.81,1.99,AAA,4.00%,6
4,蓝标转债,123001,2016-01-18,蓝色光标,300058,传媒娱乐,132.29,3.51%,0.03%,5.73,3.99%,200,25.00%,4.31,1.99,32.90%,-0.50%,2.75年,0.75年,4.80%,6.40%,6.1,-6.16%,-6.85%,-6.30%,-25.30%,-25.60%,98,132.95,99.49,39.1,138.59,-4.50%,40%,<2%,17%,0.89,1.79,0.07,AA,4.20%,72
5,三一转债!,110032,2016-01-18,三一重工,600031,机械装备制造,169.84,6.25%,-0.21%,12.38,6.17%,313,22.90%,7.25,3.22,70.80%,-0.50%,2.80年,0.80年,0.80%,1.40%,8.3,-10.00%,-10.30%,-10.10%,-40.00%,-40.50%,100.6,170.76,97.85,76.5,174.35,-2.60%,29%,<2%,17%,0.98,1.54,0.46,AA+,4.00%,8
6,国贸转债,110033,2016-01-19,厦门国贸,600755,交通运输,111.78,0.57%,0.10%,8.6,1.18%,25,1.50%,8.61,1.27,-0.10%,11.90%,2.80年,0.80年,9.40%,9.30%,14.6,-0.22%,-0.94%,-0.36%,-9.32%,-9.62%,97.5,99.88,98.55,12.58,111.13,0.60%,34%,17%,15%,0.57,0.37,0.77,AA+,4.40%,8
7,九州转债,110034,2016-01-29,九州通,600998,医药,109.38,-0.33%,-0.08%,16.28,-1.15%,4.8,0.30%,18.42,2.07,-11.60%,23.80%,2.83年,0.83年,4.90%,4.30%,15,0.33%,-0.35%,0.20%,-5.12%,-5.81%,99.21,88.38,97.2,7.51,104.71,4.50%,27%,24%,15%,0.35,-0.57,1.29,AA+,4.60%,8
8,广汽转债,113009,2016-02-04,广汽集团,601238,汽车,110.9,-0.07%,0.33%,11.68,1.21%,24,0.90%,14.74,1.58,-20.80%,40.00%,2.85年,0.85年,2.10%,1.70%,25.5,-0.61%,-1.20%,-0.73%,-8.14%,-8.45%,97.78,79.24,97.62,3.18,100.8,10.00%,35%,35%,15%,0.21,-1.59,2.1,AAA,4.00%,10
9,顺昌转债,128010,2016-02-23,澳洋顺昌,2245,交通运输,103.999,1.46%,-1.45%,5.15,1.78%,4.6,0.90%,9.28,1.91,-44.50%,87.40%,2.85年,0.85年,10.10%,5.60%,5.1,2.41%,1.67%,2.26%,-2.02%,-2.37%,96.03,55.5,94.44,2.12,96.56,7.70%,43%,46%,17%,0.01,-1.42,1.46,AA,6.00%,20
10,辉丰转债,128012,2016-05-17,辉丰股份,2496,石油天然气化工,95.54,0.19%,-0.19%,2.84,4.41%,14,1.80%,7.71,1.24,-63.20%,159%,3年34天,1年34天,19.70%,7.30%,8.5,3.68%,3.24%,3.59%,8.09%,7.21%,96.76,36.84,86.86,10.75,97.61,-2.10%,85%,<2%,17%,0,0.43,-0.4,A+,7.00%,76
