,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N大丰转,113530,今日上市,大丰实业,603081,建筑,104.4,4.40%,0.00%,15.3,-0.71%,586,89.60%,16.88,4.14,-9.40%,90.64,15.20%,5.94年,3.94年,10.20%,9.30%,6.3,2.71%,2.05%,2.58%,-0.11%,-0.30%,85.66,92.49,15.39,107.88,-3.20%,54%,7%,16%,0.57,0.7,0.45,AA,4.90%,19
2,中装转债,128060,2019-04-15,中装建设,2822,建筑,105.6,0.24%,-1.04%,6.26,-1.11%,60,10.80%,6.24,1.75,0.30%,100.32,5.30%,5.94年,3.94年,14.00%,14.00%,5.3,1.21%,0.80%,1.13%,-0.42%,-0.60%,86.62,87.42,25.31,112.73,-6.30%,68%,<2%,17%,0.72,1.65,-0.11,AA,4.60%,40
3,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,108.8,-0.19%,-3.22%,26.25,-4.55%,34,14.80%,24.9,3.78,5.40%,105.42,3.20%,4.92年,2.92年,9.70%,10.20%,2.1,0.85%,0.36%,0.76%,-2.03%,-2.16%,88.57,90.48,25.87,116.35,-6.50%,67%,<2%,18%,0.75,1.6,-0.02,A+,4.80%,22
4,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,109.9,0.63%,-1.93%,7.99,-1.72%,69,10.60%,7.39,1.98,8.10%,108.12,1.60%,5.92年,4.92年,20.70%,22.40%,6,0.83%,0.36%,0.73%,-0.79%,-1.00%,84.74,89.31,30.83,120.14,-8.50%,41%,<2%,18%,0.75,2.24,-0.56,AA,4.50%,37
5,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,114.01,2.32%,-0.98%,22.43,1.91%,196,10.00%,21.79,3.45,2.90%,102.94,10.80%,5.92年,3.92年,4.10%,4.20%,17.3,0.16%,-0.29%,0.07%,-2.33%,-2.50%,87.35,90.09,24.76,114.85,-0.70%,45%,15%,16%,0.7,0.62,0.78,AA+,4.30%,24
6,通威转债,110054,2019-04-10,通威股份,600438,农业,122.85,3.00%,-0.33%,14.3,3.40%,98,1.60%,12.44,3.36,15.00%,114.95,6.90%,5.92年,3.92年,9.00%,10.40%,50,-1.04%,-1.50%,-1.13%,-4.02%,-4.20%,88.13,91.01,33.94,124.95,-1.70%,62%,14%,16%,0.79,0.96,0.63,AA+,4.20%,13
7,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,112.5,-0.44%,-0.11%,6.2,-0.80%,12,0.90%,6.38,3.1,-2.80%,97.18,15.80%,5.92年,3.92年,8.60%,8.40%,12.3,0.42%,-0.04%,0.33%,-1.97%,-2.14%,86.48,88.71,21.37,110.08,2.20%,79%,20%,16%,0.69,-0.21,1.6,AA,4.60%,6
8,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,123.06,1.40%,2.15%,21.11,4.20%,42,3.90%,17.6,3.3,19.90%,119.94,2.60%,5.91年,3.91年,9.40%,11.30%,8.8,-1.09%,-1.54%,-1.18%,-4.09%,-4.26%,87.74,90.47,38.42,128.89,-4.50%,42%,12%,16%,0.85,1.52,0.23,AA,4.30%,15
9,苏银转债,110053,2019-04-03,江苏银行,600919,金融,108.72,-0.21%,-0.26%,7.42,-0.93%,382,1.80%,7.9,0.92,-6.10%,93.92,15.80%,5.91年,无权,23.30%,21.90%,200,1.62%,1.04%,1.51%,无权,无权,无权,95.18,18.9,114.08,-4.70%,25%,12%,18%,0.51,1.54,-0.41,AAA,4.00%,40
10,浙商转债,113022,2019-03-28,浙商证券,601878,金融,111.08,0.13%,-0.08%,11.26,0.09%,62,1.60%,12.53,3.06,-10.10%,89.86,23.60%,5.90年,无权,9.30%,8.40%,35,-0.17%,-0.48%,-0.23%,无权,无权,无权,87.62,18.5,106.12,4.70%,50%,25%,18%,0.53,-0.36,1.43,AAA,4.00%,24
