,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,中装转债,128060,2019-04-15,中装建设,2822,建筑,105.35,0.30%,0.75%,6.33,1.44%,58,10.50%,6.24,1.75,1.40%,101.44,3.90%,5.94年,3.94年,13.80%,14.00%,5.3,1.25%,0.84%,1.17%,-0.36%,-0.54%,86.66,87.49,26.13,113.62,-7.30%,68%,8%,17%,0.73,1.88,-0.3,AA,4.50%,41
2,岱勒转债,123024,今日上市,岱勒新材,300700,机械装备制造,109.002,9.00%,0.00%,27.5,3.85%,235,103%,24.9,3.78,10.40%,110.44,-1.30%,4.93年,2.93年,9.30%,10.20%,2.1,0.82%,0.32%,0.72%,-2.09%,-2.22%,88.86,90.96,29.31,120.27,-9.40%,67%,<2%,18%,0.79,2.41,-0.64,A+,4.60%,21
3,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,109.21,-0.15%,-1.52%,8.13,-2.17%,93,14.20%,7.39,1.98,10.00%,110.01,-0.70%,5.92年,4.92年,20.30%,22.40%,6,0.94%,0.47%,0.84%,-0.66%,-0.87%,84.85,89.44,32.18,121.62,-10.20%,41%,<2%,18%,0.77,2.7,-0.91,AA,4.50%,38
4,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,111.43,-0.14%,-0.77%,22.01,-1.34%,147,7.60%,21.79,3.45,1.00%,101.01,10.30%,5.92年,3.92年,4.10%,4.20%,17.3,0.56%,0.10%,0.47%,-1.78%,-1.95%,87.27,89.98,23.36,113.34,-1.70%,45%,13%,16%,0.68,0.81,0.56,AA+,4.30%,24
5,通威转债,110054,2019-04-10,通威股份,600438,农业,119.27,3.83%,2.01%,13.83,7.71%,171,2.90%,12.44,3.36,11.20%,111.17,7.30%,5.92年,3.92年,9.30%,10.40%,50,-0.54%,-1.00%,-0.63%,-3.31%,-3.49%,88.02,90.85,30.9,121.75,-2.00%,62%,16%,16%,0.76,1.02,0.52,AA+,4.20%,14
6,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,113,-0.09%,0.43%,6.25,0.48%,22,1.60%,6.38,3.1,-2.00%,97.96,15.40%,5.92年,3.92年,8.60%,8.40%,12.3,0.35%,-0.12%,0.25%,-2.08%,-2.25%,86.52,88.78,21.87,110.64,2.10%,79%,20%,16%,0.7,-0.18,1.58,AA,4.60%,6
7,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,121.36,1.12%,-0.17%,20.26,1.15%,26,2.50%,17.6,3.3,15.10%,115.11,5.40%,5.91年,3.91年,9.80%,11.30%,8.8,-0.85%,-1.31%,-0.94%,-3.75%,-3.93%,87.6,90.26,34.53,124.78,-2.70%,42%,12%,16%,0.83,1.06,0.61,AA,4.30%,17
8,苏银转债,110053,2019-04-03,江苏银行,600919,金融,108.95,0.48%,-0.48%,7.49,0.00%,462,2.10%,7.9,0.92,-5.20%,94.81,14.90%,5.91年,无权,23.10%,21.90%,200,1.59%,1.00%,1.47%,无权,无权,无权,95.17,19.47,114.64,-5.00%,25%,12%,18%,0.52,1.62,-0.46,AAA,4.00%,41
9,浙商转债,113022,2019-03-28,浙商证券,601878,金融,110.94,-0.92%,0.31%,11.25,-1.14%,83,2.10%,12.53,3.06,-10.20%,89.78,23.60%,5.90年,无权,9.30%,8.40%,35,-0.15%,-0.46%,-0.21%,无权,无权,无权,87.61,18.46,106.07,4.60%,50%,26%,18%,0.53,-0.34,1.41,AAA,4.00%,24
10,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,122.4,1.16%,0.02%,45.95,1.48%,14,1.10%,40.52,5.49,13.40%,113.4,7.90%,5.90年,3.90年,5.30%,6.00%,10,-0.59%,-1.12%,-0.69%,-4.01%,-4.18%,87.25,92.14,31.56,123.7,-1.00%,46%,15%,16%,0.8,0.66,0.94,AA,4.40%,15
11,视源转债,128059,2019-04-02,视源股份,2841,电子,114.516,-0.52%,0.23%,73.76,-0.42%,12,1.10%,76.25,14.69,-3.30%,96.73,18.40%,5.90年,3.90年,1.90%,1.90%,9.4,-0.03%,-0.47%,-0.12%,-2.41%,-2.58%,86.55,88.02,21.41,109.43,4.60%,56%,23%,16%,0.69,-0.66,2.08,AA,4.60%,15
12,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,117.389,0.12%,0.95%,13.02,1.48%,14,1.00%,11.99,1.77,8.60%,108.59,8.10%,5.89年,3.89年,7.50%,8.20%,12,-0.25%,-0.72%,-0.34%,-2.96%,-3.14%,87.94,90.86,29.64,120.5,-2.60%,42%,16%,17%,0.72,1.08,0.4,AA+,4.30%,17
13,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,121.995,6.16%,1.88%,6.71,10.00%,192,28.30%,5.64,2.69,19.00%,118.97,2.50%,5.89年,3.89年,8.40%,10.00%,5.7,0.14%,-0.52%,0.01%,-3.69%,-3.91%,88.31,96.03,34.45,130.48,-6.50%,59%,9%,16%,0.8,1.87,-0.15,AA,4.40%,44
14,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,113.716,0.63%,-0.88%,10.16,-0.29%,62,9.40%,8.9,1.93,14.20%,114.16,-0.40%,5.88年,3.88年,10.80%,12.30%,5.8,0.58%,0.06%,0.48%,-2.18%,-2.37%,87.48,91.54,32.81,124.35,-8.60%,74%,<2%,16%,0.82,2.3,-0.48,AA-,4.40%,42
15,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,123.32,0.93%,-0.53%,10.7,0.47%,69,3.50%,8.13,1.96,31.60%,131.61,-6.30%,5.88年,3.88年,14.30%,18.90%,16,-0.62%,-1.17%,-0.73%,-4.09%,-4.28%,88.67,94.17,46.09,140.25,-12.10%,41%,<2%,16%,0.85,3.57,-1.43,AA+,4.10%,35
16,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,122.3,-0.57%,-0.92%,16.64,-1.77%,30,2.00%,13.62,4.25,22.20%,122.17,0.10%,5.88年,3.88年,6.60%,8.00%,12,-0.57%,-1.11%,-0.68%,-4.01%,-4.18%,87.63,92.69,38.51,131.21,-6.80%,51%,<2%,16%,0.84,2.03,-0.22,AA,4.30%,17
17,中信转债,113021,2019-03-19,中信银行,601998,金融,108.34,-0.06%,-0.09%,6.63,-0.30%,92,0.20%,7.45,0.91,-11.00%,88.99,21.70%,5.88年,无权,12.30%,11.00%,400,1.66%,1.08%,1.55%,无权,无权,无权,95.12,14.85,109.97,-1.50%,23%,16%,17%,0.47,0.82,0.15,AAA,4.00%,36
18,富祥转债,123020,2019-03-29,富祥股份,300497,医药,132.47,-2.16%,6.09%,25.23,4.34%,344,61.20%,18.05,3.71,39.80%,139.78,-5.20%,5.87年,3.87年,7.40%,10.40%,4.2,-1.55%,-2.14%,-1.67%,-5.78%,-5.97%,88.51,95.4,52.46,147.87,-10.40%,64%,<2%,16%,0.9,3.06,-0.95,AA-,4.20%,41
